"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NF-kappa B signaling pathway","Ntwrk.NF-kappa B signaling pathway","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","Total_Path_Hits.net.count"
"18",54936,"ADPRHL2",853,"MedConf","Novel",NA,1,"ERC1",0,NA,1,"ERC1",0,NA,1
"19",154,"ADRB2",465,"HighConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion",52,"LDLR, SNX18, AAK1, INSL3, CFTR, DNM1, TF, WNT5A, AGFG1, APOB, EPN1, TACR1, CHRM2, EDN1, CXCR4, NPY, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R, CALCR, RLN2, SNX9, GPBAR1, GHRL, GRK4, ACTR2, RPS27A, UBB, CLTC, PRKAR2B, ADRBK1, HRH2, GNG3, SYT1, RAB5A, EGFR, SCARB2, GNG10, PIK3C2A, ITSN2, UBC, GNAI3, CLTA, AGT",0,NA,0,NA,0,NA,0
"20",156,"ADRBK1",271,"MedConf","Novel",NA,76,"GNG3, GNG10, AGT, DRD2, CXCL8, ADRB2, CXCR5, TACR1, CSNK1G1, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, NMUR2, CX3CR1, NMS, OPRM1, P2RY11, MLNR, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, OR5M9, OR10A5, OR51B5, OR8J3, OR52A5, OR10A2, OR2AT4, OR5T3, OR2M4, OR6Q1, OR5B3, OR2Y1, OR10Q1, OR10H4, OR52K2, OR2D3, OR51L1, OR52N4, OR51F2, OR4P4, OR8D4, OR1G1, OR4N5, OR51M1, OR13C8, OR10H1, OR5B17, OR2M2, OR2L3, OR52M1, OR2T5, OR2AK2, OR4D1, OR14J1, OR2J2, OR5D16, OR5L2, OR51I1, OR51A2, OR5K3, OR10W1, OR6B2, OR4E2, PAPOLA, GNA11",0,NA,0,NA,1,"CXCL8",1
"21",174,"AFP",860,"MedConf","Novel",NA,1,"JUN",0,NA,0,NA,1,"JUN",1
"22",177,"AGER",869,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",2,"RELA, ITGAM",0,NA,0,NA,1,"RELA",1
"23",3267,"AGFG1",514,"MedConf","Novel",NA,25,"APOB, EPN1, TACR1, CHRM2, SNX9, ACTR2, RPS27A, UBB, CLTC, SYT1, RAB5A, EGFR, SCARB2, PIK3C2A, ITSN2, UBC, CLTA, ADRB2, LDLR, SNX18, AAK1, CFTR, DNM1, TF, WNT5A",0,NA,0,NA,0,NA,0
"24",375790,"AGRN",597,"HighConf","Novel",NA,22,"BGN, ITGA1, CSPG5, LRP10, HS3ST4, HPSE2, MUSK, PXN, ITGB1, CDC42, PTK2B, LRP1, LAMA5, LAMA4, ITGA5, ITGAV, ARHGEF6, APOB, EXT2, B3GAT3, NCAM1, GPC2",0,NA,0,NA,0,NA,0
"25",183,"AGT",437,"MedConf","Novel","Renin secretion",58,"DRD2, CXCL8, ADRB2, CFTR, DNM1, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, MME, XCL2, PIK3R3, GNA11, PRKAR2B, ADRBK1, GNG3, CTSD, GNG10, C5, NCOA6, GNAI3, ACE",0,NA,0,NA,3,"PIK3R3, CXCL8, CXCL11",3
"26",189,"AGXT",689,"MedConf","Novel",NA,3,"SDSL, DLD, GPT",0,NA,0,NA,0,NA,0
"27",10598,"AHSA1",179,"MedConf","Novel",NA,7,"DNAJA1, DNAJA4, STAT1, DDX39A, PSMC4, LDHB, HSPE1",1,"PSMC4",0,NA,1,"STAT1",2
"28",205,"AK4",715,"HighConf","Novel",NA,5,"PDE1B, PDE3B, DCK, AMPD1, NT5C",0,NA,0,NA,0,NA,0
"29",122481,"AK7",714,"HighConf","Novel",NA,5,"PDE1B, PDE3B, DCK, AMPD1, NT5C",0,NA,0,NA,0,NA,0
"30",10327,"AKR1A1",187,"MedConf","Novel",NA,3,"GAPDH, CFL1, ALDH3A2",0,NA,0,NA,0,NA,0
"31",217,"ALDH2",788,"MedConf","Novel","Valine, leucine and isoleucine degradation",2,"LDHB, RPE",0,NA,0,NA,0,NA,0
"32",224,"ALDH3A2",519,"HighConf","Novel","Valine, leucine and isoleucine degradation",5,"AOC1, ADH4, DBT, ABAT, AKR1A1",0,NA,0,NA,0,NA,0
"33",226,"ALDOA",108,"HighConf","Novel",NA,28,"COX4I1, GAPDH, A2M, PDHA1, HK2, CFL1, FGA, DERA, ARNT, LGALS3BP, TGFB2, ECM1, PF4, ITIH4, SERPING1, CLEC3B, SERPINA4, TOR4A, SERPINA3, TKTL2, ACO2, IGF2, G6PC, LDHB, NDUFS4, HSPE1, GPX4, LDHAL6B",0,NA,0,NA,0,NA,0
"34",246,"ALOX15",937,"MedConf","Novel","Serotonergic synapse",7,"PLA2G4A, PLA2G4D, ALOX5, GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B",0,NA,0,NA,0,NA,0
"35",240,"ALOX5",571,"MedConf","Novel","Serotonergic synapse, Fc epsilon RI signaling pathway",7,"GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B, ALOX15, PLA2G4A, PLA2G4D",0,NA,0,NA,0,NA,0
"36",57679,"ALS2",1064,"HighConf","Novel",NA,1,"RAB5A",0,NA,0,NA,0,NA,0
"37",51421,"AMOTL2",801,"MedConf","Novel",NA,5,"PARD3, ASIP, YAP1, DYNLL1, MPDZ",0,NA,0,NA,0,NA,0
"38",270,"AMPD1",728,"HighConf","Novel",NA,9,"ENTPD4, ITPA, NT5C, HPRT1, AK7, AK4, PDE1B, PDE3B, DCK",0,NA,0,NA,0,NA,0
"39",287,"ANK2",617,"HighConf","Novel",NA,15,"BET1L, DYNC1H1, DCTN4, DYNC1I2, TMED10, ARF5, DYNLL1, COPB1, ARCN1, GOSR2, COG6, TMED3, DYNC1I1, NAPB, DYNC2LI1",0,NA,0,NA,0,NA,0
"40",23294,"ANKS1A",821,"MedConf","Novel",NA,1,"PIK3R3",0,NA,0,NA,1,"PIK3R3",1
"41",26,"AOC1",668,"MedConf","Novel",NA,2,"IL4I1, ALDH3A2",0,NA,0,NA,0,NA,0
"42",320,"APBA1",735,"MedConf","Novel",NA,5,"BZRAP1, LIN7B, SYT1, STX1A, SLC18A2",0,NA,0,NA,0,NA,0
"43",321,"APBA2",849,"MedConf","Novel",NA,1,"STX1A",0,NA,0,NA,0,NA,0
"44",51107,"APH1A",316,"MedConf","Novel","Notch signaling pathway",5,"ITGB3BP, NOTCH4, DTX1, NCSTN, NGFR",0,NA,0,NA,0,NA,0
"45",338,"APOB",527,"MedConf","Novel",NA,40,"EPN1, TACR1, CHRM2, GPC2, AGRN, TLR4, SNX9, MSR1, LRP10, PPP2R5E, ACTR2, HSP90B1, CALR, P4HB, PPP2CB, RPS27A, PTPN6, UBB, CLTC, SYT1, RAB5A, EGFR, SCARB2, LRP1, PIK3C2A, ITGAM, ITSN2, UBC, PPP2R5A, CLTA, ADRB2, LDLR, SNX18, AAK1, CFTR, DNM1, TF, WNT5A, SP1, AGFG1",0,NA,0,NA,1,"TLR4",1
"46",372,"ARCN1",344,"HighConf","Novel",NA,25,"GOSR2, KIF1A, COG6, TMED3, CLTA, KIF21B, KIF18A, DYNC1I1, NAPB, DYNC2LI1, KIF16B, ANK2, KIF26B, BET1L, DYNC1H1, KIF4A, STX18, SF3B1, DCTN4, DYNC1I2, TMED10, ARF5, DYNLL1, SEC31B, COPB1",0,NA,0,NA,0,NA,0
"47",381,"ARF5",284,"MedConf","Novel",NA,19,"DYNLL1, COPB1, ARCN1, KIF1A, TMED3, KIF21B, KIF18A, DYNC1I1, DYNC2LI1, KIF16B, ANK2, KIF26B, LDHB, DYNC1H1, LDHAL6B, KIF4A, DCTN4, DYNC1I2, TMED10",0,NA,0,NA,0,NA,0
"48",55843,"ARHGAP15",958,"HighConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"49",57569,"ARHGAP20",956,"MedConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"50",9743,"ARHGAP32",959,"MedConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"51",394,"ARHGAP5",902,"HighConf","Novel","Leukocyte transendothelial migration, Focal adhesion",5,"CDC42, RHOB, CLTA, RHOV, RHOF",0,NA,0,NA,0,NA,0
"52",64333,"ARHGAP9",961,"MedConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"53",397,"ARHGDIB",363,"MedConf","Novel","Vasopressin-regulated water reabsorption",6,"RHOB, RHOV, RHOF, CDC42, NGFR, JUN",0,NA,0,NA,1,"JUN",1
"54",128272,"ARHGEF19",957,"HighConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"55",50650,"ARHGEF3",960,"MedConf","Novel",NA,4,"CDC42, RHOB, RHOV, RHOF",0,NA,0,NA,0,NA,0
"56",9459,"ARHGEF6",489,"HighConf","Novel","Regulation of actin cytoskeleton",11,"AGRN, RHOV, RHOF, ITGA1, MRAS, GIT1, PXN, ITGB1, CDC42, RHOB, LAMA5",0,NA,0,NA,0,NA,0
"57",405,"ARNT",408,"HighConf","Novel",NA,16,"TF, SP1, EDN1, CXCR4, SLC2A1, TFF3, CREB1, ALDOA, COPS5, BHLHE40, EPAS1, HK2, SMAD4, EPO, JUN, TACC3",0,NA,0,NA,1,"JUN",1
"58",10095,"ARPC1B",321,"MedConf","Novel","Regulation of actin cytoskeleton",7,"NT5C, PDGFRB, ACTR2, PSMA7, CDC42, WIPF2, ABI1",1,"PSMA7",0,NA,0,NA,1
"59",427,"ASAH1",731,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, PPAP2A, SMPD2",0,NA,0,NA,0,NA,0
"60",50807,"ASAP1",756,"MedConf","Novel",NA,3,"ASAP2, EXOC7, CLTA",0,NA,0,NA,0,NA,0
"61",8853,"ASAP2",992,"MedConf","Novel",NA,2,"CLTA, ASAP1",0,NA,0,NA,0,NA,0
"62",9070,"ASH2L",391,"HighConf","Novel",NA,12,"NCOA6, SUZ12, MAFB, HIST1H2BJ, HIST1H2BK, KDM6A, WDR5, POLR2J, POLR2F, HCFC1, JUN, EGR2",0,NA,0,NA,1,"JUN",1
"63",434,"ASIP",261,"MedConf","Novel",NA,3,"YAP1, AMOTL2, YWHAH",0,NA,0,NA,0,NA,0
"64",54829,"ASPN",967,"MedConf","Novel",NA,1,"TGFB2",0,NA,0,NA,0,NA,0
"65",467,"ATF3",259,"MedConf","Novel",NA,5,"SMAD4, JUN, MAFB, CREB3, CREB1",0,NA,0,NA,1,"JUN",1
"66",1388,"ATF6B",638,"MedConf","Novel","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, Relaxin signaling pathway, Insulin secretion",3,"PRKD1, CREB3, CREB1",0,NA,0,NA,0,NA,0
"67",9776,"ATG13",610,"MedConf","Novel",NA,11,"CDK14, PYDC1, CCNL2, CCND2, CCND3, IKBKB, CDK12, DYNLL1, ERC1, LAMTOR2, PHKB",0,NA,1,"ERC1",1,"IKBKB",2
"68",25923,"ATL3",247,"MedConf","Novel",NA,3,"HADHA, PHB2, EIF3B",0,NA,0,NA,0,NA,0
"69",479,"ATP12A",970,"MedConf","Novel",NA,6,"ATP1B3, PPA1, ATP1A3, ABCG5, ATP1B2, ABCA2",0,NA,0,NA,0,NA,0
"70",478,"ATP1A3",423,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",8,"ABCG5, ATP1B2, ABCA2, ATP1B4, ATP12A, FXYD7, ATP1B3, CLTC",0,NA,0,NA,0,NA,0
"71",482,"ATP1B2",462,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",9,"ABCA2, ATP1B4, ATP12A, FXYD7, ATP1B3, RPS8, RPLP2, ATP1A3, ABCG5",0,NA,0,NA,0,NA,0
"72",483,"ATP1B3",79,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",15,"RPS8, RPLP2, RPL26L1, NDUFA2, ATP1A3, ITGA5, ABCG5, ATP1B2, ABCA2, ATP1B4, ATP12A, FXYD7, PSMD6, RTN4, DLD",1,"PSMD6",0,NA,0,NA,1
"73",23439,"ATP1B4",844,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",5,"ATP1B3, SNW1, SMAD4, ATP1A3, ATP1B2",0,NA,0,NA,0,NA,0
"74",487,"ATP2A1",562,"MedConf","Novel",NA,7,"CATSPERG, CACNB4, CACNA1C, CACNA2D1, CATSPERB, NOTCH4, SMDT1",0,NA,0,NA,0,NA,0
"75",537,"ATP6AP1",496,"HighConf","Novel","Phagosome",5,"TF, ATP6V0A4, TCIRG1, ATP6V1B2, PPA1",0,NA,0,NA,0,NA,0
"76",50617,"ATP6V0A4",944,"HighConf","Novel","Phagosome, Synaptic vesicle cycle",5,"TCIRG1, ATP6V1B2, PPA1, ATP6AP1, TF",0,NA,0,NA,0,NA,0
"77",526,"ATP6V1B2",154,"HighConf","Novel","Phagosome, Synaptic vesicle cycle",14,"WDR5, UBE2V2, PPA1, TUBA1A, LAMTOR2, ATP6AP1, TF, EEF1E1, ZFYVE19, YIF1B, ATP6V0A4, WDR61, SRXN1, TCIRG1",0,NA,0,NA,0,NA,0
"78",552,"AVPR1A",624,"MedConf","Novel","Neuroactive ligand-receptor interaction",25,"TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, AGT, CXCL8, KALRN, TACR1, EDN1, BDKRB1, NMUR2, NMS, P2RY11, MLNR, GNRH2, GNA15, PROK1",0,NA,0,NA,2,"PIK3R3, CXCL8",2
"79",26229,"B3GAT3",540,"MedConf","Novel",NA,4,"GPC2, AGRN, BGN, CSPG5",0,NA,0,NA,0,NA,0
"80",27077,"B9D1",691,"MedConf","Novel",NA,15,"CEP89, CEP83, TMEM216, DYNC1H1, TUBA4A, PLK1, PRKAR2B, DYNC1I2, DYNLL1, YWHAG, TUBA1A, CEP41, RPGRIP1L, CEP152, CEP250",0,NA,0,NA,0,NA,0
"81",573,"BAG1",150,"MedConf","Novel",NA,8,"NXF1, JUN, HSPH1, SCML2, HSPA13, PSMC1, HSPA5, PPIL3",1,"PSMC1",0,NA,1,"JUN",2
"82",22893,"BAHD1",906,"MedConf","Novel",NA,6,"MTA2, CHD4, HDAC2, SUV39H1, MBD3, RRP8",0,NA,0,NA,0,NA,0
"83",25805,"BAMBI",481,"MedConf","Novel",NA,2,"BMP7, BMPR1B",0,NA,0,NA,0,NA,0
"84",9031,"BAZ1B",98,"MedConf","Novel",NA,7,"TWISTNB, SF3B1, KAT2B, POLR2F, MBD3, HIST1H2BJ, HIST1H2BK",0,NA,0,NA,0,NA,0
"85",10286,"BCAS2",171,"MedConf","Novel","Spliceosome",38,"SF3B6, NCSTN, SRRM1, SRSF2, PRPF38A, SRSF3, POLR2J, POLR2F, CD2BP2, SNRPD3, PHF5A, SNRPC, TRA2B, LSM4, PPIH, GPKOW, PCF11, PRPF8, PRPF31, PSMD3, HNRNPA2B1, YBX1, CCAR1, PAPOLA, XAB2, HNRNPM, PTBP1, SNW1, SF3B2, SF3B1, RBM39, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, ACIN1, HNRNPH1",1,"PSMD3",0,NA,0,NA,1
"86",598,"BCL2L1",180,"HighConf","NF-kappa B signaling pathway","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway",5,"STAT1, PRKAR2B, NMI, DIABLO, PMAIP1",0,NA,0,NA,1,"STAT1",1
"87",602,"BCL3",945,"MedConf","Novel","TNF signaling pathway",1,"RELA",0,NA,0,NA,1,"RELA",1
"88",623,"BDKRB1",575,"MedConf","Novel","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",50,"TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, C5, GNAI3, AGT, DRD2, CXCL8, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4",0,NA,0,NA,3,"PIK3R3, CXCL8, CXCL11",3
"89",51272,"BET1L",900,"MedConf","Novel",NA,19,"DYNC1H1, STX18, DCTN4, STX17, DYNC1I2, TMED10, DYNLL1, COPB1, ARCN1, GOSR2, GOSR2, VTI1A, COG6, TMED3, DYNC1I1, NAPB, DYNC2LI1, ANK2, STX1B",0,NA,0,NA,0,NA,0
"90",633,"BGN",598,"MedConf","Novel",NA,5,"CSPG5, TGFB2, B3GAT3, GPC2, AGRN",0,NA,0,NA,0,NA,0
"91",8553,"BHLHE40",194,"MedConf","Novel",NA,3,"CSNK2A2, EPAS1, ARNT",0,NA,1,"CSNK2A2",0,NA,1
"92",332,"BIRC5",478,"MedConf","Novel",NA,29,"KIF18A, ITGA1, RANBP2, PPP2R5E, SUMO3, PSMA3, RANGAP1, PPP2CB, RAE1, NUP43, UBE2I, PEBP1, ITGB1, CENPO, PLK1, CDC42, RAD21, NUP155, MAX, BUB1B, MIS12, NUP188, ITGB3BP, CCNB2, CENPH, CENPP, PPP2R5A, DIABLO, CDCA8",1,"PSMA3",1,"UBE2I",0,NA,2
"93",2647,"BLOC1S1",537,"MedConf","Novel",NA,3,"SNX9, CLTC, PIK3C2A",0,NA,0,NA,0,NA,0
"94",655,"BMP7",686,"MedConf","Novel","Cytokine-cytokine receptor interaction",4,"BMPR1B, SMAD6, SMAD1, BAMBI",0,NA,0,NA,0,NA,0
"95",658,"BMPR1B",712,"MedConf","Novel","Cytokine-cytokine receptor interaction",8,"SMAD6, MAP3K7, SMAD4, SMAD1, BAMBI, TF, BMP7, TRPC6",0,NA,0,NA,1,"MAP3K7",1
"96",9790,"BMS1",499,"HighConf","Novel",NA,12,"NOP14, EXOSC5, EXOSC4, RPS2, RPS8, RPS27A, DIEXF, RRP9, NOC4L, UTP18, RPP25, RPP40",0,NA,0,NA,0,NA,0
"97",673,"BRAF",552,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, cAMP signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",15,"KRAS, MRAS, BRAP, PPP2R5E, PPP2CB, PEBP1, YWHAH, SFN, VCL, FGA, YWHAG, RAP1A, PPP2R5A, LAMTOR2, MAP2K6",0,NA,0,NA,1,"MAP2K6",1
"98",8315,"BRAP",1002,"MedConf","Novel","Ras signaling pathway",6,"RPS27A, UBB, UBC, BRAF, KRAS, MRAS",0,NA,0,NA,0,NA,0
"99",675,"BRCA2",379,"MedConf","Novel",NA,11,"UBC, HIST1H2BJ, HIST1H2BK, POLD3, PALB2, POLD4, PCNA, RPS27A, UBB, RAD51, POLE",0,NA,0,NA,0,NA,0
"100",151888,"BTLA",862,"MedConf","Novel",NA,1,"PTPN6",0,NA,0,NA,0,NA,0
"101",701,"BUB1B",305,"MedConf","Novel",NA,47,"MIS12, ITGB3BP, CCNB2, CENPH, PSMF1, UBC, CENPP, PPP2R5A, CDCA8, BIRC5, KIF18A, RNF7, RANBP2, PPP2R5E, PSMC4, PSMA3, PSMD7, PSMC1, PSMA6, PSMD11, PSMB1, PSMD3, PSMA5, PSMB4, PSMC2, PSMD6, PSMD1, PSMD2, PSMC5, PSMD12, PSMB5, PSMA7, PSMB2, PSMB9, PSMA1, RANGAP1, PSMA4, PPP2CB, RPS27A, RAE1, NUP43, UBB, CENPO, PLK1, CDC42, PHC2, RAD21",23,"PSMF1, PSMD7, PSMD6, PSMD3, PSMD2, PSMD12, PSMD11, PSMD1, PSMC5, PSMC4, PSMC2, PSMC1, PSMB9, PSMB5, PSMB4, PSMB2, PSMB1, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1",0,NA,0,NA,23
"102",9256,"BZRAP1",736,"MedConf","Novel",NA,5,"LIN7B, SYT1, STX1A, SLC18A2, APBA1",0,NA,0,NA,0,NA,0
"103",83608,"C18orf21",851,"MedConf","Novel",NA,1,"RPP25",0,NA,0,NA,0,NA,0
"104",717,"C2",807,"HighConf","Novel",NA,2,"SF3B2, C5",0,NA,0,NA,0,NA,0
"105",727,"C5",332,"MedConf","Novel",NA,32,"GNAI3, AGT, DRD2, CXCL8, CXCR5, CHRM2, CCR8, CXCR3, CXCR4, BDKRB1, TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, S1PR2, C2, GNG3, GNG10",0,NA,0,NA,2,"CXCL8, CXCL11",2
"106",203228,"C9orf72",184,"HighConf","Novel",NA,1,"EIF2S2",0,NA,0,NA,0,NA,0
"107",91768,"CABLES1",859,"HighConf","Novel",NA,1,"CTNND1",0,NA,0,NA,0,NA,0
"108",775,"CACNA1C",63,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, GnRH signaling pathway",17,"PPP2CB, CACNA2D2, GNG3, GNG10, CACNA2D1, PPP2R5A, GNAI3, STX1A, GNAO1, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, SYT5, PPP2R5E",0,NA,0,NA,0,NA,0
"109",781,"CACNA2D1",407,"HighConf","Novel","MAPK signaling pathway",10,"PPP2R5A, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, PPP2R5E, NDUFS4, CACNA1C, PPP2CB",0,NA,0,NA,0,NA,0
"110",9254,"CACNA2D2",273,"MedConf","Novel","MAPK signaling pathway",9,"GNG3, GNG10, PPP2R5A, STX1A, CACNB4, SYT5, PPP2R5E, CACNA1C, PPP2CB",0,NA,0,NA,0,NA,0
"111",785,"CACNB4",884,"HighConf","Novel","MAPK signaling pathway",11,"PPP2R5E, CACNA1C, PPP2CB, CACNA2D2, CACNA2D1, PPP2R5A, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG",0,NA,0,NA,0,NA,0
"112",799,"CALCR",608,"MedConf","Novel","Osteoclast differentiation, Neuroactive ligand-receptor interaction",18,"RLN2, GPBAR1, HRH2, GNG3, GNG10, ADRB2, INSL3, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R",0,NA,0,NA,0,NA,0
"113",811,"CALR",44,"MedConf","Novel","Phagosome",11,"P4HB, PCNA, HSPA5, PDIA3, APOB, TAP1, INHA, MSR1, VCP, PTGES3, HSP90B1",0,NA,0,NA,0,NA,0
