"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","NtwrkCount.Spliceosome","Ntwrk.Spliceosome","Total_Path_Hits.net.count"
"39",9459,"ARHGEF6",421,"HighConf","Novel","Regulation of actin cytoskeleton",18,"ARHGAP32, ITGA1, AGRN, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, GIT1, LAMA5, CDC42, MRAS, RHOV, A2M, ITGB1, PXN, RHOB",0,NA,0,NA,0,NA,0
"40",405,"ARNT",327,"HighConf","Novel",NA,13,"CXCR4, EDN1, TF, SLC2A1, TFF3, COPS5, EPAS1, JUN, EPO, ALDOA, SMAD4, SP1, CREB1",0,NA,1,"JUN",0,NA,1
"41",10095,"ARPC1B",264,"MedConf","Novel","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis",5,"ACTR2, ABI1, PSMA7, UBC, PDGFRB",1,"PSMA7",0,NA,0,NA,1
"42",427,"ASAH1",586,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, SMPD2, PPAP2A",0,NA,0,NA,0,NA,0
"43",50807,"ASAP1",654,"MedConf","Novel","Fc gamma R-mediated phagocytosis",2,"CLTA, UBC",0,NA,0,NA,0,NA,0
"44",8853,"ASAP2",293,"MedConf","Novel","Fc gamma R-mediated phagocytosis",3,"CLTA, UBC, PXN",0,NA,0,NA,0,NA,0
"45",25842,"ASF1A",789,"MedConf","Novel",NA,3,"ATR, ASF1B, TAF1",0,NA,0,NA,0,NA,0
"46",55723,"ASF1B",299,"MedConf","Novel",NA,5,"ASF1A, ATR, KAT2B, TAF1, UBC",0,NA,0,NA,0,NA,0
"47",55870,"ASH1L",824,"MedConf","Novel","Lysine degradation",1,"PLOD3",0,NA,0,NA,0,NA,0
"48",467,"ATF3",121,"MedConf","Novel",NA,3,"SMAD4, JUN, UBC",0,NA,1,"JUN",0,NA,1
"49",479,"ATP12A",498,"MedConf","Novel",NA,5,"ATP1A3, PPA1, ABCA2, ATP1B3, UBC",0,NA,0,NA,0,NA,0
"50",478,"ATP1A3",502,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP1B2, ABCA2, FXYD7, ATP1B3, UBC, PRKX, ATP12A",0,NA,0,NA,0,NA,0
"51",482,"ATP1B2",577,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",4,"FXYD7, ATP1B3, ATP1A3, PRKX",0,NA,0,NA,0,NA,0
"52",483,"ATP1B3",496,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",7,"ATP12A, ATP1A3, ATP1B2, ABCA2, FXYD7, PRKX, UBC",0,NA,0,NA,0,NA,0
"53",23439,"ATP1B4",855,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption",1,"PRKX",0,NA,0,NA,0,NA,0
"54",50617,"ATP6V0A4",797,"HighConf","Novel","Phagosome",4,"TF, TCIRG1, PPA1, ATP6V1B2",0,NA,0,NA,0,NA,0
"55",526,"ATP6V1B2",172,"HighConf","Novel","Phagosome",5,"TCIRG1, PPA1, TF, ATP6V0A4, UBC",0,NA,0,NA,0,NA,0
"56",545,"ATR",157,"HighConf","Novel","Cell cycle",15,"MCM8, RAD21, ASF1B, FANCG, CDC25C, SYCP3, FANCE, ASF1A, TIPIN, CCNB2, RAD51, MSH2, UBC, BRCA2, XPA",0,NA,0,NA,0,NA,0
"57",552,"AVPR1A",517,"MedConf","Novel","Neuroactive ligand-receptor interaction, Phospholipase D signaling pathway",20,"NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, KALRN, EDN1, GNA11, ADRBK1, NMUR2, AGT, TACR1, GNA15, TACR3",0,NA,0,NA,0,NA,0
"58",573,"BAG1",117,"MedConf","Novel",NA,3,"JUN, STUB1, UBC",0,NA,1,"JUN",0,NA,1
"59",22893,"BAHD1",777,"MedConf","Novel",NA,2,"RRP8, SUV39H1",0,NA,0,NA,0,NA,0
"60",25805,"BAMBI",826,"MedConf","Novel",NA,2,"BMP7, BMPR1B",0,NA,0,NA,0,NA,0
"61",10286,"BCAS2",616,"MedConf","Spliceosome","Spliceosome",6,"CDC5L, MFAP1, PRPF8, UBC, EFTUD2, PLRG1",0,NA,0,NA,4,"PRPF8, PLRG1, EFTUD2, CDC5L",4
"62",64919,"BCL11B",742,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,NA,0
"63",598,"BCL2L1",158,"HighConf","Novel","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal, Jak-STAT signaling pathway, Platinum drug resistance, Apoptosis",9,"STAT1, DIABLO, PRKAR2B, DNM1L, NMI, PMAIP1, SPATA25, PGAM5, UBC",0,NA,1,"STAT1",0,NA,1
"64",602,"BCL3",618,"MedConf","Novel","TNF signaling pathway",3,"IKBKB, RELA, UBC",0,NA,2,"RELA, IKBKB",0,NA,2
"65",604,"BCL6",604,"HighConf","Novel",NA,3,"HDAC4, UBC, SIN3A",0,NA,0,NA,0,NA,0
"66",623,"BDKRB1",539,"MedConf","Novel","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",43,"KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, PTGDR2, NPBWR2, CXCL11, OPRM1, SSTR4, C5, CXCR4, CCR8, EDN1, TACR3, CXCL13, MTNR1B, NMS, NPY, GNAI3, AVPR1A, AGT, S1PR2, CHRM2, GNA11, HCAR2, CXCR5, TACR1, GNA15, CXCL8, DRD2, CXCR3, ADRBK1, RGS20, KALRN, HTR1A, FPR3, PNOC, NMUR2",0,NA,2,"CXCL8, CXCL11",0,NA,2
"67",332,"BIRC5",288,"MedConf","Novel","Platinum drug resistance, Apoptosis",28,"NUP43, BUB1B, CENPH, ITGB3BP, RANGAP1, POLB, CENPO, CENPP, SKA3, RANBP2, KIF18A, CDCA8, ITGA1, CYP2A6, GRAMD3, KIF4A, REEP2, AIM1, GTSE1, PEBP1, RAD21, PSMA3, UBC, ITGB1, MIS12, PLK1, DIABLO, MAX",1,"PSMA3",0,NA,0,NA,1
"68",655,"BMP7",326,"MedConf","Novel","Cytokine-cytokine receptor interaction",4,"BMPR1B, SMAD6, BAMBI, SMAD1",0,NA,0,NA,0,NA,0
"69",658,"BMPR1B",336,"MedConf","Novel","Cytokine-cytokine receptor interaction",6,"SMAD6, BAMBI, SMAD1, BMP7, SMAD4, MAP3K7",0,NA,1,"MAP3K7",0,NA,1
"70",673,"BRAF",148,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, cAMP signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",8,"RAP1A, MRAS, CAPN3, SFN, YWHAG, YWHAH, UBC, MAP2K6",0,NA,1,"MAP2K6",0,NA,1
"71",8315,"BRAP",670,"MedConf","Novel","Ras signaling pathway",3,"UBC, UBB, MRAS",0,NA,0,NA,0,NA,0
"72",675,"BRCA2",156,"MedConf","Novel",NA,3,"ATR, FANCG, RAD51",0,NA,0,NA,0,NA,0
"73",9024,"BRSK2",636,"MedConf","Novel",NA,3,"CDC25C, UBC, CDC25B",0,NA,0,NA,0,NA,0
"74",701,"BUB1B",312,"MedConf","Novel","Cell cycle",42,"CENPH, ITGB3BP, RANGAP1, PSMF1, CENPO, CENPP, SKA3, RANBP2, KIF18A, CDCA8, PHC2, CDC20B, PSMD2, PSMB1, PSMB4, PSMC4, PSMC1, UBB, UBC, PSMA5, PSMB5, PSMA6, RPS27A, CDC42, PSMC2, PSMC5, MIS12, PSMD6, BIRC5, PSMD1, PSMD3, PSMD7, PSMD12, PSMA4, PLK1, PSMA3, NUP43, RAD21, PSMD11, PSMA1, PSMB2, PSMA7",22,"PSMF1, PSMD7, PSMD6, PSMD3, PSMD2, PSMD12, PSMD11, PSMD1, PSMC5, PSMC4, PSMC2, PSMC1, PSMB5, PSMB4, PSMB2, PSMB1, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1",0,NA,0,NA,22
"75",727,"C5",390,"MedConf","Novel",NA,26,"NMUR2, AGT, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, CCR8, CXCR4, GNAI3, OPRM1",0,NA,2,"CXCL8, CXCL11",0,NA,2
"76",389813,"C9orf172",166,"MedConf","Novel",NA,2,"PARD6G, PDLIM7",0,NA,0,NA,0,NA,0
"77",91768,"CABLES1",841,"HighConf","Novel",NA,1,"CTNND1",0,NA,0,NA,0,NA,0
"78",775,"CACNA1C",413,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, Adrenergic signaling in cardiomyocytes, GnRH signaling pathway, Dopaminergic synapse",14,"GNG10, CACNB4, CATSPERG, CACNA2D1, NCAM1, CATSPERB, PPP2R5E, GNG3, GNAO1, PRKX, GNAI3, PPP2CB, PPP2R5A, UBC",0,NA,0,NA,0,NA,0
"79",781,"CACNA2D1",526,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",8,"CATSPERB, PPP2CB, CACNB4, PPP2R5E, CATSPERG, PRKX, PPP2R5A, CACNA1C",0,NA,0,NA,0,NA,0
"80",9254,"CACNA2D2",757,"MedConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",4,"PPP2R5E, PRKX, PPP2R5A, PPP2CB",0,NA,0,NA,0,NA,0
"81",785,"CACNB4",508,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"CATSPERG, CACNA2D1, NCAM1, CATSPERB, CACNA1C, PRKX, PPP2R5A, PPP2CB, PPP2R5E",0,NA,0,NA,0,NA,0
"82",799,"CALCR",314,"MedConf","Novel","Osteoclast differentiation, Neuroactive ligand-receptor interaction",12,"APOB, PTGIR, ADRB2, VIPR1, MC2R, GHRH, GPBAR1, HTR6, PTGER2, DRD5, SCT, HRH2",0,NA,0,NA,0,NA,0
"83",811,"CALR",221,"MedConf","Novel","Phagosome",8,"LRP1, HSPH1, HSP90B1, APOB, PDIA3, MSR1, P4HB, UBC",0,NA,0,NA,0,NA,0
"84",819,"CAMLG",732,"HighConf","Novel",NA,1,"EGFR",0,NA,0,NA,0,NA,0
"85",824,"CAPN2",338,"MedConf","Novel","Focal adhesion, Apoptosis",5,"CAST, ITGA1, UBC, ITGB1, PXN",0,NA,0,NA,0,NA,0
"86",825,"CAPN3",785,"HighConf","Novel",NA,1,"BRAF",0,NA,0,NA,0,NA,0
"87",84433,"CARD11",653,"MedConf","Novel","NF-kappa B signaling pathway, T cell receptor signaling pathway",5,"UBC, PDPK1, MAP3K7, RELA, IKBKB",0,NA,3,"RELA, MAP3K7, IKBKB",0,NA,3
"88",831,"CAST",422,"MedConf","Novel",NA,4,"ITGA1, ITGB1, PXN, CAPN2",0,NA,0,NA,0,NA,0
"89",79820,"CATSPERB",858,"MedConf","Novel",NA,4,"CATSPERG, CACNA1C, CACNA2D1, CACNB4",0,NA,0,NA,0,NA,0
"90",57828,"CATSPERG",525,"MedConf","Novel",NA,4,"CACNA2D1, CATSPERB, CACNB4, CACNA1C",0,NA,0,NA,0,NA,0
"91",859,"CAV3",719,"MedConf","Novel","Focal adhesion",4,"PDGFRA, EGFR, SNTG1, ITGB1",0,NA,0,NA,0,NA,0
"92",55749,"CCAR1",249,"HighConf","Novel",NA,24,"HNRNPM, PAPOLA, PCF11, PRPF8, HNRNPA2B1, RBM10, SF3B1, PTBP1, YBX1, SF3B2, CD2BP2, SRSF1, UBC, SF3B6, SRSF2, HNRNPH1, SRSF3, EFTUD2, POLR2F, SNRPD3, SRRM1, POLR2J, NDUFA1, PHF5A",0,NA,0,NA,11,"SRSF3, SRSF2, SRSF1, SNRPD3, SF3B6, SF3B2, SF3B1, PRPF8, PHF5A, HNRNPM, EFTUD2",11
"93",93233,"CCDC114",827,"MedConf","Novel",NA,6,"DYNC1I1, DYNLL1, DNAI2, DYNLT3, DYNC1H1, DNAH2",0,NA,0,NA,0,NA,0
"94",151903,"CCDC12",753,"HighConf","Spliceosome","Spliceosome",1,"CDC5L",0,NA,0,NA,1,"CDC5L",1
"95",55702,"CCDC94",754,"MedConf","Novel",NA,4,"XAB2, PLRG1, CDC5L, SNW1",0,NA,0,NA,4,"XAB2, SNW1, PLRG1, CDC5L",4
"96",90324,"CCDC97",783,"MedConf","Novel",NA,2,"SF3B1, SF3B6",0,NA,0,NA,2,"SF3B6, SF3B1",2
"97",6357,"CCL13",436,"MedConf","Novel","NF-kappa B signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CXCR3, CCR8, CXCR4, CX3CR1, CXCR5",0,NA,0,NA,0,NA,0
"98",6354,"CCL7",210,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CCR8, CXCR4, CXCR5, CXCR3, CX3CR1",0,NA,0,NA,0,NA,0
"99",9133,"CCNB2",123,"MedConf","Novel","Cell cycle",10,"ATR, PLK1, LIN52, LIN9, CDC25B, CDC25C, CKS2, MYBL2, SFN, UBC",0,NA,0,NA,0,NA,0
"100",894,"CCND2",67,"HighConf","Novel","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",11,"MAX, SP1, CCNE1, E2F3, TAF12, CDK14, NMI, CDK12, CCND3, PCNA, UBC",0,NA,0,NA,0,NA,0
"101",896,"CCND3",66,"HighConf","Novel","PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway, Cell cycle",15,"CCND2, MED14, GAB2, CCNE1, E2F3, MED7, MED26, MED10, MED8, MED21, MED19, CDK14, NMI, CDK12, PCNA",0,NA,0,NA,0,NA,0
"102",898,"CCNE1",167,"MedConf","Novel","PI3K-Akt signaling pathway, Cell cycle",10,"E2F3, HIST1H1B, NMI, MYBL2, CCND3, MAX, FBXW7, CCND2, PCNA, UBC",0,NA,0,NA,0,NA,0
"103",1237,"CCR8",212,"HighConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",32,"GNAI3, CXCR4, C5, NMUR2, AGT, ADRBK1, CXCR5, CXCL13, CCL13, CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, CCL7, OPRM1",0,NA,2,"CXCL8, CXCL11",0,NA,2
"104",10576,"CCT2",68,"HighConf","Novel",NA,6,"PPP2CB, TUBA1A, TUBA4A, PPP4C, CTTNBP2, UBC",0,NA,0,NA,0,NA,0
"105",929,"CD14",197,"HighConf","Toll-like receptor signaling pathway","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Phagosome, Hematopoietic cell lineage",10,"TLR4, MYD88, ITGAM, TICAM1, TIRAP, TLR2, TOLLIP, LY96, EIF2AK2, ITGB1",0,NA,7,"TOLLIP, TLR4, TLR2, TIRAP, TICAM1, MYD88, LY96",0,NA,7
"106",940,"CD28",256,"MedConf","Novel","T cell receptor signaling pathway",5,"PDPK1, PIK3R3, CDC42, SYK, GAB2",0,NA,1,"PIK3R3",0,NA,1
"107",10421,"CD2BP2",205,"MedConf","Novel",NA,21,"POLR2F, POLR2J, HNRNPA2B1, HNRNPH1, PTBP1, SRSF2, YBX1, PHF5A, SRSF1, SRSF3, CCAR1, HNRNPM, PAPOLA, PCF11, SNRPD3, SRRM1, SF3B2, PRPF8, SF3B1, EFTUD2, SF3B6",0,NA,0,NA,11,"SRSF3, SRSF2, SRSF1, SNRPD3, SF3B6, SF3B2, SF3B1, PRPF8, PHF5A, HNRNPM, EFTUD2",11
"108",166979,"CDC20B",822,"MedConf","Novel",NA,1,"BUB1B",0,NA,0,NA,0,NA,0
"109",994,"CDC25B",301,"MedConf","Novel","MAPK signaling pathway, Cell cycle",9,"CDC25C, MAPK13, BRSK2, YWHAG, UBC, PLK1, YWHAH, CCNB2, SFN",0,NA,1,"MAPK13",0,NA,1
"110",995,"CDC25C",304,"HighConf","Novel","Cell cycle",11,"PRKX, PRKAR2B, BRSK2, PCNA, UBC, YWHAG, CCNB2, PLK1, ATR, YWHAH, CDC25B",0,NA,0,NA,0,NA,0
"111",997,"CDC34",613,"MedConf","Novel",NA,4,"FBXW7, UBC, RPS27A, UBB",0,NA,0,NA,0,NA,0
"112",998,"CDC42",218,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Leukocyte transendothelial migration, Chemokine signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Ras signaling pathway, Fc gamma R-mediated phagocytosis, T cell receptor signaling pathway, GnRH signaling pathway",47,"PARD3, RHOB, RAP1A, EXOC7, CD28, ACTR2, GIT1, GNAI3, BUB1B, RHOV, GNAO1, ARHGDIB, LAMA5, CXCR4, CTNND1, PIK3R3, MAPK13, ARHGEF3, ARHGEF6, ARHGAP32, ITGA1, AGRN, KALRN, ARHGAP5, ARHGAP20, RHOF, ITSN2, MAP3K9, PARD6G, WIPF2, SPATA13, CDC42EP3, ARHGAP9, ARHGAP15, MUSK, DOCK10, UBC, NGFR, PXN, UBB, PLK1, MAP2K6, RPS27A, EPS8, ITGB1, A2M, EGFR",0,NA,3,"PIK3R3, MAPK13, MAP2K6",0,NA,3
"113",10602,"CDC42EP3",806,"MedConf","Novel",NA,1,"CDC42",0,NA,0,NA,0,NA,0
"114",988,"CDC5L",60,"MedConf","Spliceosome","Spliceosome",17,"PLRG1, PRPF8, SNRPD3, XAB2, SF3B2, SNW1, SF3B1, EFTUD2, TOP2A, SRRM1, SRSF1, DYNC1H1, BCAS2, SFPQ, CCDC12, CCDC94, UBC",0,NA,0,NA,11,"XAB2, SRSF1, SNW1, SNRPD3, SF3B2, SF3B1, PRPF8, PLRG1, EFTUD2, CCDC12, BCAS2",11
"115",55143,"CDCA8",448,"HighConf","Novel",NA,16,"AIM1, KIF18A, ITGB3BP, PEBP1, CENPP, BIRC5, NUP43, PSMA3, CENPO, RANBP2, PLK1, RANGAP1, BUB1B, RAD21, MIS12, CENPH",1,"PSMA3",0,NA,0,NA,1
"116",1016,"CDH18",812,"MedConf","Novel",NA,2,"CDH5, CTNND1",0,NA,0,NA,0,NA,0
"117",1003,"CDH5",220,"MedConf","Novel","Leukocyte transendothelial migration",4,"CTNND1, PARD6G, CDH18, PARD3",0,NA,0,NA,0,NA,0
"118",51755,"CDK12",755,"MedConf","Novel",NA,3,"CCND2, CCND3, CDK14",0,NA,0,NA,0,NA,0
"119",5218,"CDK14",333,"HighConf","Novel",NA,3,"CDK12, CCND3, CCND2",0,NA,0,NA,0,NA,0
"120",1045,"CDX2",64,"MedConf","Novel",NA,4,"SEC11C, PSMD2, PSMA5, PSMC4",3,"PSMD2, PSMC4, PSMA5",0,NA,0,NA,3
