"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"7257",3611,"ILK","MedConf","Yes",NA,"FAS","TNF signaling pathway (1), p53 signaling pathway (1), Type I diabetes mellitus (1), Apoptosis (1), Platinum drug resistance (1)"
"7401",3669,"ISG20","MedConf","Yes",NA,"MX2, OAS3, HLA-C","Cellular senescence (1), Type I diabetes mellitus (1), NOD-like receptor signaling pathway (1)"
"7464",80271,"ITPKC","HighConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system",NA,NA
"8428",64900,"LPIN3","MedConf","Yes","Metabolic pathways, Glycerophospholipid metabolism",NA,NA
"8737",10905,"MAN1A2","HighConf","Yes","Metabolic pathways",NA,NA
"8741",4122,"MAN2A2","MedConf","Yes","Metabolic pathways",NA,NA
"8943",4200,"ME2","MedConf","Yes","Carbon metabolism, Pyruvate metabolism","PDHA2","Pyruvate metabolism (1), Carbon metabolism (1), Metabolic pathways (1)"
"8960",9440,"MED17","MedConf","Yes",NA,"SREBF1, MED9, CREBBP","Wnt signaling pathway (1)"
"8979",55090,"MED9","MedConf","Yes",NA,"MED17, CREBBP","Wnt signaling pathway (1)"
"9169",326625,"MMAB","HighConf","Yes","Metabolic pathways",NA,NA
"9195",4314,"MMP3","MedConf","Yes","TNF signaling pathway, IL-17 signaling pathway",NA,NA
"9477",4534,"MTM1","MedConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system",NA,NA
"9478",8776,"MTMR1","MedConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system",NA,NA
"9488",55613,"MTMR8","MedConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system",NA,NA
"9545",4600,"MX2","HighConf","Yes",NA,"OAS3, ISG20, HLA-C","Cellular senescence (1), Type I diabetes mellitus (1), NOD-like receptor signaling pathway (1)"
"9564",4609,"MYC","MedConf","Yes","Wnt signaling pathway, Cellular senescence",NA,NA
"9741",4683,"NBN","MedConf","Yes","Cellular senescence","TP53","Cellular senescence (1), p53 signaling pathway (1), Wnt signaling pathway (1), Apoptosis (1), Platinum drug resistance (1)"
"9820",4698,"NDUFA5","MedConf","Yes","Metabolic pathways",NA,NA
"9925",4775,"NFATC3","MedConf","Yes","Wnt signaling pathway, Cellular senescence",NA,NA
"9998",85409,"NKD2","MedConf","Yes","Wnt signaling pathway","DVL2","Wnt signaling pathway (1)"
"10027",22861,"NLRP1","MedConf","Yes","NOD-like receptor signaling pathway",NA,NA
"10063",4836,"NMT1","MedConf","Yes",NA,"CASP8","Apoptosis (2), IL-17 signaling pathway (1), TNF signaling pathway (1), p53 signaling pathway (1), NOD-like receptor signaling pathway (1), Apoptosis - multiple species (1), Platinum drug resistance (1)"
"10255",84618,"NT5C1A","MedConf","Yes","Metabolic pathways, Purine metabolism, Pyrimidine metabolism","DCK, AMPD2, PDE4B","Purine metabolism (3), Metabolic pathways (2), Pyrimidine metabolism (1)"
"10279",4914,"NTRK1","MedConf","Yes","Apoptosis",NA,NA
"10310",318,"NUDT2","MedConf","Yes","Purine metabolism, Pyrimidine metabolism",NA,NA
"10315",11164,"NUDT5","MedConf","Yes","Purine metabolism",NA,NA
"10384",4940,"OAS3","MedConf","Yes","NOD-like receptor signaling pathway","HLA-C, ISG20, MX2, SP100, PML, UBXN7","Cellular senescence (1), Type I diabetes mellitus (1)"
"10446",3175,"ONECUT1","MedConf","Yes",NA,"CREBBP","Wnt signaling pathway (1)"
"11229",5142,"PDE4B","MedConf","Yes","Purine metabolism","NT5C1A, ADCY10, DCK, AMPD2","Purine metabolism (4), Metabolic pathways (3), Pyrimidine metabolism (2)"
"11243",8622,"PDE8B","MedConf","Yes","Purine metabolism",NA,NA
"11254",5161,"PDHA2","MedConf","Yes","Metabolic pathways, Carbon metabolism, Pyruvate metabolism","ME2","Pyruvate metabolism (1), Carbon metabolism (1)"
"11326",8800,"PEX11A","MedConf","Yes",NA,"CREBBP","Wnt signaling pathway (1)"
"11394",9489,"PGS1","MedConf","Yes","Metabolic pathways, Glycerophospholipid metabolism",NA,NA
"11484",51227,"PIGP","MedConf","Yes","Metabolic pathways",NA,NA
"11500",5287,"PIK3C2B","HighConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system","PIP5K1B, SYNJ2","Phosphatidylinositol signaling system (2), Inositol phosphate metabolism (2), Metabolic pathways (2)"
"11530",8395,"PIP5K1B","MedConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system","SYNJ2, DVL2, PIK3C2B","Phosphatidylinositol signaling system (2), Inositol phosphate metabolism (2), Metabolic pathways (2), Wnt signaling pathway (1)"
"11536",23761,"PISD","MedConf","Yes","Metabolic pathways, Glycerophospholipid metabolism","PLA2G3","Glycerophospholipid metabolism (1), Metabolic pathways (1)"
"11590",50487,"PLA2G3","MedConf","Yes","Metabolic pathways, Glycerophospholipid metabolism","PISD","Glycerophospholipid metabolism (1), Metabolic pathways (1)"
"11619",5332,"PLCB4","MedConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system, NOD-like receptor signaling pathway, Wnt signaling pathway",NA,NA
"11718",5366,"PMAIP1","MedConf","Yes","Platinum drug resistance, Apoptosis - multiple species, Apoptosis, p53 signaling pathway","TP53","Cellular senescence (1), p53 signaling pathway (1), Wnt signaling pathway (1), Apoptosis (1), Platinum drug resistance (1)"
"11725",5371,"PML","MedConf","Yes",NA,"CREBBP, SP100, OAS3, HLA-C, TP53","Cellular senescence (2), Wnt signaling pathway (2), p53 signaling pathway (1), Apoptosis (1), Platinum drug resistance (1), Type I diabetes mellitus (1), NOD-like receptor signaling pathway (1)"
"11791",56655,"POLE4","MedConf","Yes","Metabolic pathways, Purine metabolism, Pyrimidine metabolism",NA,NA
"11841",10585,"POMT1","MedConf","Yes","Metabolic pathways",NA,NA
"12257",29968,"PSAT1","MedConf","Yes","Metabolic pathways, Carbon metabolism",NA,NA
"12304",5707,"PSMD1","MedConf","Yes",NA,"DVL2, EIF4G1, ANAPC7, PSME4","Wnt signaling pathway (1)"
"12321",23198,"PSME4","HighConf","Yes",NA,"PSMD1, DVL2, EIF4G1, ANAPC7","Wnt signaling pathway (1)"
"12469",260434,"PYDC1","HighConf","Yes","NOD-like receptor signaling pathway",NA,NA
"12819",8608,"RDH16","MedConf","Yes","Metabolic pathways",NA,NA
"13183",4736,"RPL10A","MedConf","Yes",NA,"RPS8, RPLP2, RPL31, EIF2S1, RPL36, RPL26L1, EIF4G1","Apoptosis (1)"
"13203",51121,"RPL26L1","MedConf","Yes",NA,"EIF4G1, RPL10A, RPLP2, RPL31, RPS8, RPL36, EIF2S1","Apoptosis (1)"
"13210",6160,"RPL31","MedConf","Yes",NA,"EIF2S1, RPL36, RPL26L1, EIF4G1, RPLP2, RPL10A, RPS8","Apoptosis (1)"
"13215",25873,"RPL36","MedConf","Yes",NA,"RPL26L1, EIF4G1, EIF2S1, RPLP2, RPL10A, RPS8, RPL31","Apoptosis (1)"
"13235",6181,"RPLP2","MedConf","Yes",NA,"RPL31, EIF2S1, RPL36, RPL26L1, EIF4G1, RPL10A, RPS8","Apoptosis (1)"
"13293",6202,"RPS8","MedConf","Yes",NA,"RPLP2, RPL31, EIF2S1, RPL36, RPL26L1, EIF4G1, RPL10A","Apoptosis (1)"
"13314",50484,"RRM2B","HighConf","Yes","Metabolic pathways, Purine metabolism, Pyrimidine metabolism, p53 signaling pathway, Glutathione metabolism","TP53","Cellular senescence (1), p53 signaling pathway (1), Wnt signaling pathway (1), Apoptosis (1), Platinum drug resistance (1)"
"13485",112483,"SAT2","MedConf","Yes","Metabolic pathways",NA,NA
"13780",6425,"SFRP5","MedConf","Yes","Wnt signaling pathway","WNT5A","Wnt signaling pathway (1)"
"14069",8604,"SLC25A12","MedConf","Yes",NA,"GOT2","Carbon metabolism (1), aspartate and glutamate metabolism (1), Alanine (1), Metabolic pathways (1)"
"14574",6652,"SORD","HighConf","Yes","Metabolic pathways, Fructose and mannose metabolism","HK3","Fructose and mannose metabolism (1), Carbon metabolism (1), Amino sugar and nucleotide sugar metabolism (1), Metabolic pathways (1)"
"14605",6672,"SP100","MedConf","Yes",NA,"ETS1, OAS3, HLA-C, PML, CREBBP, TP53","Cellular senescence (3), Wnt signaling pathway (2), p53 signaling pathway (1), Apoptosis (1), Platinum drug resistance (1), Type I diabetes mellitus (1), NOD-like receptor signaling pathway (1)"
"14814",6720,"SREBF1","MedConf","Yes",NA,"MED17, CREBBP","Wnt signaling pathway (1)"
"14912",8869,"ST3GAL5","MedConf","Yes","Metabolic pathways, Glycosphingolipid biosynthesis - ganglio series","B4GALT6","Metabolic pathways (1)"
"14929",29906,"ST8SIA5","MedConf","Yes","Metabolic pathways, Glycosphingolipid biosynthesis - ganglio series",NA,NA
"14959",6775,"STAT4","MedConf","Yes",NA,"IL18, CREBBP","NOD-like receptor signaling pathway (1), Wnt signaling pathway (1)"
"15082",6820,"SULT2B1","HighConf","Yes","Steroid hormone biosynthesis","CYP1A1, CYP7A1","Steroid hormone biosynthesis (2), Metabolic pathways (2), Primary bile acid biosynthesis (1)"
"15162",8871,"SYNJ2","HighConf","Yes","Metabolic pathways, Inositol phosphate metabolism, Phosphatidylinositol signaling system","PIK3C2B, PIP5K1B","Phosphatidylinositol signaling system (2), Inositol phosphate metabolism (2), Metabolic pathways (2)"
"15628",26230,"TIAM2","MedConf","Yes",NA,"CREBBP","Wnt signaling pathway (1)"
"16046",8793,"TNFRSF10D","MedConf","Yes","Apoptosis","TP53, FADD","Apoptosis (3), Platinum drug resistance (2), IL-17 signaling pathway (1), TNF signaling pathway (1), NOD-like receptor signaling pathway (1), Apoptosis - multiple species (1), Cellular senescence (1), p53 signaling pathway (1), Wnt signaling pathway (1)"
"16147",7157,"TP53","MedConf","Yes","Platinum drug resistance, Apoptosis, Wnt signaling pathway, p53 signaling pathway, Cellular senescence","PML, CREBBP, SP100, ETS1, AGO1, TNFRSF10D, NBN, FAS, CCNK, CABLES1, RRM2B, PMAIP1, AFP, VCAN, FOXO3","Apoptosis (4), Cellular senescence (3), p53 signaling pathway (3), Platinum drug resistance (2), Apoptosis - multiple species (1), Glutathione metabolism (1), Pyrimidine metabolism (1), Purine metabolism (1), Metabolic pathways (1), TNF signaling pathway (1), Type I diabetes mellitus (1), Wnt signaling pathway (1)"
"16212",7187,"TRAF3","MedConf","Yes","NOD-like receptor signaling pathway, TNF signaling pathway, IL-17 signaling pathway",NA,NA
"16391",51393,"TRPV2","HighConf","Yes","NOD-like receptor signaling pathway",NA,NA
"16627",6675,"UAP1","HighConf","Yes","Metabolic pathways, Amino sugar and nucleotide sugar metabolism",NA,NA
"16723",26043,"UBXN7","MedConf","Yes",NA,"OAS3","NOD-like receptor signaling pathway (1)"
"16953",1462,"VCAN","MedConf","Yes",NA,"TP53","Cellular senescence (1), p53 signaling pathway (1), Wnt signaling pathway (1), Apoptosis (1), Platinum drug resistance (1)"
"17201",7474,"WNT5A","MedConf","Yes","Wnt signaling pathway","SFRP5, DVL2","Wnt signaling pathway (2)"
