"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"4100",23586,"DDX58","MedConf","Yes","NF-kappa B signaling pathway, Cytosolic DNA-sensing pathway, RIG-I-like receptor signaling pathway","IFIH1, ISG15","RIG-I-like receptor signaling pathway (2)"
"4723",10938,"EHD1","HighConf","Yes","Endocytosis","EHD4","Endocytosis (1)"
"4726",30844,"EHD4","MedConf","Yes","Endocytosis","EHD1","Endocytosis (1)"
"4743",5610,"EIF2AK2","MedConf","Yes","Necroptosis","STAT1","Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Toll-like receptor signaling pathway (1), Necroptosis (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1)"
"5131",2167,"FABP4","MedConf","Yes","PPAR signaling pathway","CD36","Adipocytokine signaling pathway (1), PPAR signaling pathway (1), Phagosome (1), Hematopoietic cell lineage (1)"
"5132",2171,"FABP5","HighConf","Yes","PPAR signaling pathway",NA,NA
"5430",8789,"FBP2","HighConf","Yes","Fructose and mannose metabolism","HK2, PFKFB3","Fructose and mannose metabolism (2), HIF-1 signaling pathway (2)"
"5498",2207,"FCER1G","MedConf","Yes","Natural killer cell mediated cytotoxicity","CBL, LCP2, PLA2G4A","Necroptosis (1), Natural killer cell mediated cytotoxicity (1), Osteoclast differentiation (1), ErbB signaling pathway (1), Endocytosis (1)"
"5803",2495,"FTH1","HighConf","Yes","Ferroptosis, Necroptosis, Mineral absorption","FTL","Mineral absorption (1), Necroptosis (1), Ferroptosis (1)"
"5805",2512,"FTL","MedConf","Yes","Ferroptosis, Necroptosis, Mineral absorption","FTH1","Mineral absorption (1), Necroptosis (1), Ferroptosis (1)"
"5870",11337,"GABARAP","MedConf","Yes","NOD-like receptor signaling pathway","SQSTM1","Cellular senescence (1), Necroptosis (1), Osteoclast differentiation (1)"
"5991",2633,"GBP1","HighConf","Yes","NOD-like receptor signaling pathway","GBP2, OAS2, ICAM1, HLA-B, OAS3, PML, CD44, IRF5, HLA-A, MT2A","Natural killer cell mediated cytotoxicity (3), Endocytosis (3), NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"5992",2634,"GBP2","MedConf","Yes","NOD-like receptor signaling pathway","ISG20, GBP1, IFIT3, PML, OAS2, IFIT1, ICAM1, HLA-B, ISG15, HLA-A, MX2, OAS3, IRF5, CD44, IFIT2, MX1, MT2A","NOD-like receptor signaling pathway (3), Natural killer cell mediated cytotoxicity (3), Endocytosis (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"6065",2673,"GFPT1","HighConf","Yes","Alanine, aspartate and glutamate metabolism","HK2, GLS","aspartate and glutamate metabolism (1), Alanine (1), Fructose and mannose metabolism (1), HIF-1 signaling pathway (1)"
"6077",8836,"GGH","MedConf","Yes","Antifolate resistance",NA,NA
"6157",2734,"GLG1","MedConf","Yes","Cell adhesion molecules (CAMs)","CD44","Hematopoietic cell lineage (1)"
"6185",2744,"GLS","HighConf","Yes","Alanine, aspartate and glutamate metabolism","GFPT1","aspartate and glutamate metabolism (1), Alanine (1)"
"6204",2760,"GM2A","MedConf","Yes","Lysosome",NA,NA
"6700",3055,"HCK","MedConf","Yes","Chemokine signaling pathway",NA,NA
"6898",3099,"HK2","MedConf","Yes","HIF-1 signaling pathway, Fructose and mannose metabolism","FBP2, GFPT1, PFKFB3","Fructose and mannose metabolism (2), HIF-1 signaling pathway (1), aspartate and glutamate metabolism (1), Alanine (1)"
"6902",3105,"HLA-A","MedConf","Yes","Phagosome, Cell adhesion molecules (CAMs), Endocytosis, Natural killer cell mediated cytotoxicity, Type I diabetes mellitus, Antigen processing and presentation, Cellular senescence","GBP1, ISG20, MX2, GBP2, OAS3, MX1, MT2A, IFIT1, OAS2, CBL, LCP2, IFIT2, ISG15, PML, ICAM1, IFIT3, IRF5, HLA-B, CD44","NOD-like receptor signaling pathway (4), Natural killer cell mediated cytotoxicity (3), Endocytosis (3), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Cellular senescence (1), Antigen processing and presentation (1), Type I diabetes mellitus (1), Phagosome (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), RIG-I-like receptor signaling pathway (1), ErbB signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"6903",3106,"HLA-B","MedConf","Yes","Phagosome, Cell adhesion molecules (CAMs), Endocytosis, Natural killer cell mediated cytotoxicity, Type I diabetes mellitus, Antigen processing and presentation, Cellular senescence","ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, OAS3, PML, MT2A, OAS2, IRF5, ISG15, IFIT1, CD44","NOD-like receptor signaling pathway (4), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cellular senescence (1), Antigen processing and presentation (1), Type I diabetes mellitus (1), Phagosome (1), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"6954",3162,"HMOX1","HighConf","Yes","Ferroptosis, HIF-1 signaling pathway, Mineral absorption",NA,NA
"7196",3383,"ICAM1","HighConf","Yes","NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), TNF signaling pathway, Natural killer cell mediated cytotoxicity, AGE-RAGE signaling pathway in diabetic complications, Leukocyte transendothelial migration","HLA-A, GBP1, GBP2, ITGAM, CD44, PML, OAS2, NFKB1, MT2A, ITGB2, IRF5, OAS3, ITGAX, HLA-B","NOD-like receptor signaling pathway (5), Phagosome (4), Cellular senescence (3), Natural killer cell mediated cytotoxicity (3), Endocytosis (3), Complement and coagulation cascades (3), Antigen processing and presentation (2), Type I diabetes mellitus (2), Hematopoietic cell lineage (2), Leukocyte transendothelial migration (2), Toll-like receptor signaling pathway (2), Mineral absorption (1), IL-17 signaling pathway (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), Cell adhesion molecules (CAMs) (4)"
"7219",3620,"IDO1","HighConf","Yes","Tryptophan metabolism",NA,NA
"7236",64135,"IFIH1","HighConf","Yes","RIG-I-like receptor signaling pathway","DDX58","RIG-I-like receptor signaling pathway (1), Cytosolic DNA-sensing pathway (1), NF-kappa B signaling pathway (1)"
"7237",3434,"IFIT1","HighConf","Yes",NA,"OAS3, OAS2, IRF5, HLA-B, IFIT3, IFIT2, MX1, HLA-A, ISG20, MX2, GBP2, ISG15, STAT1","NOD-like receptor signaling pathway (4), Toll-like receptor signaling pathway (2), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Osteoclast differentiation (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"7239",3433,"IFIT2","HighConf","Yes",NA,"MX1, HLA-A, ISG20, MX2, GBP2, OAS2, OAS3, IFIT1, ISG15, IRF5, HLA-B, IFIT3","NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"7240",3437,"IFIT3","HighConf","Yes",NA,"IFIT2, MX1, HLA-A, ISG20, MX2, GBP2, OAS3, IRF5, IFIT1, HLA-B, OAS2, ISG15","NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"7299",3482,"IGF2R","MedConf","Yes","Lysosome, Endocytosis",NA,NA
"7371",3552,"IL1A","HighConf","Yes","Hematopoietic cell lineage, Osteoclast differentiation, Necroptosis, AGE-RAGE signaling pathway in diabetic complications, Type I diabetes mellitus, Cellular senescence","IL1RN, IL1B","IL-17 signaling pathway (1), Antifolate resistance (1), Type I diabetes mellitus (1), AGE-RAGE signaling pathway in diabetic complications (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Necroptosis (1), Osteoclast differentiation (1), Hematopoietic cell lineage (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1)"
"7372",3553,"IL1B","HighConf","Yes","NOD-like receptor signaling pathway, NF-kappa B signaling pathway, Hematopoietic cell lineage, Osteoclast differentiation, Necroptosis, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, AGE-RAGE signaling pathway in diabetic complications, Type I diabetes mellitus, Antifolate resistance, IL-17 signaling pathway","IL1A, IL1RN, SQSTM1, NFKB1, NFKB2, IRF5","Osteoclast differentiation (4), Cellular senescence (3), Toll-like receptor signaling pathway (2), NF-kappa B signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Necroptosis (2), IL-17 signaling pathway (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), NOD-like receptor signaling pathway (1), Type I diabetes mellitus (1), Hematopoietic cell lineage (1)"
"7381",3557,"IL1RN","HighConf","Yes",NA,"IL1A, IL1B","Type I diabetes mellitus (2), AGE-RAGE signaling pathway in diabetic complications (2), Necroptosis (2), Osteoclast differentiation (2), Hematopoietic cell lineage (2), Cellular senescence (1), IL-17 signaling pathway (1), Antifolate resistance (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1)"
"7413",259307,"IL4I1","HighConf","Yes","Tryptophan metabolism, Alanine, aspartate and glutamate metabolism",NA,NA
"7549",3663,"IRF5","MedConf","Yes","Toll-like receptor signaling pathway","CD44, MT2A, HLA-B, ICAM1, IL1B, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, PML, OAS3, OAS2, IFIT1, ISG15","NOD-like receptor signaling pathway (5), Endocytosis (3), Type I diabetes mellitus (3), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Phagosome (2), AGE-RAGE signaling pathway in diabetic complications (2), TNF signaling pathway (2), Hematopoietic cell lineage (2), NF-kappa B signaling pathway (2), RIG-I-like receptor signaling pathway (1), IL-17 signaling pathway (1), Antifolate resistance (1), Cytosolic DNA-sensing pathway (1), Toll-like receptor signaling pathway (1), Necroptosis (1), Osteoclast differentiation (1), Leukocyte transendothelial migration (1), Mineral absorption (1), Cell adhesion molecules (CAMs) (3)"
"7569",9636,"ISG15","HighConf","Yes","RIG-I-like receptor signaling pathway","STAT1, IFIT1, OAS3, OAS2, IRF5, HLA-B, DDX58, IFIT3, IFIT2, MX1, HLA-A, ISG20, MX2, GBP2","NOD-like receptor signaling pathway (4), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (2), RIG-I-like receptor signaling pathway (1), Cytosolic DNA-sensing pathway (1), NF-kappa B signaling pathway (1), Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Osteoclast differentiation (1), Cell adhesion molecules (CAMs) (2)"
"7570",3669,"ISG20","HighConf","Yes",NA,"MX2, GBP2, OAS2, OAS3, IRF5, HLA-B, IFIT3, IFIT2, IFIT1, MX1, HLA-A, ISG15","NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"7601",3684,"ITGAM","MedConf","Yes","Hematopoietic cell lineage, Phagosome, Cell adhesion molecules (CAMs), Complement and coagulation cascades, Leukocyte transendothelial migration","ITGB2, ICAM1, TGFBI, ITGAX, NFKB1, PLAUR","Complement and coagulation cascades (3), AGE-RAGE signaling pathway in diabetic complications (2), TNF signaling pathway (2), NF-kappa B signaling pathway (2), Leukocyte transendothelial migration (2), Natural killer cell mediated cytotoxicity (2), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), Phagosome (1), Cell adhesion molecules (CAMs) (2)"
"7603",3687,"ITGAX","MedConf","Yes","Complement and coagulation cascades","ITGAM, ITGB2, ICAM1","Leukocyte transendothelial migration (3), Natural killer cell mediated cytotoxicity (2), Complement and coagulation cascades (2), Phagosome (2), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Hematopoietic cell lineage (1), Cell adhesion molecules (CAMs) (3)"
"7607",3689,"ITGB2","MedConf","Yes","Phagosome, Cell adhesion molecules (CAMs), Complement and coagulation cascades, Natural killer cell mediated cytotoxicity, Leukocyte transendothelial migration","ICAM1, TGFBI, ITGAM, PLAUR, ITGAX, NFKB1","Complement and coagulation cascades (3), Leukocyte transendothelial migration (2), AGE-RAGE signaling pathway in diabetic complications (2), TNF signaling pathway (2), NF-kappa B signaling pathway (2), Phagosome (1), Hematopoietic cell lineage (1), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Cell adhesion molecules (CAMs) (2)"
"8078",8564,"KMO","MedConf","Yes","Tryptophan metabolism","KYNU","Tryptophan metabolism (1)"
"8244",8942,"KYNU","HighConf","Yes","Tryptophan metabolism","KMO","Tryptophan metabolism (1)"
"8348",3937,"LCP2","MedConf","Yes","Osteoclast differentiation, Natural killer cell mediated cytotoxicity","HLA-A, FCER1G, CBL","Endocytosis (2), Natural killer cell mediated cytotoxicity (2), ErbB signaling pathway (1), Cellular senescence (1), Antigen processing and presentation (1), Type I diabetes mellitus (1), Phagosome (1), Cell adhesion molecules (CAMs) (1)"
"8410",5641,"LGMN","MedConf","Yes","Lysosome, Antigen processing and presentation","CD74","Antigen processing and presentation (1)"
"8492",3988,"LIPA","HighConf","Yes","Lysosome",NA,NA
"8524",4001,"LMNB1","MedConf","Yes","Apoptosis",NA,NA
"9454",4360,"MRC1","HighConf","Yes","Phagosome",NA,NA
"9614",4502,"MT2A","HighConf","Yes","Mineral absorption","HLA-B, ICAM1, HLA-A, GBP1, GBP2, CD44, OAS3, OAS2, PML, IRF5","NOD-like receptor signaling pathway (4), Endocytosis (3), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"9706",4599,"MX1","HighConf","Yes",NA,"HLA-A, ISG20, MX2, GBP2, OAS3, IFIT2, IFIT3, IRF5, OAS2, ISG15, IFIT1, HLA-B","NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"9707",4600,"MX2","HighConf","Yes",NA,"GBP2, IFIT1, OAS3, MX1, IFIT2, HLA-B, ISG20, HLA-A, ISG15, IRF5, IFIT3, OAS2","NOD-like receptor signaling pathway (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Natural killer cell mediated cytotoxicity (2), Endocytosis (2), Phagosome (2), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"9859",10135,"NAMPT","HighConf","Yes","NOD-like receptor signaling pathway",NA,NA
"9926",4688,"NCF2","MedConf","Yes","Phagosome, Osteoclast differentiation, Leukocyte transendothelial migration","CLTA","Endocytosis (1), Lysosome (1)"
"9950",23385,"NCSTN","MedConf","Yes",NA,"STAT5A, NFKB1","Prolactin signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), ErbB signaling pathway (1), Necroptosis (1), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1)"
"10099",4790,"NFKB1","HighConf","Yes","NOD-like receptor signaling pathway, NF-kappa B signaling pathway, Osteoclast differentiation, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, HIF-1 signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Chemokine signaling pathway, Antifolate resistance, Apoptosis, Adipocytokine signaling pathway, Prolactin signaling pathway, RIG-I-like receptor signaling pathway, Cellular senescence, IL-17 signaling pathway","REL, NFKB2, ITGAM, ITGB2, ICAM1, IL1B, CD40, NCSTN, TRAF1, SQSTM1","NF-kappa B signaling pathway (5), TNF signaling pathway (3), Osteoclast differentiation (3), Leukocyte transendothelial migration (3), Necroptosis (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Hematopoietic cell lineage (2), Natural killer cell mediated cytotoxicity (2), Complement and coagulation cascades (2), Phagosome (2), Apoptosis (1), Cellular senescence (1), IL-17 signaling pathway (1), Antifolate resistance (1), Type I diabetes mellitus (1), Cytosolic DNA-sensing pathway (1), NOD-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (4)"
"10100",4791,"NFKB2","HighConf","Yes","NF-kappa B signaling pathway, Osteoclast differentiation","IL1B, REL, NFKB1","IL-17 signaling pathway (2), Antifolate resistance (2), AGE-RAGE signaling pathway in diabetic complications (2), Cytosolic DNA-sensing pathway (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Osteoclast differentiation (2), NF-kappa B signaling pathway (2), NOD-like receptor signaling pathway (2), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Type I diabetes mellitus (1), Necroptosis (1), Hematopoietic cell lineage (1)"
"10299",10577,"NPC2","MedConf","Yes","Lysosome",NA,NA
"10543",4939,"OAS2","MedConf","Yes","NOD-like receptor signaling pathway","IRF5, CD44, MT2A, HLA-B, ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, PML, IFIT1, ISG15, OAS3","NOD-like receptor signaling pathway (3), Endocytosis (3), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), RIG-I-like receptor signaling pathway (1), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"10544",4940,"OAS3","MedConf","Yes","NOD-like receptor signaling pathway","OAS2, IRF5, CD44, MT2A, HLA-B, ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, IFIT1, ISG15, PML","Endocytosis (3), NOD-like receptor signaling pathway (3), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), RIG-I-like receptor signaling pathway (1), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"11463",5175,"PECAM1","MedConf","Yes","Cell adhesion molecules (CAMs), Leukocyte transendothelial migration",NA,NA
"11508",5209,"PFKFB3","HighConf","Yes","HIF-1 signaling pathway, Fructose and mannose metabolism","HK2, FBP2","Fructose and mannose metabolism (2), HIF-1 signaling pathway (1)"
"11749",5321,"PLA2G4A","MedConf","Yes","Necroptosis","FCER1G, PTGS2","IL-17 signaling pathway (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Natural killer cell mediated cytotoxicity (1)"
