"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","NtwrkCount.NA","Ntwrk.NA","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"43",332,"BIRC5",220,"MedConf","Novel","Apoptosis",19,"NUP43, BUB1B, CENPH, POLB, CENPO, RANBP2, KIF18A, CYP2A6, GRAMD3, CDCA8, REEP2, KIF4A, PLK1, GTSE1, MAX, RAD21, PSMA3, ITGB1, MIS12",0,NA,0,"",0,"",0
"44",655,"BMP7",247,"MedConf","Novel","Cytokine-cytokine receptor interaction",3,"BMPR1B, SMAD6, SMAD1",0,NA,0,"",0,"",0
"45",658,"BMPR1B",256,"MedConf","Novel","Cytokine-cytokine receptor interaction",5,"SMAD6, SMAD4, MAP3K7, BMP7, SMAD1",1,"MAP3K7",0,"",0,"",1
"46",673,"BRAF",117,"MedConf","Novel","Rap1 signaling pathway, MAPK signaling pathway, Chemokine signaling pathway, Regulation of actin cytoskeleton, Serotonergic synapse, cAMP signaling pathway, Long-term depression, Focal adhesion",5,"RAP1A, MRAS, CAPN3, SFN, YWHAG",0,NA,0,"",0,"",0
"47",701,"BUB1B",238,"MedConf","Novel",NA,34,"CENPH, PSMF1, CENPO, RANBP2, KIF18A, CDCA8, PHC2, PSMA6, PSMD6, PSMB1, PSMB4, PSMD11, PSMA1, NUP43, PSMD1, PSMB2, PSMD2, PSMA7, PSMA4, PSMA5, CDC42, PSMD3, UBB, BIRC5, PSMD7, PSMD12, PSMC2, RAD21, PLK1, PSMC5, PSMA3, PSMC4, MIS12, PSMC1",0,NA,0,"",0,"",0
"48",727,"C5",288,"MedConf","Novel",NA,19,"NMUR2, CXCL13, MTNR1B, CXCR3, DRD2, DRD3, CXCL11, HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, OPRM1, CCR8, GNAI3, CXCR4",1,"CXCL11",0,"",0,"",1
"49",91768,"CABLES1",597,"HighConf","Novel",NA,1,"CTNND1",0,NA,0,"",0,"",0
"50",775,"CACNA1C",308,"MedConf","Novel","MAPK signaling pathway, Serotonergic synapse, cAMP signaling pathway, Dopaminergic synapse, Renin secretion, GnRH signaling pathway, cGMP-PKG signaling pathway, Insulin secretion, Adrenergic signaling in cardiomyocytes",13,"GNG10, CACNB4, CATSPERG, CACNA2D1, NCAM1, CATSPERB, GNG3, GNAO1, GNAI3, PRKX, PPP2R5A, PPP2R5E, PPP2CB",0,NA,0,"",0,"",0
"51",781,"CACNA2D1",378,"HighConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",8,"CATSPERB, CACNB4, PPP2CB, CACNA1C, PPP2R5A, PPP2R5E, PRKX, CATSPERG",0,NA,0,"",0,"",0
"52",785,"CACNB4",364,"MedConf","Novel","MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"CATSPERG, CACNA2D1, NCAM1, CATSPERB, CACNA1C, PPP2R5E, PPP2CB, PRKX, PPP2R5A",0,NA,0,"",0,"",0
"53",811,"CALR",169,"MedConf","Novel","Protein processing in endoplasmic reticulum, Phagosome",6,"LRP1, HSP90B1, APOB, HSPH1, MSR1, P4HB",0,NA,0,"",0,"",0
"54",819,"CAMLG",474,"HighConf","Novel",NA,1,"EGFR",0,NA,0,"",0,"",0
"55",824,"CAPN2",258,"MedConf","Novel","Protein processing in endoplasmic reticulum, Focal adhesion, Apoptosis",3,"CAST, ITGB1, PXN",0,NA,0,"",0,"",0
"56",825,"CAPN3",531,"HighConf","Novel",NA,1,"BRAF",0,NA,0,"",0,"",0
"57",84433,"CARD11",499,"MedConf","Novel","NF-kappa B signaling pathway",4,"MAP3K7, PDPK1, IKBKB, RELA",3,"RELA, MAP3K7, IKBKB",0,"",0,"",3
"58",831,"CAST",452,"MedConf","Novel",NA,3,"CAPN2, PXN, ITGB1",0,NA,0,"",0,"",0
"59",79820,"CATSPERB",612,"MedConf","Novel",NA,4,"CACNA2D1, CACNA1C, CACNB4, CATSPERG",0,NA,0,"",0,"",0
"60",57828,"CATSPERG",377,"MedConf","Novel",NA,4,"CACNA2D1, CATSPERB, CACNB4, CACNA1C",0,NA,0,"",0,"",0
"61",859,"CAV3",456,"HighConf","Novel","Focal adhesion",3,"EGFR, ITGB1, SNTG1",0,NA,0,"",0,"",0
"62",55749,"CCAR1",189,"HighConf","Novel",NA,20,"HNRNPM, PAPOLA, PCF11, POLR2J, SRSF3, PTBP1, SF3B2, SRSF1, SNRPD3, HNRNPH1, PHF5A, EFTUD2, NDUFA1, SF3B1, HNRNPA2B1, SRSF2, YBX1, SRRM1, POLR2F, SF3B6",0,NA,0,"",0,"",0
"63",93233,"CCDC114",585,"MedConf","Novel",NA,5,"DNAH2, DYNC1I1, DYNC1H1, DYNLT3, DNAI2",0,NA,0,"",0,"",0
"64",151903,"CCDC12",493,"HighConf","Novel","Spliceosome",1,"CDC5L",0,NA,0,"",0,"",0
"65",55702,"CCDC94",494,"MedConf","Novel",NA,3,"CDC5L, PLRG1, SNW1",0,NA,0,"",0,"",0
"66",6357,"CCL13",321,"MedConf","Novel","NF-kappa B signaling pathway, Chemokine signaling pathway, Cytokine-cytokine receptor interaction",4,"CXCR3, CXCR4, CCR8, CX3CR1",0,NA,0,"",0,"",0
"67",6354,"CCL7",159,"HighConf","Novel","Chemokine signaling pathway, Cytokine-cytokine receptor interaction",4,"CCR8, CXCR4, CXCR3, CX3CR1",0,NA,0,"",0,"",0
"68",9133,"CCNB2",101,"HighConf","Novel",NA,5,"PLK1, CDC25B, CDC25C, MYBL2, SFN",0,NA,0,"",0,"",0
"69",894,"CCND2",54,"MedConf","Novel","PI3K-Akt signaling pathway, Focal adhesion",10,"MAX, SP1, CCNE1, E2F3, TAF12, CDK14, NMI, CDK12, PCNA, CCND3",0,NA,0,"",0,"",0
"70",896,"CCND3",53,"HighConf","Novel","PI3K-Akt signaling pathway, Focal adhesion",15,"CCND2, NCOA3, GAB2, CCNE1, E2F3, MED26, MED10, MED8, MED21, MED19, CDK14, NMI, CDK12, PPARGC1A, PCNA",0,NA,0,"",0,"",0
"71",898,"CCNE1",130,"MedConf","Novel","PI3K-Akt signaling pathway",9,"E2F3, NMI, MYBL2, HIST1H1B, CCND2, MAX, FBXW7, CCND3, PCNA",0,NA,0,"",0,"",0
"72",1237,"CCR8",161,"HighConf","Novel","Chemokine signaling pathway, Cytokine-cytokine receptor interaction",24,"GNAI3, CXCR4, C5, NMUR2, CXCL13, CCL13, MTNR1B, CXCR3, DRD2, DRD3, CXCL11, HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, CCL7, OPRM1",1,"CXCL11",0,"",0,"",1
"73",10576,"CCT2",55,"HighConf","Novel",NA,3,"PPP2CB, TUBA1A, PPP4C",0,NA,0,"",0,"",0
"74",929,"CD14",150,"HighConf","Toll-like receptor signaling pathway","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, MAPK signaling pathway, Regulation of actin cytoskeleton, Phagosome",9,"TLR4, MYD88, ITGAM, TICAM1, TIRAP, TLR2, TOLLIP, LY96, ITGB1",7,"TOLLIP, TLR4, TLR2, TIRAP, TICAM1, MYD88, LY96",0,"",0,"",7
"75",994,"CDC25B",230,"MedConf","Novel","MAPK signaling pathway",6,"CDC25C, MAPK13, YWHAG, PLK1, SFN, CCNB2",1,"MAPK13",0,"",0,"",1
"76",995,"CDC25C",233,"HighConf","Novel",NA,7,"PRKX, PRKAR2B, CCNB2, PCNA, YWHAG, CDC25B, PLK1",0,NA,0,"",0,"",0
"77",998,"CDC42",166,"MedConf","Novel","Rap1 signaling pathway, Leukocyte transendothelial migration, MAPK signaling pathway, Chemokine signaling pathway, Ras signaling pathway, Regulation of actin cytoskeleton, GnRH signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, VEGF signaling pathway",34,"PARD3, RHOB, RAP1A, ACTR2, GIT1, GNAI3, BUB1B, GNAO1, CXCR4, CTNND1, PIK3R3, MAPK13, ARHGEF3, ARHGEF6, ARHGAP32, AGRN, ARHGAP5, ARHGAP20, RHOF, EXOC7, WIPF2, ITSN2, CDC42EP3, ARHGAP15, MAP3K9, DOCK10, PLK1, PXN, UBB, ITGB1, EPS8, NGFR, EGFR, A2M",2,"PIK3R3, MAPK13",0,"",0,"",2
"78",10602,"CDC42EP3",553,"MedConf","Novel",NA,1,"CDC42",0,NA,0,"",0,"",0
"79",988,"CDC5L",48,"MedConf","Novel","Spliceosome",12,"PLRG1, SNRPD3, SF3B2, SNW1, SF3B1, EFTUD2, SRRM1, SRSF1, DYNC1H1, CCDC12, CCDC94, SFPQ",0,NA,0,"",0,"",0
"80",55143,"CDCA8",470,"HighConf","Novel",NA,11,"MIS12, BUB1B, PSMA3, NUP43, RANBP2, RAD21, PLK1, BIRC5, KIF18A, CENPO, CENPH",0,NA,0,"",0,"",0
"81",1016,"CDH18",559,"MedConf","Novel",NA,2,"CTNND1, CDH5",0,NA,0,"",0,"",0
"82",1003,"CDH5",168,"MedConf","Novel","Leukocyte transendothelial migration",3,"CTNND1, CDH18, PARD3",0,NA,0,"",0,"",0
"83",51755,"CDK12",496,"MedConf","Novel",NA,3,"CDK14, CCND2, CCND3",0,NA,0,"",0,"",0
"84",5218,"CDK14",253,"HighConf","Novel",NA,3,"CDK12, CCND3, CCND2",0,NA,0,"",0,"",0
"85",1052,"CEBPD",301,"MedConf","Novel",NA,14,"TTR, EGR2, G6PC, RELA, MED26, PPARGC1A, SP1, MAX, MED10, MED21, CREB1, NCOA3, MED19, MED8",1,"RELA",0,"",0,"",1
"86",64946,"CENPH",251,"MedConf","Novel",NA,10,"CENPO, RANBP2, KIF18A, CDCA8, BUB1B, BIRC5, PLK1, RAD21, NUP43, MIS12",0,NA,0,"",0,"",0
"87",79172,"CENPO",314,"HighConf","Novel",NA,10,"RANBP2, KIF18A, CDCA8, MIS12, CENPH, BIRC5, BUB1B, NUP43, PLK1, RAD21",0,NA,0,"",0,"",0
"88",22995,"CEP152",306,"MedConf","Novel",NA,7,"DYNC1I2, PRKAR2B, CEP250, TUBA1A, DYNC1H1, YWHAG, PLK1",0,NA,0,"",0,"",0
"89",11190,"CEP250",447,"MedConf","Novel",NA,7,"PLK1, YWHAG, TUBA1A, CEP152, PRKAR2B, DYNC1H1, DYNC1I2",0,NA,0,"",0,"",0
"90",10390,"CEPT1",406,"HighConf","Novel","Ether lipid metabolism",8,"LPCAT4, PPAP2A, DGKZ, DGKE, PLA2G4A, PAFAH1B3, JMJD7-PLA2G4B, PLA2G4D",0,NA,0,"",0,"",0
"91",1072,"CFL1",208,"HighConf","Novel","Regulation of actin cytoskeleton",3,"CFL2, PFN1, ACTA2",0,NA,0,"",0,"",0
"92",1073,"CFL2",575,"MedConf","Novel","Regulation of actin cytoskeleton",1,"CFL1",0,NA,0,"",0,"",0
"93",8837,"CFLAR",178,"HighConf","Novel","NF-kappa B signaling pathway, TNF signaling pathway, Apoptosis",3,"TICAM1, MAX, RIPK1",2,"TICAM1, RIPK1",0,"",0,"",2
"94",1108,"CHD4",50,"MedConf","Novel",NA,6,"MTA2, PHF12, MBD3, PHF21A, MBD2, HDAC2",0,NA,0,"",0,"",0
"95",27243,"CHMP2A",149,"HighConf","Novel",NA,3,"VPS36, TSG101, UBB",0,NA,0,"",0,"",0
"96",26097,"CHTOP",460,"HighConf","Novel",NA,1,"THOC1",0,NA,0,"",0,"",0
"97",5010,"CLDN11",608,"MedConf","Novel","Leukocyte transendothelial migration",5,"CLDN15, MPDZ, CLDN19, CLDN14, CLDN2",0,NA,0,"",0,"",0
"98",23562,"CLDN14",399,"HighConf","Novel","Leukocyte transendothelial migration",5,"CLDN2, CLDN15, CLDN11, CLDN19, MPDZ",0,NA,0,"",0,"",0
"99",24146,"CLDN15",401,"MedConf","Novel","Leukocyte transendothelial migration",5,"CLDN11, CLDN2, CLDN14, MPDZ, CLDN19",0,NA,0,"",0,"",0
"100",149461,"CLDN19",296,"MedConf","Novel","Leukocyte transendothelial migration",5,"MPDZ, CLDN14, CLDN2, CLDN15, CLDN11",0,NA,0,"",0,"",0
"101",9075,"CLDN2",400,"MedConf","Novel","Leukocyte transendothelial migration",5,"CLDN15, CLDN11, MPDZ, CLDN14, CLDN19",0,NA,0,"",0,"",0
"102",9685,"CLINT1",572,"MedConf","Novel",NA,1,"CLTC",0,NA,0,"",0,"",0
"103",1195,"CLK1",567,"MedConf","Novel",NA,1,"SRSF1",0,NA,0,"",0,"",0
"104",1211,"CLTA",262,"MedConf","Novel","Endocrine and other factor-regulated calcium reabsorption",5,"ARHGAP5, KIF4A, ASAP1, CLTC, EGFR",0,NA,0,"",0,"",0
"105",1213,"CLTC",200,"MedConf","Novel","Endocrine and other factor-regulated calcium reabsorption",6,"CLTA, SNX9, WNT5A, CLINT1, MAP3K7, IKBKB",2,"MAP3K7, IKBKB",0,"",0,"",2
"106",255919,"CNEP1R1",497,"MedConf","Novel",NA,4,"PPP2CB, PPP4R2, PPP4C, PPP2R5A",0,NA,0,"",0,"",0
"107",1259,"CNGA1",392,"MedConf","Novel","cAMP signaling pathway, cGMP-PKG signaling pathway",1,"PDE6A",0,NA,0,"",0,"",0
"108",55571,"CNOT11",547,"MedConf","Novel",NA,3,"EIF4B, EIF4G1, EIF4A1",0,NA,0,"",0,"",0
"109",6900,"CNTN2",283,"HighConf","Novel",NA,2,"NCAM1, IKBKB",1,"IKBKB",0,"",0,"",1
"110",1308,"COL17A1",83,"HighConf","Novel",NA,4,"COL1A2, COL4A2, COL20A1, COL23A1",0,NA,0,"",0,"",0
"111",1278,"COL1A2",327,"HighConf","Novel","PI3K-Akt signaling pathway, Relaxin signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Platelet activation",15,"EDN1, COL4A2, COL20A1, COL23A1, LEPRE1, SMAD4, FLT4, JUN, ITGAV, SP1, ITGA5, ITGB1, COL17A1, MAX, P4HB",1,"JUN",0,"",0,"",1
"112",57642,"COL20A1",421,"MedConf","Novel",NA,4,"COL23A1, COL1A2, COL17A1, COL4A2",0,NA,0,"",0,"",0
"113",91522,"COL23A1",457,"HighConf","Novel",NA,5,"COL20A1, COL17A1, COL1A2, ITGB1, COL4A2",0,NA,0,"",0,"",0
"114",1284,"COL4A2",370,"MedConf","Novel","PI3K-Akt signaling pathway, Relaxin signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications",7,"COL20A1, COL23A1, COL17A1, COL1A2, ITGA5, ITGAV, ITGB1",0,NA,0,"",0,"",0
"115",9318,"COPS2",145,"MedConf","Novel",NA,9,"SIN3B, COPS7A, PSMA6, PSMC1, COPS5, JUN, COPS6, PSMC5, LAT",1,"JUN",0,"",0,"",1
"116",10987,"COPS5",107,"HighConf","Novel",NA,16,"EIF3A, EIF3J, COPS2, SMAD4, EPO, CREB1, ARNT, EDN1, COPS7A, PSMD12, JUN, IKBKB, LAT, COPS6, PSMA6, EIF3I",2,"JUN, IKBKB",0,"",0,"",2
"117",10980,"COPS6",103,"MedConf","Novel",NA,4,"COPS5, COPS2, COPS7A, LAT",0,NA,0,"",0,"",0
"118",50813,"COPS7A",472,"HighConf","Novel",NA,4,"LAT, COPS2, COPS6, COPS5",0,NA,0,"",0,"",0
"119",1385,"CREB1",231,"HighConf","Novel","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, cAMP signaling pathway, Dopaminergic synapse, Relaxin signaling pathway, Osteoclast differentiation, Renin secretion, cGMP-PKG signaling pathway, Insulin secretion, Glucagon signaling pathway, Adrenergic signaling in cardiomyocytes, Estrogen signaling pathway",15,"ARNT, MAPK13, PRKX, CEBPD, PRKAR2B, EDN1, NR1D1, G6PC, COPS5, HDAC2, JUN, RBPJ, ESRRA, PPARGC1A, EPO",2,"MAPK13, JUN",0,"",0,"",2
"120",1436,"CSF1R",291,"HighConf","Novel","PI3K-Akt signaling pathway, Rap1 signaling pathway, Ras signaling pathway, Cytokine-cytokine receptor interaction, Osteoclast differentiation",8,"EFNA2, FGF9, FGF8, FGF10, SH3GLB2, ITGAV, SPI1, SH3GLB1",0,NA,0,"",0,"",0
"121",1490,"CTGF",525,"MedConf","Novel","Apelin signaling pathway",3,"YAP1, ITGAM, NCOA6",0,NA,0,"",0,"",0
"122",1500,"CTNND1",276,"HighConf","Novel","Rap1 signaling pathway, Leukocyte transendothelial migration",7,"CDH18, CABLES1, PLEKHA7, CDH5, RAP1A, CDC42, EGFR",0,NA,0,"",0,"",0
"123",1524,"CX3CR1",9,"MedConf","Novel","Chemokine signaling pathway, Cytokine-cytokine receptor interaction",8,"CCL7, GNAI3, CXCL13, CCL13, CXCL11, XCL2, PF4, GRK4",1,"CXCL11",0,"",0,"",1
"124",6373,"CXCL11",365,"MedConf","Toll-like receptor signaling pathway","Toll-like receptor signaling pathway, Chemokine signaling pathway, Cytokine-cytokine receptor interaction",21,"HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, PF4, OPRM1, C5, CCR8, DRD2, MTNR1B, CXCR3, CX3CR1, CXCL13, DRD3, GNAI3, CXCR4, NMUR2",0,NA,0,"",0,"",0
"125",10563,"CXCL13",320,"MedConf","Novel","Chemokine signaling pathway, Cytokine-cytokine receptor interaction",20,"MTNR1B, CXCR3, DRD2, DRD3, CXCL11, HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, C5, CCR8, CXCR4, GNAI3, OPRM1, NMUR2, CX3CR1",1,"CXCL11",0,"",0,"",1
"126",2833,"CXCR3",334,"MedConf","Novel","Chemokine signaling pathway, Cytokine-cytokine receptor interaction",26,"DRD2, DRD3, CXCL11, HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, MTNR1B, CXCR4, OPRM1, CCL13, NMUR2, GNAO1, CXCL13, C5, GNAI3, CCL7, DNM1, CCR8",1,"CXCL11",0,"",0,"",1
"127",7852,"CXCR4",272,"HighConf","Novel","Leukocyte transendothelial migration, Chemokine signaling pathway, Cytokine-cytokine receptor interaction",33,"ADRB2, C5, NMUR2, DNM1, TLR2, CXCL13, CCL13, MTNR1B, CXCR3, EDN1, DRD2, DRD3, CXCL11, HTR1A, SSTR4, PTGDR2, HCAR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, CCR8, OPRM1, CCL7, PXN, CDC42, GNAO1, ARNT, GNAI3, STAT1",3,"TLR2, STAT1, CXCL11",0,"",0,"",3
"128",1540,"CYLD",435,"HighConf","Novel","Osteoclast differentiation, RIG-I-like receptor signaling pathway",5,"STAT1, TUBA1A, TNFRSF1A, RIPK1, UBB",2,"STAT1, RIPK1",0,"",0,"",2
"129",1548,"CYP2A6",376,"MedConf","Novel",NA,8,"GRAMD3, REEP2, GSTA3, GSTP1, GSTO1, GTSE1, MGST1, BIRC5",0,NA,0,"",0,"",0
"130",1603,"DAD1",206,"HighConf","Novel","Protein processing in endoplasmic reticulum",3,"SEC61A1, DOLPP1, PCNA",0,NA,0,"",0,"",0
