EntrezID,GeneSymbol,GeneMappingID,ConfidenceCategory,Group,Pathway,Allnet.count,Ntwrk.all
183,AGT,368,MedConf,Novel,Renin secretion,58,"DRD2, CXCL8, ADRB2, CFTR, DNM1, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, MME, XCL2, PIK3R3, GNA11, PRKAR2B, ADRBK1, GNG3, CTSD, GNG10, C5, GNAI3, NCOA6, ACE"
189,AGXT,829,MedConf,Novel,,1,DLD
10598,AHSA1,161,MedConf,Novel,,2,"STAT1, PSMC4"
205,AK4,603,HighConf,Novel,,2,"PDE1B, PDE3B"
122481,AK7,602,HighConf,Novel,,2,"PDE1B, PDE3B"
10327,AKR1A1,225,MedConf,Novel,,2,"CFL1, ALDH3A2"
224,ALDH3A2,435,HighConf,Novel,"Valine, leucine and isoleucine degradation, Lysine degradation",5,"AOC1, ADH4, DBT, ABAT, AKR1A1"
226,ALDOA,224,HighConf,Novel,,4,"CFL1, TGFB2, PF4, G6PC"
246,ALOX15,911,MedConf,Novel,Serotonergic synapse,7,"PLA2G4A, PLA2G4D, ALOX5, GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B"
240,ALOX5,482,MedConf,Novel,"Serotonergic synapse, Fc epsilon RI signaling pathway",7,"GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B, ALOX15, PLA2G4A, PLA2G4D"
57679,ALS2,1047,HighConf,Novel,,1,RAB5A
51421,AMOTL2,708,MedConf,Novel,,2,"PARD3, DYNLL1"
270,AMPD1,918,HighConf,Novel,,2,"PDE1B, PDE3B"
287,ANK2,832,HighConf,Novel,,6,"DYNC1H1, DCTN4, DYNC1I2, DYNLL1, DYNC1I1, DYNC2LI1"
23294,ANKS1A,743,MedConf,Novel,,1,PIK3R3
26,AOC1,828,MedConf,Novel,,1,ALDH3A2
320,APBA1,948,MedConf,Novel,,3,"SYT1, STX1A, SLC18A2"
321,APBA2,793,MedConf,Novel,,1,STX1A
51107,APH1A,272,MedConf,Novel,Notch signaling pathway,5,"ITGB3BP, NOTCH4, DTX1, NCSTN, NGFR"
338,APOB,446,MedConf,Novel,,19,"TACR1, CHRM2, TLR4, MSR1, PPP2R5E, HSP90B1, CALR, PPP2CB, PTPN6, CLTC, SYT1, RAB5A, EGFR, ITGAM, PPP2R5A, CLTA, ADRB2, CFTR, DNM1"
372,ARCN1,340,HighConf,Novel,,9,"CLTA, DYNC1I1, DYNC2LI1, DYNC1H1, STX18, SF3B1, DCTN4, DYNC1I2, DYNLL1"
381,ARF5,253,MedConf,Novel,,6,"DYNLL1, DYNC1I1, DYNC2LI1, DYNC1H1, DCTN4, DYNC1I2"
55843,ARHGAP15,940,HighConf,Novel,,1,CDC42
57569,ARHGAP20,938,MedConf,Novel,,1,CDC42
9743,ARHGAP32,941,MedConf,Novel,,1,CDC42
394,ARHGAP5,856,HighConf,Novel,Focal adhesion,5,"CDC42, RHOB, CLTA, RHOV, RHOF"
64333,ARHGAP9,943,MedConf,Novel,,1,CDC42
397,ARHGDIB,301,MedConf,Novel,Vasopressin-regulated water reabsorption,6,"RHOB, RHOV, RHOF, CDC42, NGFR, JUN"
128272,ARHGEF19,939,HighConf,Novel,,1,CDC42
50650,ARHGEF3,942,MedConf,Novel,,1,CDC42
9459,ARHGEF6,408,HighConf,Novel,Regulation of actin cytoskeleton,11,"RHOV, RHOF, AGRN, ITGA1, MRAS, GIT1, PXN, ITGB1, CDC42, RHOB, LAMA5"
405,ARNT,331,HighConf,Novel,,7,"EDN1, CXCR4, SLC2A1, CREB1, SMAD4, EPO, JUN"
10095,ARPC1B,276,MedConf,Novel,Regulation of actin cytoskeleton,7,"PDGFRB, NT5C, ACTR2, PSMA7, CDC42, WIPF2, ABI1"
427,ASAH1,615,HighConf,Novel,Sphingolipid signaling pathway,3,"SGPP2, PPAP2A, SMPD2"
50807,ASAP1,969,MedConf,Novel,,1,CLTA
8853,ASAP2,977,MedConf,Novel,,1,CLTA
55870,ASH1L,881,MedConf,Novel,Lysine degradation,1,PLOD3
9070,ASH2L,742,HighConf,Novel,,1,JUN
434,ASIP,666,MedConf,Novel,,1,YWHAH
54829,ASPN,951,MedConf,Novel,,1,TGFB2
467,ATF3,228,MedConf,Novel,,4,"SMAD4, JUN, CREB3, CREB1"
1388,ATF6B,547,MedConf,Novel,"PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, Relaxin signaling pathway, Insulin secretion, Adrenergic signaling in cardiomyocytes",3,"PRKD1, CREB3, CREB1"
9776,ATG13,520,MedConf,Novel,,6,"PYDC1, CCND2, CCND3, IKBKB, DYNLL1, ERC1"
25923,ATL3,219,MedConf,Novel,,2,"HADHA, EIF3B"
479,ATP12A,954,MedConf,Novel,,3,"ATP1B3, ATP1A3, ATP1B2"
478,ATP1A3,351,MedConf,Novel,"Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",8,"ABCG5, ATP1B2, ATP1B4, ABCA2, ATP12A, FXYD7, ATP1B3, CLTC"
482,ATP1B2,383,MedConf,Novel,"Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",9,"ATP1B4, ABCA2, ATP12A, FXYD7, ATP1B3, RPS8, RPLP2, ATP1A3, ABCG5"
483,ATP1B3,74,HighConf,Novel,"Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",15,"RPS8, RPL26L1, RPLP2, NDUFA2, ATP1A3, ITGA5, ABCG5, ATP1B2, ATP1B4, ABCA2, ATP12A, FXYD7, PSMD6, RTN4, DLD"
23439,ATP1B4,786,MedConf,Novel,"Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Protein digestion and absorption, Insulin secretion, Adrenergic signaling in cardiomyocytes",5,"ATP1B3, SNW1, SMAD4, ATP1A3, ATP1B2"
487,ATP2A1,471,MedConf,Novel,,4,"CACNB4, CACNA1C, CACNA2D1, NOTCH4"
537,ATP6AP1,417,HighConf,Novel,Phagosome,5,"TF, ATP6V0A4, TCIRG1, ATP6V1B2, PPA1"
50617,ATP6V0A4,922,HighConf,Novel,"Phagosome, Synaptic vesicle cycle",5,"TCIRG1, ATP6V1B2, PPA1, ATP6AP1, TF"
526,ATP6V1B2,136,HighConf,Novel,"Phagosome, Synaptic vesicle cycle",14,"WDR5, TUBA1A, UBE2V2, LAMTOR2, PPA1, ATP6AP1, TF, EEF1E1, ZFYVE19, YIF1B, ATP6V0A4, WDR61, SRXN1, TCIRG1"
552,AVPR1A,534,MedConf,Novel,Neuroactive ligand-receptor interaction,25,"TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, AGT, CXCL8, KALRN, TACR1, EDN1, BDKRB1, NMUR2, NMS, P2RY11, MLNR, GNRH2, GNA15, PROK1"
27077,B9D1,894,MedConf,Novel,,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
573,BAG1,132,MedConf,Novel,,4,"NXF1, JUN, PSMC1, HSPA5"
22893,BAHD1,864,MedConf,Novel,,2,"HDAC2, SUV39H1"
25805,BAMBI,401,MedConf,Novel,,2,"BMP7, BMPR1B"
9031,BAZ1B,106,MedConf,Novel,,2,"SF3B1, KAT2B"
10286,BCAS2,151,MedConf,Novel,Spliceosome,38,"SF3B6, NCSTN, SRRM1, SRSF2, PRPF38A, SRSF3, POLR2J, POLR2F, CD2BP2, SNRPD3, PHF5A, SNRPC, TRA2B, LSM4, PPIH, GPKOW, PCF11, PRPF8, PRPF31, PSMD3, YBX1, CCAR1, HNRNPA2B1, PAPOLA, XAB2, HNRNPM, PTBP1, SNW1, SF3B2, SF3B1, RBM39, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, ACIN1, HNRNPH1"
598,BCL2L1,162,HighConf,Novel,"NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Jak-STAT signaling pathway",5,"STAT1, PRKAR2B, NMI, DIABLO, PMAIP1"
602,BCL3,923,MedConf,Novel,TNF signaling pathway,1,RELA
623,BDKRB1,486,MedConf,Novel,"Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",50,"TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, C5, GNAI3, AGT, DRD2, CXCL8, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4"
51272,BET1L,854,MedConf,Novel,,8,"DYNC1H1, STX18, DCTN4, DYNC1I2, DYNLL1, DYNC1I1, DYNC2LI1, STX1B"
633,BGN,846,MedConf,Novel,,1,TGFB2
8553,BHLHE40,173,MedConf,Novel,,1,CSNK2A2
332,BIRC5,563,MedConf,Novel,,16,"ITGA1, RANBP2, PPP2R5E, SUMO3, PSMA3, RANGAP1, PPP2CB, RAE1, NUP43, UBE2I, ITGB1, CDC42, NUP155, MAX, NUP188, PPP2R5A"
2647,BLOC1S1,763,MedConf,Novel,,1,CLTC
655,BMP7,579,MedConf,Novel,Cytokine-cytokine receptor interaction,4,"BMPR1B, SMAD6, SMAD1, BAMBI"
658,BMPR1B,597,MedConf,Novel,Cytokine-cytokine receptor interaction,8,"SMAD6, MAP3K7, SMAD4, SMAD1, BAMBI, TF, BMP7, TRPC6"
9790,BMS1,785,HighConf,Novel,,2,"RPP25, RPP40"
673,BRAF,459,MedConf,Novel,"Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",15,"KRAS, MRAS, BRAP, PPP2R5E, PPP2CB, PEBP1, YWHAH, SFN, VCL, YWHAG, FGA, RAP1A, PPP2R5A, LAMTOR2, MAP2K6"
8315,BRAP,987,MedConf,Novel,Ras signaling pathway,6,"RPS27A, UBB, UBC, BRAF, KRAS, MRAS"
675,BRCA2,424,MedConf,Novel,,4,"POLD3, POLD4, PCNA, POLE"
151888,BTLA,809,MedConf,Novel,,1,PTPN6
701,BUB1B,297,MedConf,Novel,,31,"PSMF1, PPP2R5A, RANBP2, PPP2R5E, PSMC4, PSMA3, PSMD7, PSMC1, PSMA6, PSMD11, PSMB1, PSMD3, PSMA5, PSMB4, PSMC2, PSMD6, PSMD1, PSMD2, PSMC5, PSMD12, PSMB5, PSMA7, PSMB2, PSMB9, PSMA1, RANGAP1, PSMA4, PPP2CB, RAE1, NUP43, CDC42"
9256,BZRAP1,949,MedConf,Novel,,3,"SYT1, STX1A, SLC18A2"
83608,C18orf21,795,MedConf,Novel,,1,RPP25
717,C2,716,HighConf,Novel,,1,SF3B2
727,C5,294,MedConf,Novel,,26,"GNAI3, AGT, DRD2, CXCL8, CXCR5, CHRM2, CCR8, CXCR3, CXCR4, BDKRB1, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, CXCL11, HTR1A, FPR3, NPBWR2, HCAR2, OPRM1, RLN3, S1PR2, GNG3, GNG10"
203228,C9orf72,165,HighConf,Novel,,1,EIF2S2
91768,CABLES1,806,HighConf,Novel,,1,CTNND1
775,CACNA1C,61,MedConf,Novel,"MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, Adrenergic signaling in cardiomyocytes, GnRH signaling pathway",17,"PPP2CB, CACNA2D2, GNG3, GNG10, CACNA2D1, PPP2R5A, GNAI3, STX1A, GNAO1, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, SYT5, PPP2R5E"
781,CACNA2D1,330,HighConf,Novel,"MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",10,"PPP2R5A, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, PPP2R5E, CACNA1C, PPP2CB, NDUFS4"
9254,CACNA2D2,241,MedConf,Novel,"MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",9,"GNG3, GNG10, PPP2R5A, STX1A, CACNB4, SYT5, PPP2R5E, CACNA1C, PPP2CB"
785,CACNB4,839,HighConf,Novel,"MAPK signaling pathway, Adrenergic signaling in cardiomyocytes",11,"PPP2R5E, CACNA1C, PPP2CB, CACNA2D2, CACNA2D1, PPP2R5A, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG"
799,CALCR,517,MedConf,Novel,"Osteoclast differentiation, Neuroactive ligand-receptor interaction",18,"RLN2, GPBAR1, HRH2, GNG3, GNG10, ADRB2, INSL3, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R"
811,CALR,41,MedConf,Novel,Phagosome,11,"P4HB, PCNA, HSPA5, PDIA3, APOB, TAP1, INHA, MSR1, VCP, PTGES3, HSP90B1"
824,CAPN2,616,MedConf,Novel,Focal adhesion,4,"CAPNS2, PXN, ITGB1, ITGA1"
84290,CAPNS2,937,MedConf,Novel,,1,CAPN2
84433,CARD11,916,MedConf,Novel,"NF-kappa B signaling pathway, T cell receptor signaling pathway",6,"IKBKB, MAP3K7, NFKBIB, RELA, PDPK1, NFKBIE"
831,CAST,562,MedConf,Novel,,3,"ITGA1, PXN, ITGB1"
79820,CATSPERB,469,MedConf,Novel,,3,"CACNB4, CACNA1C, CACNA2D1"
57828,CATSPERG,472,MedConf,Novel,,3,"CACNB4, CACNA1C, CACNA2D1"
859,CAV3,608,MedConf,Novel,Focal adhesion,5,"SNTG1, ITGB1, EGFR, PDGFRA, DYSF"
55749,CCAR1,43,HighConf,Novel,,26,"PCNA, XAB2, HNRNPM, SNW1, SF3B2, SF3B1, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, BCAS2, SF3B6, SRRM1, SRSF2, PRPF38A, SRSF3, SNRPD3, PHF5A, SNRPC, TRA2B, DYNC1I2, LSM4, PPIH, PRPF8, PRPF31"
93233,CCDC114,886,MedConf,Novel,,5,"DYNC1H1, DCTN4, DYNLL1, DYNC1I1, DYNC2LI1"
55704,CCDC88A,722,MedConf,Novel,,1,YWHAH
26093,CCDC9,771,MedConf,Novel,,1,THOC7
55702,CCDC94,127,MedConf,Novel,,1,PLRG1
90324,CCDC97,699,MedConf,Novel,,2,"SF3B1, SF3B6"
6357,CCL13,982,MedConf,Novel,"NF-kappa B signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CXCR5, CCR8, CXCR3, CXCR4, CX3CR1"
6354,CCL7,983,HighConf,Novel,"Cytokine-cytokine receptor interaction, Chemokine signaling pathway",5,"CXCR5, CCR8, CXCR3, CXCR4, CX3CR1"
9133,CCNB2,327,MedConf,Novel,,11,"PPP2R5A, RANBP2, PPP2R5E, RANGAP1, PPP2CB, RAE1, NUP43, SFN, NUP155, CDC25B, NUP188"
894,CCND2,59,HighConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway",16,"CCND3, IKBKB, NMI, TAF12, MAX, CCNE1, CDK12, ERC1, PHKB, ATG13, CDK14, PYDC1, SP1, E2F3, CCNL2, PCNA"
896,CCND3,67,HighConf,Novel,"PI3K-Akt signaling pathway, Focal adhesion, Jak-STAT signaling pathway",14,"IKBKB, NMI, CCNE1, CDK12, ERC1, PHKB, ATG13, CDK14, PYDC1, GAB2, E2F3, CCNL2, PCNA, CCND2"
898,CCNE1,267,MedConf,Novel,PI3K-Akt signaling pathway,33,"PSMF1, UBC, E2F3, PTK6, PSMC4, PSMA3, PSMD7, PSMC1, PSMA6, PSMD11, PSMB1, PSMD3, PSMA5, PSMB4, PSMC2, PSMD6, PSMD1, PSMD2, PSMC5, PSMD12, PSMB5, PSMA7, PSMB2, PSMB9, PSMA1, PCNA, CCND2, PSMA4, CCND3, RPS27A, UBB, CCT2, NMI"
81669,CCNL2,848,HighConf,Novel,,5,"CCND2, CCND3, IKBKB, ERC1, PYDC1"
1237,CCR8,473,HighConf,Novel,"Cytokine-cytokine receptor interaction, Chemokine signaling pathway",36,"CXCR3, CXCR4, BDKRB1, TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, S1PR2, XCL2, CCL13, CCL7, GRK4, ADRBK1, GNG3, GNG10, C5, GNAI3, AGT, DRD2, CXCL8, CXCR5, CHRM2"
9973,CCS,766,MedConf,Novel,,1,RAE1
10576,CCT2,234,HighConf,Novel,,7,"GNG3, CCNE1, GNG10, TUBA1A, PSMC2, TUBA4A, PPP2CB"
929,CD14,415,HighConf,Novel,"NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Phagosome, Hematopoietic cell lineage",18,"DNM1, TLR2, TLR4, MYD88, LY96, RIPK1, IKBKB, EIF2AK2, RPS27A, UBB, MAP3K7, ITGB1, NDUFS4, ITGAM, TICAM1, TOLLIP, UBC, TIRAP"
940,CD28,966,MedConf,Novel,T cell receptor signaling pathway,5,"PIK3R3, CDC42, SYK, PDPK1, GAB2"
10421,CD2BP2,205,MedConf,Novel,,25,"SNRPD3, PHF5A, SNRPC, TRA2B, LSM4, PPIH, PRPF8, PRPF31, POMP, XAB2, HNRNPM, SNW1, SF3B2, SF3B1, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, BCAS2, SF3B6, SRRM1, SRSF2, PRPF38A, SRSF3"
994,CDC25B,270,MedConf,Novel,MAPK signaling pathway,8,"HCLS1, CCNB2, CDC25C, MAPK13, YWHAH, SFN, PLK1, YWHAG"
995,CDC25C,910,HighConf,Novel,,6,"YWHAH, SFN, YWHAG, CDC25B, PKN2, PDPK1"
997,CDC34,820,MedConf,Novel,,2,"IKBKB, RELA"
998,CDC42,199,MedConf,Novel,"Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Focal adhesion, Ras signaling pathway, T cell receptor signaling pathway, GnRH signaling pathway",71,"NGFR, WIPF2, ABI1, EGFR, ARPC1B, STMN1, BUB1B, ARHGDIB, RAP1A, UBC, RHOB, LAMA5, MIS12, ITGB3BP, CENPH, CENPP, ITSN2, PPP2R5A, GNAI3, SYK, MAP2K6, CTNND1, ARHGEF6, KIF18A, RAB14, GNAO1, KALRN, CXCR4, RHOV, RHOF, BIRC5, AGRN, ITGA1, PFN1, EXOC7, DOCK5, EPS8, CDCA8, PLXNB1, PARD6G, GIT1, ARHGAP5, ARHGAP20, ARHGEF19, ARHGAP15, ARHGAP32, ARHGEF3, ARHGAP9, FMNL2, CD28, SPATA13, MUSK, MAP3K9, DOCK10, RANBP2, PPP2R5E, ACTR2, RANGAP1, PPP2CB, PIK3R3, NUP43, RPS27A, PXN, UBB, MAPKAPK3, MAPK13, ITGB1, CENPO, PLK1, A2M, PARD3"
988,CDC5L,128,MedConf,Novel,Spliceosome,42,"PLRG1, LSM6, EFTUD2, HNRNPH1, BCAS2, SF3B6, SRRM1, EIF2S2, SRSF2, PRPF38A, SRSF3, POLR2J, POLR2F, CD2BP2, SNRPD3, PHF5A, SNRPC, TRA2B, LSM4, TOP2A, PPIH, SON, GPKOW, PCF11, PRPF8, PRPF31, YBX1, CCAR1, HNRNPA2B1, PAPOLA, XAB2, DYNC1H1, HNRNPM, PTBP1, SNW1, SF3B2, SF3B1, EAPP, RBM39, NOP2, SRSF1, SFPQ"
55143,CDCA8,784,HighConf,Novel,,13,"RANBP2, PPP2R5E, SUMO3, PSMA3, RANGAP1, PPP2CB, RAE1, NUP43, UBE2I, CDC42, NUP155, NUP188, PPP2R5A"
1016,CDH18,849,MedConf,Novel,,1,CTNND1
1003,CDH5,194,MedConf,Novel,,3,"PARD3, CTNND1, PARD6G"
51755,CDK12,299,MedConf,Novel,,5,"ERC1, PYDC1, CCND2, CCND3, IKBKB"
5218,CDK14,521,HighConf,Novel,,5,"PYDC1, CCND2, CCND3, IKBKB, ERC1"
4680,CEACAM6,357,MedConf,Novel,,2,"ITGA5, ITGB1"
1052,CEBPD,620,MedConf,Novel,,3,"G6PC, CREB1, MAX"
64946,CENPH,328,MedConf,Novel,,7,"PPP2R5A, RANBP2, PPP2R5E, RANGAP1, PPP2CB, NUP43, CDC42"
79172,CENPO,195,HighConf,Novel,,7,"CDC42, PPP2R5A, RANBP2, PPP2R5E, RANGAP1, PPP2CB, NUP43"
401541,CENPP,329,MedConf,Novel,,7,"PPP2R5A, RANBP2, PPP2R5E, RANGAP1, PPP2CB, NUP43, CDC42"
22995,CEP152,767,MedConf,Novel,,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
11190,CEP250,803,MedConf,Novel,,7,"DYNC1H1, TUBA4A, NUP43, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
95681,CEP41,725,MedConf,Novel,,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
51134,CEP83,896,MedConf,Novel,,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
84902,CEP89,895,MedConf,Novel,,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
10390,CEPT1,595,HighConf,Novel,Ether lipid metabolism,10,"PAFAH2, PAFAH1B3, PLA2G4A, PLA2G4D, PPAP2A, PLA2G6, JMJD7-PLA2G4B, DGKE, DGKZ, LPCAT4"
204219,CERS3,614,MedConf,Novel,Sphingolipid signaling pathway,3,"SGPP2, PPAP2A, SMPD2"
1072,CFL1,251,HighConf,Novel,Regulation of actin cytoskeleton,18,"DYNLL1, PFN1, SSH3, CKS2, GPT, ACTR2, LDHB, RTN4, SRXN1, EIF4B, HSPE1, ABAT, PEBP1, CFL2, COTL1, ALDOA, AKR1A1, GAPDH"
1073,CFL2,215,MedConf,Novel,Regulation of actin cytoskeleton,6,"NMI, CFL1, PPA1, SSH3, LDHB, ABAT"
8837,CFLAR,395,HighConf,Novel,"NF-kappa B signaling pathway, TNF signaling pathway",4,"PLIN5, RIPK1, MAX, TICAM1"
