EntrezID,GeneSymbol,InputCategory,TRIAGEhits,Pathway,InteractingGenes,NetworkGenePathways
84962,AJUBA,MedConf,Yes,,"POLR2J, EP300","FoxO signaling pathway (1), HIF-1 signaling pathway (1), Notch signaling pathway (1), Pyrimidine metabolism (1), RNA polymerase (1)"
122481,AK7,MedConf,Yes,,ENTPD3,Pyrimidine metabolism (1)
207,AKT1,HighConf,Yes,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, mTOR signaling pathway, MAPK signaling pathway, HIF-1 signaling pathway, T cell receptor signaling pathway, FoxO signaling pathway, Relaxin signaling pathway, Rap1 signaling pathway, ErbB signaling pathway, Autophagy - animal, Phospholipase D signaling pathway","JAK1, PTEN, CREB5, NCOR2, EP300, RPS6KB1, GNG2, RRAGB, CSF2, CRTC2, MEF2C, PCK2, PHF20, EDNRA, BRPF1, GRB2, PPP2R2A, UBE2D1, MTOR, OGT","PI3K-Akt signaling pathway (10), EGFR tyrosine kinase inhibitor resistance (5), mTOR signaling pathway (5), Autophagy - animal (4), FoxO signaling pathway (4), ErbB signaling pathway (3), HIF-1 signaling pathway (3), Relaxin signaling pathway (3), Focal adhesion (2), MAPK signaling pathway (2), Notch signaling pathway (2), Phospholipase D signaling pathway (2), Ras signaling pathway (2), T cell receptor signaling pathway (2), Citrate cycle (TCA cycle) (1), Pyruvate metabolism (1)"
219,ALDH1B1,MedConf,Yes,"Lysine degradation, Pyruvate metabolism","DBT, OAT, RPL6","Propanoate metabolism (1), Ribosome (1)"
29929,ALG6,MedConf,Yes,N-Glycan biosynthesis,,
51529,ANAPC11,MedConf,Yes,,"ATG7, EHMT1, RELA","Autophagy - animal (1), HIF-1 signaling pathway (1), Lysine degradation (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), T cell receptor signaling pathway (1)"
1173,AP2M1,HighConf,Yes,,"EGF, DVL2, CHRM2, ARPC1A, ARPC5, EGFR, CD4","Regulation of actin cytoskeleton (5), PI3K-Akt signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), Focal adhesion (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (2), Rap1 signaling pathway (2), Ras signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), Relaxin signaling pathway (1), T cell receptor signaling pathway (1)"
116985,ARAP1,MedConf,Yes,,"ARF1, CDC42, RAP1B","Focal adhesion (2), MAPK signaling pathway (2), Rap1 signaling pathway (2), Ras signaling pathway (2), Phospholipase D signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
375,ARF1,HighConf,Yes,Phospholipase D signaling pathway,"LDHAL6B, CCT3, SPTAN1, RAB1B, SPTBN1, HIP1R, EIF2B1, RAB6A, TMED10, RAB2A, TMED2, GOSR2, RAB6B, GBF1, CTSZ, KIF3C, KIFC2, ARAP1, TRIP11","Propanoate metabolism (1), Pyruvate metabolism (1), RNA transport (1)"
55082,ARGLU1,HighConf,Yes,,"CHERP, SF3A2",Spliceosome (2)
9743,ARHGAP32,HighConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
158763,ARHGAP36,MedConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
64333,ARHGAP9,MedConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
23365,ARHGEF12,HighConf,Yes,Regulation of actin cytoskeleton,"CDC42, CD4, GNG2","Ras signaling pathway (2), T cell receptor signaling pathway (2), Focal adhesion (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1), Relaxin signaling pathway (1)"
128272,ARHGEF19,HighConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
9181,ARHGEF2,MedConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
10552,ARPC1A,HighConf,Yes,Regulation of actin cytoskeleton,"ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, DVL2, CHRM2, PSMA7, CTTN, CDC42, HIP1R","Regulation of actin cytoskeleton (5), Focal adhesion (3), MAPK signaling pathway (3), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), Ras signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), Phospholipase D signaling pathway (2), T cell receptor signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), Relaxin signaling pathway (1)"
10092,ARPC5,MedConf,Yes,Regulation of actin cytoskeleton,"EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, DVL2, CHRM2, EIF3H, CTTN, CDC42, HIP1R, ARPC1A","Regulation of actin cytoskeleton (5), Focal adhesion (3), MAPK signaling pathway (3), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), Ras signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), Phospholipase D signaling pathway (2), T cell receptor signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), Relaxin signaling pathway (1), RNA transport (1)"
466,ATF1,MedConf,Yes,,"CRTC2, CREB5","PI3K-Akt signaling pathway (2), Relaxin signaling pathway (1)"
9140,ATG12,HighConf,Yes,"FoxO signaling pathway, Autophagy - animal","GABARAPL2, MAP1LC3A, ATG7","Autophagy - animal (2), FoxO signaling pathway (1)"
89849,ATG16L2,HighConf,Yes,Autophagy - animal,,
10533,ATG7,HighConf,Yes,Autophagy - animal,"ATG12, GABARAPL2, UBE2G2, DCAF1, RNF25, FBXL12, HERC6, FBXO21, UBE2J2, FBXW11, BTRC, UBE2D1, MAP1LC3A, ANAPC11, HUWE1, UBE2V2, CUL5, KBTBD7, UBA6, RNF126","Autophagy - animal (2), FoxO signaling pathway (2)"
535,ATP6V0A1,HighConf,Yes,,"ATP6V1E2, RPS18, ATP6V1H","mTOR signaling pathway (2), Ribosome (1)"
90423,ATP6V1E2,MedConf,Yes,mTOR signaling pathway,"LHPP, ATP6V1H, ATP6V0A1",mTOR signaling pathway (1)
51606,ATP6V1H,MedConf,Yes,mTOR signaling pathway,"MRPL1, CDC42, ATP6V0A1, ATP6V1E2, LHPP","Focal adhesion (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), Ribosome (1), T cell receptor signaling pathway (1)"
22893,BAHD1,HighConf,Yes,,"HDAC1, SUV39H1","Lysine degradation (1), Notch signaling pathway (1)"
607,BCL9,HighConf,Yes,,HDAC1,Notch signaling pathway (1)
7862,BRPF1,MedConf,Yes,,"HDAC1, AKT1, EP300","FoxO signaling pathway (2), HIF-1 signaling pathway (2), Notch signaling pathway (2), Autophagy - animal (1), EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), T cell receptor signaling pathway (1)"
8945,BTRC,MedConf,Yes,,"RELA, ATG7, HNRNPU, HDAC1","Autophagy - animal (1), HIF-1 signaling pathway (1), MAPK signaling pathway (1), Notch signaling pathway (1), PI3K-Akt signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), Spliceosome (1), T cell receptor signaling pathway (1)"
718,C3,MedConf,Yes,,"GNG2, LPAR1, CHRM2, RXFP3","PI3K-Akt signaling pathway (3), Relaxin signaling pathway (2), Phospholipase D signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1)"
728,C5AR1,MedConf,Yes,,"LPAR1, CHRM2, RXFP3, GNG2","PI3K-Akt signaling pathway (3), Relaxin signaling pathway (2), Phospholipase D signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1)"
786,CACNG1,HighConf,Yes,MAPK signaling pathway,"PKD1L1, CATSPERD, PPP2R2A",PI3K-Akt signaling pathway (1)
8536,CAMK1,MedConf,Yes,,CREB5,"PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1)"
257062,CATSPERD,MedConf,Yes,,CACNG1,MAPK signaling pathway (1)
858,CAV2,HighConf,Yes,Focal adhesion,EGFR,"EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), HIF-1 signaling pathway (1), MAPK signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), Relaxin signaling pathway (1)"
904,CCNT1,HighConf,Yes,,"POLR2J, NCBP2, TGFBR2","FoxO signaling pathway (1), MAPK signaling pathway (1), Pyrimidine metabolism (1), Relaxin signaling pathway (1), RNA polymerase (1), RNA transport (1), Spliceosome (1)"
7203,CCT3,MedConf,Yes,,"NOP56, PPP2R2A, PC, GNG2, SPHK1, ARF1","Phospholipase D signaling pathway (2), PI3K-Akt signaling pathway (2), Citrate cycle (TCA cycle) (1), Pyruvate metabolism (1), Ras signaling pathway (1), Relaxin signaling pathway (1), Ribosome biogenesis in eukaryotes (1)"
947,CD34,MedConf,Yes,,NUP62,RNA transport (1)
920,CD4,HighConf,Yes,T cell receptor signaling pathway,"GAPVD1, AP2M1, SH3GL3, EGF, LCP2, DVL2, CHRM2, ARHGEF12, CTTN, HIP1R, ARPC1A, ARPC5, EGFR, CD8B","Regulation of actin cytoskeleton (6), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), Focal adhesion (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (2), Ras signaling pathway (2), T cell receptor signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), Relaxin signaling pathway (1)"
961,CD47,MedConf,Yes,,COL4A4,"Focal adhesion (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1)"
926,CD8B,MedConf,Yes,T cell receptor signaling pathway,"CD4, LCP2, RSKR","T cell receptor signaling pathway (2), Rap1 signaling pathway (1)"
978,CDA,MedConf,Yes,Pyrimidine metabolism,"XPO1, TIMM8A","Ribosome biogenesis in eukaryotes (1), RNA transport (1)"
998,CDC42,MedConf,Yes,"Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, T cell receptor signaling pathway, Rap1 signaling pathway","ARPC1A, ZWILCH, NUP85, AHCTF1, NUP160, ARPC5, ACTA1, EGFR, ITGB3BP, RAP1B, PAK2, EPS8, RPS6KB1, EGF, GNG2, LCP2, CXCR4, TIAM1, MEF2C, ARHGEF2, TAOK1, ABLIM2, ARAP1, TIAM2, ARHGEF19, ARHGAP36, ARHGAP32, STARD13, ARHGAP9, RANBP2, RANGAP1, RPS27, ATP6V1H, CLASP1, NUP107, NUP133, XPO1, MTOR, ARHGEF12, CTTN, RAB1B, CENPQ, PARD6B","Regulation of actin cytoskeleton (7), RNA transport (7), MAPK signaling pathway (6), Rap1 signaling pathway (6), Ras signaling pathway (6), ErbB signaling pathway (5), PI3K-Akt signaling pathway (5), EGFR tyrosine kinase inhibitor resistance (4), Focal adhesion (4), HIF-1 signaling pathway (4), mTOR signaling pathway (3), Phospholipase D signaling pathway (3), Autophagy - animal (2), FoxO signaling pathway (2), Relaxin signaling pathway (2), T cell receptor signaling pathway (2), Ribosome (1), Ribosome biogenesis in eukaryotes (1)"
1003,CDH5,MedConf,Yes,,PAK2,"ErbB signaling pathway (1), Focal adhesion (1), MAPK signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
8621,CDK13,MedConf,Yes,,"PRPF3, TGFBR2","FoxO signaling pathway (1), MAPK signaling pathway (1), Relaxin signaling pathway (1), Spliceosome (1)"
55166,CENPQ,MedConf,Yes,,"CDC42, NUP85, NUP160, TAOK1, RANBP2, RANGAP1, RPS27, NUP107, NUP133, XPO1","RNA transport (7), MAPK signaling pathway (2), Focal adhesion (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), Ribosome (1), Ribosome biogenesis in eukaryotes (1), T cell receptor signaling pathway (1)"
91012,CERS5,MedConf,Yes,,SPHK1,Phospholipase D signaling pathway (1)
1675,CFD,MedConf,Yes,,"EGF, VEGFD","Focal adhesion (2), PI3K-Akt signaling pathway (2), Rap1 signaling pathway (2), Ras signaling pathway (2), EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), FoxO signaling pathway (1), HIF-1 signaling pathway (1), MAPK signaling pathway (1), Phospholipase D signaling pathway (1), Regulation of actin cytoskeleton (1), Relaxin signaling pathway (1)"
10523,CHERP,MedConf,Yes,Spliceosome,"HNRNPF, PABPN1, SLU7, ZNF827, PPWD1, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, ARGLU1","Spliceosome (13), Pyrimidine metabolism (1), RNA polymerase (1), RNA transport (1)"
1129,CHRM2,MedConf,Yes,"PI3K-Akt signaling pathway, Regulation of actin cytoskeleton","CXCR4, MTNR1A, HTR1F, RXFP3, NPBWR1, AGTR2, GABBR1, OPRM1, CTTN, HIP1R, ARPC1A, C3, ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, GNG2, C5AR1, LPAR1, DVL2","PI3K-Akt signaling pathway (4), Regulation of actin cytoskeleton (4), Phospholipase D signaling pathway (3), Rap1 signaling pathway (3), Ras signaling pathway (3), Relaxin signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), Focal adhesion (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), MAPK signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), T cell receptor signaling pathway (1)"
4435,CITED1,MedConf,Yes,,EP300,"FoxO signaling pathway (1), HIF-1 signaling pathway (1), Notch signaling pathway (1)"
23332,CLASP1,MedConf,Yes,,"NUP107, NUP133, XPO1, CDC42, NUP85, NUP160, TAOK1, RANBP2, RANGAP1, RPS27","RNA transport (7), MAPK signaling pathway (2), Focal adhesion (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), Ribosome (1), Ribosome biogenesis in eukaryotes (1), T cell receptor signaling pathway (1)"
1207,CLNS1A,HighConf,Yes,RNA transport,"LSM3, LSM2, SNRPB, MDH2, UBXN1, GEMIN2, PDIA6, S100A6","Spliceosome (3), Citrate cycle (TCA cycle) (1), Pyruvate metabolism (1), RNA transport (1)"
51727,CMPK1,MedConf,Yes,Pyrimidine metabolism,ENTPD3,Pyrimidine metabolism (1)
9382,COG1,MedConf,Yes,,MAN2A1,N-Glycan biosynthesis (1)
22796,COG2,HighConf,Yes,,MAN2A1,N-Glycan biosynthesis (1)
83548,COG3,HighConf,Yes,,MAN2A1,N-Glycan biosynthesis (1)
25839,COG4,HighConf,Yes,,"MAN2A1, RPS20","N-Glycan biosynthesis (1), Ribosome (1)"
91949,COG7,MedConf,Yes,,MAN2A1,N-Glycan biosynthesis (1)
7373,COL14A1,MedConf,Yes,,"COL4A4, PLOD1, PLOD3","Lysine degradation (2), Focal adhesion (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1)"
1307,COL16A1,MedConf,Yes,,"COL4A4, PLOD1, PLOD3","Lysine degradation (2), Focal adhesion (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1)"
169044,COL22A1,MedConf,Yes,,"COL4A4, PLOD1, PLOD3","Lysine degradation (2), Focal adhesion (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1)"
1286,COL4A4,MedConf,Yes,"PI3K-Akt signaling pathway, Focal adhesion, Relaxin signaling pathway","ENPP1, PLOD1, PLOD3, ITGA4, PPIB, COL14A1, CD47, COL22A1, COL16A1","Lysine degradation (2), Focal adhesion (1), PI3K-Akt signaling pathway (1), Pyrimidine metabolism (1), Regulation of actin cytoskeleton (1)"
51138,COPS4,MedConf,Yes,,"GRB2, POLR2J","EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Pyrimidine metabolism (1), Ras signaling pathway (1), Relaxin signaling pathway (1), RNA polymerase (1), T cell receptor signaling pathway (1)"
10980,COPS6,MedConf,Yes,,"POLR2J, GRB2","EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Pyrimidine metabolism (1), Ras signaling pathway (1), Relaxin signaling pathway (1), RNA polymerase (1), T cell receptor signaling pathway (1)"
64708,COPS7B,MedConf,Yes,,"GRB2, POLR2J","EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Pyrimidine metabolism (1), Ras signaling pathway (1), Relaxin signaling pathway (1), RNA polymerase (1), T cell receptor signaling pathway (1)"
10920,COPS8,MedConf,Yes,,"GRB2, POLR2J","EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Pyrimidine metabolism (1), Ras signaling pathway (1), Relaxin signaling pathway (1), RNA polymerase (1), T cell receptor signaling pathway (1)"
9586,CREB5,MedConf,Yes,"PI3K-Akt signaling pathway, Relaxin signaling pathway","EP300, ATF1, CRTC2, CAMK1, AKT1","FoxO signaling pathway (2), HIF-1 signaling pathway (2), PI3K-Akt signaling pathway (2), Autophagy - animal (1), EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Notch signaling pathway (1), Phospholipase D signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), T cell receptor signaling pathway (1)"
1392,CRH,MedConf,Yes,,GNG2,"PI3K-Akt signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1)"
200186,CRTC2,HighConf,Yes,PI3K-Akt signaling pathway,"CRTC3, OGT, AKT1, CREB5, EP300, ATF1","FoxO signaling pathway (2), HIF-1 signaling pathway (2), PI3K-Akt signaling pathway (2), Relaxin signaling pathway (2), Autophagy - animal (1), EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), MAPK signaling pathway (1), mTOR signaling pathway (1), Notch signaling pathway (1), Phospholipase D signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), T cell receptor signaling pathway (1)"
64784,CRTC3,HighConf,Yes,,CRTC2,PI3K-Akt signaling pathway (1)
1437,CSF2,MedConf,Yes,T cell receptor signaling pathway,"NFATC3, IL15RA, GRB2, RELA, AKT1, JAK1, EP300, GHR","PI3K-Akt signaling pathway (5), MAPK signaling pathway (4), T cell receptor signaling pathway (4), EGFR tyrosine kinase inhibitor resistance (3), FoxO signaling pathway (3), HIF-1 signaling pathway (3), Ras signaling pathway (3), Relaxin signaling pathway (3), ErbB signaling pathway (2), Focal adhesion (2), mTOR signaling pathway (2), Phospholipase D signaling pathway (2), Autophagy - animal (1), Notch signaling pathway (1), Rap1 signaling pathway (1)"
1455,CSNK1G2,MedConf,Yes,,"DVL2, WNT1","mTOR signaling pathway (2), Notch signaling pathway (1)"
1459,CSNK2A2,MedConf,Yes,Ribosome biogenesis in eukaryotes,"DVL2, MAP1LC3A, EIF3H","mTOR signaling pathway (1), Notch signaling pathway (1), RNA transport (1)"
9150,CTDP1,HighConf,Yes,,"POLR2J, NCBP2","Pyrimidine metabolism (1), RNA polymerase (1), RNA transport (1), Spliceosome (1)"
1522,CTSZ,MedConf,Yes,,ARF1,Phospholipase D signaling pathway (1)
2017,CTTN,MedConf,Yes,,"CDC42, ARPC1A, ARPC5, EGFR, CD4, PAK2, EGF, DVL2, CHRM2","Regulation of actin cytoskeleton (7), Focal adhesion (4), MAPK signaling pathway (4), Ras signaling pathway (4), ErbB signaling pathway (3), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), T cell receptor signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), Phospholipase D signaling pathway (2), mTOR signaling pathway (1), Notch signaling pathway (1), Relaxin signaling pathway (1)"
8065,CUL5,MedConf,Yes,,ATG7,Autophagy - animal (1)
7852,CXCR4,HighConf,Yes,,"RXFP3, SSH1, CDC42, GNG2, LPAR1, CHRM2","PI3K-Akt signaling pathway (3), Regulation of actin cytoskeleton (3), Rap1 signaling pathway (2), Ras signaling pathway (2), Relaxin signaling pathway (2), Focal adhesion (1), MAPK signaling pathway (1), Phospholipase D signaling pathway (1), T cell receptor signaling pathway (1)"
54205,CYCS,MedConf,Yes,,"PPP2R2A, MTOR","PI3K-Akt signaling pathway (2), Autophagy - animal (1), EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), HIF-1 signaling pathway (1), mTOR signaling pathway (1), Phospholipase D signaling pathway (1)"
1593,CYP27A1,MedConf,Yes,,PC,"Citrate cycle (TCA cycle) (1), Pyruvate metabolism (1)"
1629,DBT,MedConf,Yes,Propanoate metabolism,ALDH1B1,"Lysine degradation (1), Pyruvate metabolism (1)"
9730,DCAF1,HighConf,Yes,,"RPS8, ATG7","Autophagy - animal (1), Ribosome (1)"
1650,DDOST,HighConf,Yes,N-Glycan biosynthesis,,
1654,DDX3X,HighConf,Yes,,"NUP133, RPS15A","Ribosome (1), RNA transport (1)"
54555,DDX49,MedConf,Yes,,"RPS15A, RPS18, RPS8, FBL, RPS23, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20, NOP58, UTP14A, HEATR1, IMP4","Ribosome (9), Ribosome biogenesis in eukaryotes (6), EGFR tyrosine kinase inhibitor resistance (1), HIF-1 signaling pathway (1), mTOR signaling pathway (1), PI3K-Akt signaling pathway (1)"
9681,DEPDC5,HighConf,Yes,mTOR signaling pathway,"ZNF414, RRAGB","Autophagy - animal (1), mTOR signaling pathway (1)"
27292,DIMT1,HighConf,Yes,,RPS15A,Ribosome (1)
3337,DNAJB1,HighConf,Yes,,EP300,"FoxO signaling pathway (1), HIF-1 signaling pathway (1), Notch signaling pathway (1)"
8813,DPM1,HighConf,Yes,N-Glycan biosynthesis,,
1849,DUSP7,MedConf,Yes,MAPK signaling pathway,,
1856,DVL2,MedConf,Yes,"mTOR signaling pathway, Notch signaling pathway","WNT1, WNT11, CHRM2, FZD6, PSMA7, PSME2, PSMB7, PSMB2, CTTN, HIP1R, ARPC1A, ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, CSNK2A2, SENP2, CSNK1G2","Regulation of actin cytoskeleton (5), mTOR signaling pathway (3), PI3K-Akt signaling pathway (3), EGFR tyrosine kinase inhibitor resistance (2), ErbB signaling pathway (2), Focal adhesion (2), FoxO signaling pathway (2), HIF-1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (2), Rap1 signaling pathway (2), Ras signaling pathway (2), Relaxin signaling pathway (1), Ribosome biogenesis in eukaryotes (1), RNA transport (1), T cell receptor signaling pathway (1)"
1909,EDNRA,HighConf,Yes,,"AKT1, EGFR, MMP1, EGF, GNG2, LPAR1","PI3K-Akt signaling pathway (5), Phospholipase D signaling pathway (4), Rap1 signaling pathway (4), Ras signaling pathway (4), Relaxin signaling pathway (4), EGFR tyrosine kinase inhibitor resistance (3), ErbB signaling pathway (3), Focal adhesion (3), FoxO signaling pathway (3), HIF-1 signaling pathway (3), MAPK signaling pathway (3), Regulation of actin cytoskeleton (2), Autophagy - animal (1), mTOR signaling pathway (1), T cell receptor signaling pathway (1)"
