"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.MAPK signaling pathway","Ntwrk.MAPK signaling pathway","NtwrkCount.Ras signaling pathway","Ntwrk.Ras signaling pathway","NtwrkCount.Chemokine signaling pathway","Ntwrk.Chemokine signaling pathway","Total_Path_Hits.net.count"
"15",10347,"ABCA7",6407,"MedConf","Novel",NA,15,"PLN, FXYD2, ATP1A3, APOA1, ABCF2, ATP1A4, ATP12A, ATP1A1, ABCA2, ABCB6, ATP1B3, ATP1B1, ATP1A2, ABCD4, ABCB8",0,NA,0,NA,0,NA,0
"16",5243,"ABCB1",1766,"MedConf","Novel",NA,10,"SLC22A2, EP300, ARNT, TAF1, SP1, RPA1, HIF1A, UBC, TP53, MAPK8",1,"TP53",1,"MAPK8",0,NA,2
"17",23456,"ABCB10",8356,"MedConf","Novel",NA,1,"NDUFB11",0,NA,0,NA,0,NA,0
"18",5244,"ABCB4",6426,"MedConf","Novel",NA,13,"CREBBP, TGS1, CHD9, CARM1, PPARA, HELZ2, NCOA2, NCOA1, TBL1XR1, SMARCD3, TBL1X, NCOA6, MED1",0,NA,0,NA,0,NA,0
"19",10058,"ABCB6",1574,"MedConf","Novel",NA,15,"ABCA2, ABCB8, ABCD4, FXYD2, ABCA7, PLN, ATP1B1, ATP12A, ATP1A1, ATP1A3, ATP1A2, UBC, ABCF2, ATP1A4, ATP1B3",0,NA,0,NA,0,NA,0
"20",22,"ABCB7",6293,"HighConf","Novel",NA,12,"ERCC2, FAM96B, NARFL, MMS19, BRIP1, CIAPIN1, NDOR1, NUBP2, CIAO1, NUBP1, RTEL1, POLD1",0,NA,0,NA,0,NA,0
"21",11194,"ABCB8",310,"MedConf","Novel",NA,14,"ABCA2, ABCA7, ATP1B3, ATP1A4, ATP1B1, ABCF2, PLN, ATP12A, ABCB6, ATP1A3, ATP1A2, ABCD4, ATP1A1, FXYD2",0,NA,0,NA,0,NA,0
"22",4363,"ABCC1",3475,"MedConf","Novel","Sphingolipid signaling pathway",8,"LMBRD1, ALOX5AP, TCN1, TCN2, TMOD2, STX4, LTC4S, UBC",0,NA,0,NA,0,NA,0
"23",1244,"ABCC2",7460,"MedConf","Novel","Platinum drug resistance",2,"UBC, SLC30A5",0,NA,0,NA,0,NA,0
"24",8714,"ABCC3",1851,"MedConf","Novel",NA,7,"FABP6, SLCO1A2, SLCO1B1, SLC10A1, SLC10A2, ALB, UBC",0,NA,0,NA,0,NA,0
"25",10257,"ABCC4",8432,"MedConf","Novel","cAMP signaling pathway",2,"SLC9A3R1, UBC",0,NA,0,NA,0,NA,0
"26",6833,"ABCC8",1570,"MedConf","Novel","Insulin secretion, Type II diabetes mellitus",7,"PRKACG, KCNJ8, KCNJ11, PRKACB, RAPGEF4, PRKACA, PRKX",0,NA,0,NA,3,"PRKACG, PRKACB, PRKACA",3
"27",10060,"ABCC9",6707,"MedConf","Novel",NA,2,"KCNJ11, KCNJ8",0,NA,0,NA,0,NA,0
"28",5826,"ABCD4",311,"MedConf","Novel",NA,14,"ABCA2, ABCB8, ABCA7, ATP1A3, ATP1A4, ABCB6, ATP1B3, PLN, ATP1A2, ATP12A, ATP1A1, ABCF2, ATP1B1, FXYD2",0,NA,0,NA,0,NA,0
"29",6059,"ABCE1",4932,"MedConf","Novel",NA,14,"EIF5, USP50, EIF3CL, PELO, UBC, EIF3H, ETF1, EIF3C, EIF5B, EIF3A, EIF3I, RPLP0, EIF3J, EIF3F",0,NA,0,NA,0,NA,0
"30",10061,"ABCF2",1774,"MedConf","Novel",NA,15,"ABCA2, ABCB8, ABCD4, FXYD2, ABCB6, ATP1A2, ATP1A3, ATP12A, ATP1B3, ATP1B1, ABCA7, ATP1A4, UBC, PLN, ATP1A1",0,NA,0,NA,0,NA,0
"31",55324,"ABCF3",7859,"MedConf","Novel",NA,2,"ATP6V1B2, UBC",0,NA,0,NA,0,NA,0
"32",9429,"ABCG2",1620,"MedConf","Novel",NA,5,"SLC22A2, EPAS1, HIF1A, ARNT, UBC",0,NA,0,NA,0,NA,0
"33",51099,"ABHD5",2273,"MedConf","Novel","Regulation of lipolysis in adipocytes",6,"PRKACG, PLIN1, PRKACA, PRKACB, PNPLA2, CAV1",0,NA,0,NA,3,"PRKACG, PRKACB, PRKACA",3
"34",10006,"ABI1",2477,"MedConf","Novel",NA,38,"VCAM1, ABI2, ENAH, DOCK1, NCKAP1L, DIAPH3, BAIAP2, ELMO1, ABL1, NCK1, SOS1, ARPC3, MAPK1, ARPC1A, ARPC1B, ITGB1, ARPC5, FCGR2A, RAC1, ELMO2, NCKAP1, ACTB, WASL, MAPK3, ITGA4, ACTR2, USP6NL, CRK, EGFR, VAV2, EGF, BRK1, VAV3, SYK, ACTR3, EPS8, VAV1, ARPC2",0,NA,3,"EGFR, EGF, ABL1",10,"WASL, VAV3, VAV2, VAV1, SOS1, RAC1, MAPK3, MAPK1, ELMO1, CRK",13
"35",10152,"ABI2",2091,"MedConf","Novel","Regulation of actin cytoskeleton",21,"NCKAP1L, ABL1, LDB3, WASF1, ABI1, RAC2, ARPC1B, ARPC2, NCKAP1, RAPH1, UBC, ACTR2, PDLIM5, ARPC3, APBB1IP, RAC3, BRK1, ACTR3, ARPC5, RAC1, PDLIM7",0,NA,2,"RAC3, ABL1",2,"RAC2, RAC1",4
"36",51225,"ABI3",7910,"MedConf","Novel",NA,1,"EIF3H",0,NA,0,NA,0,NA,0
"37",25,"ABL1",3814,"MedConf","Ras signaling pathway","Ras signaling pathway, Cell cycle, Neurotrophin signaling pathway, ErbB signaling pathway",135,"CDH15, GPC1, EPHA6, EPHA1, EPHA7, ABI2, BNIP2, RELN, ENAH, SPAG9, DAB2, ABL2, ABI1, BAIAP2, CBLC, SHC3, MAP4K1, SHC4, DOK1, DOK2, CABLES1, CDON, ROBO1, CBLB, SLIT2, INPPL1, BLK, FGR, RIN1, CAP2, CAP1, TFDP1, TERT, SHC2, CTNND1, WASF1, NCKAP1, BRK1, NEDD9, CDH2, PDGFB, ATM, LRP8, GRB10, YES1, ACTA1, EPHB4, SOS1, NTRK2, NTRK3, TP73, MAPK12, SLIT1, SORBS2, SH3BP1, MEF2A, HSPA4, ARPC5, E2F1, RAC2, ACTR2, PLCG1, EPHA5, LCK, MEF2C, CBL, ACTB, CTNNA1, YWHAZ, TP53, ARPC2, STAT5B, ARPC1A, TCF3, EPS8, MAPK8, ARPC3, MAPT, CDK5, CCND1, GRB2, CDK6, BRCA1, HSP90AA1, SORBS1, CLASP2, NTRK1, EPHB1, YWHAQ, RAD51, EPHA2, EPHB2, RAC3, MAP2K6, SHC1, HDAC1, MAPK1, CCNA2, YWHAG, CLASP1, CDK4, EPHA3, VAV1, CDC42, YWHAB, JAK1, ATR, EPHB3, BCAR1, CRKL, CCNE1, RASA1, YWHAE, CAV1, RAC1, SFN, NCK1, CDK2, YWHAH, FYN, RB1, BCR, PDGFRB, MAPK14, CTNNB1, CRK, UBC, ACTR3, LYN, STAT5A, XPO1, JUN, MAPK3, MAPK11, EPHA4",11,"TP53, NTRK2, NTRK1, MEF2C, MAPT, MAPK14, MAPK12, MAPK11, MAP4K1, MAP2K6, JUN",9,"RIN1, RASA1, RAC3, PLCG1, PDGFRB, PDGFB, MAPK8, EPHA2, ABL2",18,"VAV1, STAT5B, SOS1, SHC4, SHC3, SHC2, SHC1, RAC2, RAC1, MAPK3, MAPK1, LYN, GRB2, FGR, CRKL, CRK, CDC42, BCAR1",38
"38",27,"ABL2",2383,"MedConf","Ras signaling pathway","Ras signaling pathway, ErbB signaling pathway",22,"GPC1, ENAH, DAB2, PIR, UBC, ABL1, SLIT2, NCKAP1, CLASP2, RAC1, CAP1, RAC3, CAP2, NCK1, ROBO1, CRK, RAC2, CRKL, PSMA7, GRB2, RIN1, CLASP1",0,NA,3,"RIN1, RAC3, ABL1",5,"RAC2, RAC1, GRB2, CRKL, CRK",8
"39",84448,"ABLIM2",890,"MedConf","Novel",NA,11,"ABLIM3, DOCK1, NTN1, RAC1, PTK2, DCC, RAC3, NCK1, FYN, RAC2, TRIO",0,NA,1,"RAC3",3,"RAC2, RAC1, PTK2",4
"40",22885,"ABLIM3",6512,"MedConf","Novel",NA,11,"PTK2, RAC1, DOCK1, NCK1, TRIO, RAC2, RAC3, ABLIM2, DCC, NTN1, FYN",0,NA,1,"RAC3",3,"RAC2, RAC1, PTK2",4
"41",29,"ABR",1107,"MedConf","Novel",NA,111,"ARAP1, INPP5B, ARAP2, MYO9A, GMIP, FAM13B, ARHGAP19, SYDE1, FAM13A, ARHGAP29, ARAP3, DEPDC7, ARHGAP25, STARD13, ARHGAP11B, STARD8, ARHGAP10, ARHGAP24, ARHGAP33, ARHGAP11A, ARHGAP12, ARHGAP39, ARHGAP22, SRGAP3, SYDE2, TAGAP, DEPDC1B, ARHGAP30, CHN2, ARHGAP15, ARHGAP36, ARHGAP9, ARHGAP44, ARHGAP40, RAC3, RAC1, FGD1, ARHGAP5, RHOG, ARHGEF7, CDC42, VAV3, MCF2L, RHOA, ROCK1, ITSN1, SOS2, ARHGAP20, ARHGAP32, ARHGEF6, RHOQ, ARHGDIG, ARHGAP1, RHOT2, TIAM1, RACGAP1, ARHGDIA, ARHGAP6, ARHGAP35, ARHGAP26, RHOF, TRIP10, RAC2, RHOBTB2, NET1, GNA13, RHOBTB1, RHOV, RHOH, ARHGEF11, ARHGEF1, ARHGAP31, ARHGEF17, RASGRF2, ARHGEF4, ECT2, ARHGEF18, ARHGEF12, ARHGEF3, SOS1, ARHGEF16, RHOT1, OPHN1, BCR, PLEKHG5, ARHGDIB, A2M, VAV1, CHN1, SRGAP1, ARHGAP17, OCRL, DLC1, RHOD, RHOU, AKAP13, VAV2, GDI2, TRIO, RHOB, ROCK2, KALRN, FGD4, FGD2, FGD3, RHOJ, MCF2, TIAM2, NGEF, OBSCN, ARHGEF2",0,NA,2,"RASGRF2, RAC3",12,"VAV3, VAV2, VAV1, TIAM1, SOS2, SOS1, ROCK2, ROCK1, RHOA, RAC2, RAC1, CDC42",14
"42",80325,"ABTB1",8154,"MedConf","Novel",NA,2,"RBX1, CUL3",0,NA,0,NA,0,NA,0
"43",25841,"ABTB2",8161,"MedConf","Novel",NA,1,"CUL3",0,NA,0,NA,0,NA,0
"44",30,"ACAA1",3885,"MedConf","Novel","Metabolic pathways, Valine, leucine and isoleucine degradation, Fatty acid degradation",37,"ALDH6A1, ACSS1, ACOX3, ACADS, ACSS2, HMGCL, PCCA, ACOX1, ACADSB, HMGCS2, ECHDC1, ACOT8, HSD17B4, ACADM, SUCLG2, PEX7, EHHADH, PCCB, HMGCS1, HADHA, SCP2, VDAC3, SARNP, ACAT2, ACSS3, ACADL, ACADVL, CRAT, SBDS, MRPL53, SUCLG1, CS, SUGP1, ACAT1, DLST, SUCLA2, SRPRB",0,NA,0,NA,0,NA,0
"45",10449,"ACAA2",4989,"MedConf","Novel","Metabolic pathways, Valine, leucine and isoleucine degradation, Fatty acid degradation",33,"ALDH6A1, ACSS1, ACOX3, ACADS, ACSS2, HMGCL, PCCA, ACOX1, ACADSB, HMGCS2, ECHDC1, ACADM, VDAC1, SUCLG2, ACO2, EHHADH, PCCB, HMGCS1, HADHA, TIAL1, ACAT2, TMEM65, CS, ACSS3, MECR, ACADL, ACADVL, TAX1BP3, ZFR, SUCLG1, SUCLA2, DLST, ACAT1",0,NA,0,NA,0,NA,0
"46",32,"ACACB",4580,"MedConf","Novel","Metabolic pathways, Insulin signaling pathway, AMPK signaling pathway, Insulin resistance, Glucagon signaling pathway, Adipocytokine signaling pathway, Pyruvate metabolism",72,"CPT1B, CPT1C, ACOT12, ALDH6A1, MLYCD, ACSS1, ACSS2, SLC5A6, HLCS, SUN1, E2F6, CPT1A, PRKAB1, RRAGA, SUCLG2, BCKDHB, SUN2, CARNS1, E2F5, E2F2, OAS1, OAS2, OAS3, OASL, FASN, CPS1, TIAL1, UBQLN1, ACAT2, UBQLN2, PIKFYVE, PRKAG1, PRKAG2, UBQLN4, E2F4, UBL4A, MCAT, RRAGB, ZFAND4, UBD, UBL4B, SUN3, TIA1, SPAG4, NDUFAF6, SUN5, UBQLNL, SUCLA2, UBA52, EPRS, E2F1, SP1, CAD, MLX, OXSM, ACAT1, CS, RPS27A, RAD23B, FDFT1, NEDD8, KIAA0368, RAD23A, SUCLG1, PRKAA2, E2F3, ISG15, PDHB, UBC, IL4, UBB, PRKAA1",0,NA,0,NA,0,NA,0
"47",27034,"ACAD8",6716,"MedConf","Novel","Metabolic pathways, Valine, leucine and isoleucine degradation",7,"BCKDHB, EHHADH, ECHS1, BCKDHA, HADHA, DBT, DLD",0,NA,0,NA,0,NA,0
"48",28976,"ACAD9",2723,"MedConf","Novel",NA,2,"VDAC1, MRPL1",0,NA,0,NA,0,NA,0
"49",33,"ACADL",6714,"MedConf","Novel","Metabolic pathways, Fatty acid degradation",9,"ACAA2, CPT2, HADHA, EHHADH, ECHS1, ACAA1, ECI1, ACADM, HADHB",0,NA,0,NA,0,NA,0
"50",34,"ACADM",2114,"MedConf","Novel","Metabolic pathways, Carbon metabolism, Valine, leucine and isoleucine degradation, Fatty acid degradation",38,"ALDH6A1, ACSS1, CHD9, ACSS2, GCDH, PCCA, ETFB, MCCC1, ECHS1, ETFA, ECHDC1, ACSS3, ACADL, DECR1, SMARCD3, TBL1XR1, NCOA6, USP20, ACAT1, CPT2, NCOA1, ACAT2, PPARA, ACAA1, HELZ2, NCOA2, CARM1, CREBBP, DBT, ACAA2, TGS1, TBL1X, PCCB, HADHB, USP50, HADHA, EHHADH, MED1",0,NA,0,NA,0,NA,0
"51",35,"ACADS",306,"MedConf","Novel","Metabolic pathways, Carbon metabolism, Valine, leucine and isoleucine degradation, Fatty acid degradation",16,"ACSM2B, ACSM1, ACSM3, ACSM2A, ACSM5, ACSM4, HADHB, DBT, ECHS1, ACAA2, ACAT2, GCDH, ACAA1, EHHADH, HADHA, ACAT1",0,NA,0,NA,0,NA,0
"52",36,"ACADSB",1374,"MedConf","Novel","Metabolic pathways, Valine, leucine and isoleucine degradation, Fatty acid degradation",14,"GCDH, ACAA2, USP19, ECHS1, ACAT1, BCKDHA, ACAT2, HADHB, DLD, BCKDHB, HADHA, ACAA1, EHHADH, DBT",0,NA,0,NA,0,NA,0
"53",37,"ACADVL",6715,"HighConf","Novel","Metabolic pathways, Fatty acid degradation",7,"CPT2, HADHA, ACAA1, ECHS1, EHHADH, HADHB, ACAA2",0,NA,0,NA,0,NA,0
"54",176,"ACAN",302,"MedConf","Novel",NA,29,"ST3GAL6, B3GNT3, B3GNT7, B3GNT2, B3GNT4, ADAMTS5, OMD, PRELP, CHST5, KERA, CHST6, CHST2, OGN, MATN3, SLC35D2, ST3GAL4, ST3GAL3, MATN1, NCAN, LUM, MMP2, MMP9, VCAN, ST3GAL2, MMP7, MMP1, COMP, FMOD, BCAN",0,NA,0,NA,0,NA,0
"55",9744,"ACAP1",6754,"MedConf","Novel",NA,5,"ARF6, PLD1, CLTC, PLD2, SLC2A4",0,NA,3,"PLD2, PLD1, ARF6",0,NA,3
"56",23527,"ACAP2",7263,"MedConf","Novel",NA,1,"ARF6",0,NA,1,"ARF6",0,NA,1
"57",38,"ACAT1",4990,"MedConf","Novel","Metabolic pathways, Carbon metabolism, Valine, leucine and isoleucine degradation, Fatty acid degradation, Pyruvate metabolism, Tryptophan metabolism",33,"ACOT12, ALDH6A1, MLYCD, ACSS1, ACOX3, ACADS, ACSS2, HMGCL, ACOX1, ACADSB, HMGCS2, AACS, ACADM, SUCLG2, PEX7, ACO2, EHHADH, TUBB1, OXCT1, HMGCS1, HADHA, ACAT2, ACAA1, UBL4A, ACACB, CS, HADHB, ACAA2, OXCT2, UBC, DLST, SUCLA2, SUCLG1",0,NA,0,NA,0,NA,0
"58",39,"ACAT2",3884,"MedConf","Novel","Metabolic pathways, Carbon metabolism, Valine, leucine and isoleucine degradation, Fatty acid degradation, Pyruvate metabolism, Tryptophan metabolism",29,"ACOT12, ALDH6A1, MLYCD, ACSS1, ACOX3, ACADS, ACSS2, HMGCL, ACOX1, ACADSB, HMGCS2, AACS, ACADM, SUCLG2, EHHADH, OXCT1, HMGCS1, HADHA, CS, SUCLA2, ACACB, HADHB, ACAT1, UBC, ACAA2, OXCT2, DLST, ACAA1, SUCLG1",0,NA,0,NA,0,NA,0
"59",1636,"ACE",6830,"MedConf","Novel","Renin secretion",2,"AGT, REN",0,NA,0,NA,0,NA,0
"60",125981,"ACER1",375,"MedConf","Novel","Metabolic pathways, Sphingolipid signaling pathway",17,"SGPP2, SGPP1, SPHK2, CERK, SMPD4, SMPD1, GBA2, DEGS2, SPHK1, UGCG, UGT8, SGMS2, SGMS1, DEGS1, SMPD2, GALC, SMPD3",0,NA,0,NA,0,NA,0
"61",340485,"ACER2",374,"MedConf","Novel","Metabolic pathways, Sphingolipid signaling pathway",17,"SGPP2, SGPP1, SPHK2, CERK, DEGS1, DEGS2, GBA2, UGCG, SGMS1, SMPD4, SMPD1, SPHK1, GALC, SMPD2, SGMS2, SMPD3, UGT8",0,NA,0,NA,0,NA,0
"62",43,"ACHE",2427,"MedConf","Novel","Cholinergic synapse",10,"PHOSPHO1, SLC44A1, CHKA, SLC44A3, SLC44A2, SLC44A5, COLQ, JUN, ATF2, APP",2,"JUN, ATF2",0,NA,0,NA,2
"63",22985,"ACIN1",4447,"MedConf","Novel","RNA transport, Spliceosome, mRNA surveillance pathway",8,"NDUFAF4, SRPK2, API5, MAGOH, UBC, CASP3, SF3A2, ALYREF",1,"CASP3",0,NA,0,NA,1
"64",57007,"ACKR3",1844,"MedConf","Novel","Cytokine-cytokine receptor interaction",165,"TAS2R40, S1PR3, HTR1E, HTR5A, GRM7, MCHR2, ADCY5, GPR18, GALR3, LPAR3, C5AR1, CXCL16, TAS2R60, HTR1F, GRM3, ADCY4, BDKRB1, GPR55, PDYN, GPR17, C3AR1, TAS2R39, TAS2R43, NMS, TAS2R1, CCL20, GRM6, FPR3, HCAR3, S1PR5, GPER1, OXGR1, TAS2R5, SST, P2RY13, HRH4, GRM2, TAS2R16, P2RY4, CNR1, RGS20, ADCY1, NPBWR2, TAS2R41, TAS2R3, CHRM2, HCAR2, S1PR2, MCHR1, GRM8, HRH3, GRM4, OXER1, CXCL6, SUCNR1, LPAR5, P2RY12, S1PR4, CNR2, PMCH, TAS2R4, PTGER3, PPY, P2RY14, TAS2R42, CXCL3, ADCY6, PTGDR2, NPY5R, ADRA2C, RXFP3, S1PR1, FPR2, CXCR6, RXFP4, CCR9, SSTR1, SSTR4, SSTR5, ADCY2, HTR1A, RGS10, RGS18, DRD4, LPAR1, CXCL10, CXCL9, CXCL11, CCL25, ADCY3, SAA1, ADCY7, ADCY9, GNAT3, HEBP1, APP, GALR2, CXCR5, NPW, KNG1, CCR4, NPBWR1, NPY, CXCL5, RGS14, PPBP, NPY2R, RGS7, RGS1, CCR7, CXCR4, NMUR1, CXCL12, NMU, OPRD1, NPB, CCL28, AGT, CCR10, CHRM4, GNG2, SSTR2, MTNR1A, GNAI3, CASR, LPAR2, NMUR2, CXCL2, OPRK1, ADCY8, DRD3, PYY, HTR1B, CCR1, CCR5, POMC, CCL27, NPY1R, CXCR1, CCR3, UBC, CCL21, RGS4, PNOC, CXCL1, CXCR3, MTNR1B, CXCL13, C5, ANXA1, GALR1, OPRL1, GAL, CCL19, ADRA2A, RGS6, OPRM1, GNAI1, C3, CCR2, CCR8, DRD2, CXCR2, RGS19, FPR1",0,NA,0,NA,45,"PPBP, GNG2, GNAI3, GNAI1, CXCR6, CXCR5, CXCR4, CXCR3, CXCR2, CXCR1, CXCL9, CXCL6, CXCL5, CXCL3, CXCL2, CXCL16, CXCL13, CXCL12, CXCL11, CXCL10, CXCL1, CCR9, CCR8, CCR7, CCR5, CCR4, CCR3, CCR2, CCR10, CCR1, CCL28, CCL27, CCL25, CCL21, CCL20, CCL19, ADCY9, ADCY8, ADCY7, ADCY6, ADCY5, ADCY4, ADCY3, ADCY2, ADCY1",45
"65",51554,"ACKR4",6702,"MedConf","Novel",NA,3,"CCL21, CCL25, CCL19",0,NA,0,NA,3,"CCL25, CCL21, CCL19",3
"66",47,"ACLY",4745,"MedConf","Novel","Metabolic pathways",4,"IMPDH2, IDH3B, IDH3G, IDH3A",0,NA,0,NA,0,NA,0
"67",130013,"ACMSD",6698,"MedConf","Novel","Metabolic pathways, Tryptophan metabolism",1,"HAAO",0,NA,0,NA,0,NA,0
"68",48,"ACO1",6740,"HighConf","Novel","Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids",7,"IDH1, CS, UBC, IDH2, IDH3A, FBXL5, IDH3B",0,NA,0,NA,0,NA,0
"69",50,"ACO2",2701,"HighConf","Novel","Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids",8,"IDH1, IDH2, ACAA2, CS, UBC, IDH3B, ACAT1, IDH3A",0,NA,0,NA,0,NA,0
"70",134526,"ACOT12",148,"MedConf","Novel","Pyruvate metabolism",16,"ACYP2, ACYP1, ACSS2, SUCLG2, MLYCD, ALDH9A1, ALDH1B1, ACAT1, ALDH3A2, ACSS1, ACACB, SUCLG1, ALDH7A1, SUCLA2, ALDH6A1, ACAT2",0,NA,0,NA,0,NA,0
"71",10965,"ACOT2",8448,"MedConf","Novel","Metabolic pathways",1,"UBC",0,NA,0,NA,0,NA,0
"72",10005,"ACOT8",1859,"MedConf","Novel","Metabolic pathways",6,"SLC27A5, BAAT, PEX5, UBC, ACAA1, SCP2",0,NA,0,NA,0,NA,0
"73",51,"ACOX1",1369,"MedConf","Novel","Metabolic pathways, cAMP signaling pathway, Fatty acid degradation",31,"GCDH, FABP1, HADHA, ACAT1, HSD17B4, RELA, ME1, HADHB, CPT2, JUN, CPT1A, CREBBP, LPL, ACAA1, EP300, PPARGC1A, EHHADH, ACAT2, SP1, SRA1, MED1, PPARA, CITED2, NRIP1, NCOA1, APOA2, ACAA2, APOA1, NR1H3, PEX5, ECHS1",1,"JUN",0,NA,1,"RELA",2
"74",8309,"ACOX2",6259,"MedConf","Novel","Metabolic pathways",2,"HSD17B4, AMACR",0,NA,0,NA,0,NA,0
