"GeneSymbol","KEGGpresence","EntrezID","Replicate1","Zscore","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"ABCA1","Present",19,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10","Present",10349,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12","Present",26154,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2","Present",20,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3","Present",21,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4","Present",24,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA5","Present",23461,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6","Present",23460,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7","Present",10347,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8","Present",10351,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9","Present",10350,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1","Present",5243,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10","Present",23456,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11","Present",8647,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4","Present",5244,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6","Present",10058,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8","Present",11194,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9","Present",23457,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1","Present",4363,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC10","Present",89845,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12","Present",94160,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC2","Present",1244,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC3","Present",8714,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC5","Present",10057,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC6","Present",368,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC8","Present",6833,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC9","Present",10060,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD1","Present",215,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2","Present",225,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD3","Present",5825,0.5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCD4","Present",5826,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCE1","Absent",6059,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF1","Absent",23,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2","Absent",10061,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3","Absent",55324,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1","Present",9619,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG2","Present",9429,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG4","Present",64137,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG5","Present",64240,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG8","Present",64241,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD10","Absent",55347,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11","Absent",83451,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12","Absent",26090,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A","Absent",25864,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B","Absent",84836,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15","Absent",116236,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A","Absent",7920,0.5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD16B","Absent",140701,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17A","Absent",81926,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17B","Absent",51104,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C","Absent",58489,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2","Absent",11057,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3","Absent",171586,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD4","Absent",63874,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5","Absent",51099,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD6","Absent",57406,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD8","Absent",79575,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI1","Absent",10006,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI2","Present",10152,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABI3","Absent",51225,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI3BP","Absent",25890,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABL1","Present",25,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABL2","Present",27,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM1","Present",3983,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM2","Present",84448,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM3","Present",22885,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABO","Present",28,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABR","Absent",29,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRA","Absent",137735,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABT1","Absent",29777,0.5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABTB1","Absent",80325,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABTB2","Absent",25841,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAA1","Present",30,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAA2","Present",10449,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACA","Present",31,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACB","Present",32,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD10","Absent",80724,0.5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ACAD11","Absent",84129,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD8","Present",27034,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD9","Absent",28976,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACADL","Present",33,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADM","Present",34,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADS","Present",35,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADSB","Present",36,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADVL","Present",37,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAN","Absent",176,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAP1","Present",9744,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAP3","Present",116983,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAT1","Present",38,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAT2","Present",39,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACBD3","Absent",64746,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD4","Absent",79777,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD5","Absent",91452,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD6","Absent",84320,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACCS","Absent",84680,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACE","Present",1636,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACE2","Present",59272,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER1","Present",125981,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER2","Present",340485,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER3","Present",55331,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACHE","Present",43,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACIN1","Present",22985,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACKR1","Absent",2532,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACKR2","Absent",1238,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACKR3","Present",57007,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACKR4","Absent",51554,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACLY","Present",47,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACO1","Present",48,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACO2","Present",50,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT1","Present",641371,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT11","Absent",26027,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT12","Present",134526,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT13","Absent",55856,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT2","Present",10965,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT4","Present",122970,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT7","Present",11332,0.5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACOT8","Present",10005,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT9","Absent",23597,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOX1","Present",51,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX2","Present",8309,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX3","Present",8310,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOXL","Absent",55289,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACP1","Present",52,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP2","Present",53,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP5","Present",54,0.5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACP6","Present",51205,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACPP","Present",55,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACR","Absent",49,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACRBP","Absent",84519,0.5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ACRV1","Absent",56,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACSBG1","Absent",23205,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSF2","Absent",80221,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACSF3","Absent",197322,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSL1","Present",2180,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSL3","Present",2181,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSL4","Present",2182,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSL6","Present",23305,0.5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACSM1","Present",116285,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSM2A","Present",123876,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSM3","Present",6296,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSM4","Present",341392,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSM5","Present",54988,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSS1","Present",84532,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSS2","Present",55902,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACSS3","Present",79611,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTA1","Absent",58,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTA2","Present",59,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTB","Present",60,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTBL2","Absent",345651,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTC1","Present",70,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTG1","Present",71,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTG2","Present",72,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTL6A","Absent",86,1,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ACTL6B","Absent",51412,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTL7A","Absent",10881,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTL7B","Absent",10880,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTL9","Absent",284382,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTN2","Present",88,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTN3","Present",89,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTN4","Present",81,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTR10","Absent",55860,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTR1A","Absent",10121,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTR1B","Absent",10120,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTR2","Absent",10097,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTR3","Absent",10096,1,1,"HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ACTR3B","Absent",57180,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACTR5","Absent",79913,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTR6","Absent",64431,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTR8","Absent",93973,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTRT1","Absent",139741,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACTRT2","Absent",140625,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACVR1","Present",90,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACVR1B","Present",91,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACVR2A","Present",92,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACVR2B","Present",93,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACVRL1","Absent",94,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACY1","Present",95,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACY3","Present",91703,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACYP1","Present",97,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACYP2","Present",98,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ADA","Present",100,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ADAD1","Absent",132612,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM10","Present",102,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM11","Absent",4185,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM12","Absent",8038,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM15","Absent",8751,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM17","Present",6868,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ADAM18","Absent",8749,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM19","Absent",8728,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM2","Absent",2515,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM20","Absent",8748,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM21","Absent",8747,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM22","Absent",53616,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM23","Absent",8745,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM29","Absent",11086,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ADAM30","Absent",11085,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM32","Absent",203102,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM33","Absent",80332,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM7","Absent",8756,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM8","Absent",101,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAM9","Absent",8754,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMDEC1","Absent",27299,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS1","Absent",9510,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS10","Absent",81794,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS12","Absent",81792,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS15","Absent",170689,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS16","Absent",170690,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS18","Absent",170692,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS19","Absent",171019,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS2","Absent",9509,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS20","Absent",80070,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS3","Absent",9508,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS4","Absent",9507,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS5","Absent",11096,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS7","Absent",11173,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTS8","Absent",11095,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTSL2","Absent",9719,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTSL4","Absent",54507,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAMTSL5","Absent",339366,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAP1","Absent",11033,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAP2","Absent",55803,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAR","Present",103,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ADARB1","Absent",104,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADARB2","Absent",105,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAT1","Absent",23536,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADAT2","Absent",134637,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADCK1","Absent",57143,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADCK2","Absent",90956,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ADCK3","Absent",56997,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
