"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"562",202,"AIM1","MedConf","Yes",NA,"BIRC5, CDCA8","Apoptosis (1), Platinum drug resistance (1)"
"569",326,"AIRE","HighConf","Yes",NA,"HDAC2","Cell cycle (1), Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
"575",205,"AK4","HighConf","Yes",NA,"NT5C, PDE1B, DCK, AMPD1","Renin secretion (1)"
"577",122481,"AK7","HighConf","Yes",NA,"PDE1B, AMPD1, NT5C, DCK","Renin secretion (1)"
"622",211,"ALAS1","MedConf","Yes",NA,"UBC, POLD4, NCOA6, ESRRA","Base excision repair (1)"
"634",217,"ALDH2","MedConf","Yes","Lysine degradation",NA,NA
"636",224,"ALDH3A2","HighConf","Yes","Lysine degradation","ADH4, UBC",NA
"645",226,"ALDOA","HighConf","Yes",NA,"ARNT, PGAM2, IGF2, FBP1, PF4, DERA, TKTL2, SERPING1, G6PC, A2M, TGFB2, UBC, GAPDH","Cytokine-cytokine receptor interaction (2), Cell cycle (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1), Chemokine signaling pathway (1)"
"675",246,"ALOX15","MedConf","Yes","Serotonergic synapse","PLA2G4A, GPX1, PLA2G6, JMJD7-PLA2G4B, PLA2G4D, GPX3","Ether lipid metabolism (4), Ras signaling pathway (4), Platelet activation (3), Phospholipase D signaling pathway (3), GnRH signaling pathway (3), Fc epsilon RI signaling pathway (3), Long-term depression (3), Serotonergic synapse (3), MAPK signaling pathway (3), Fc gamma R-mediated phagocytosis (3), Thyroid hormone synthesis (2)"
"677",240,"ALOX5","MedConf","Yes","Serotonergic synapse, Fc epsilon RI signaling pathway",NA,NA
"687",57679,"ALS2","HighConf","Yes",NA,"RAB5A","Phagosome (1), Vasopressin-regulated water reabsorption (1), Ras signaling pathway (1)"
"720",270,"AMPD1","HighConf","Yes",NA,"NT5C, ENTPD4, AK4, HPRT1, DCK, ITPA, AK7, PDE1B","Renin secretion (1)"
"795",84250,"ANKRD32","MedConf","Yes",NA,"POLE","Base excision repair (1)"
"841",118429,"ANTXR2","MedConf","Yes","NOD-like receptor signaling pathway","UBC",NA
"905",51107,"APH1A","MedConf","Yes","Notch signaling pathway",NA,NA
"921",338,"APOB","MedConf","Yes",NA,"ITGAM, AGRN, GPC2, MSR1, SP1, VCP, P4HB, CALCR, PDIA4, LDLR, LRP1, UBC, HSP90B1, CALR, HSPA5","Thyroid hormone synthesis (3), Phagosome (3), PI3K-Akt signaling pathway (1), Neuroactive ligand-receptor interaction (1), Osteoclast differentiation (1), Mitophagy - animal (1), Protein export (1), ECM-receptor interaction (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1)"
"963",361,"AQP4","HighConf","Yes","Vasopressin-regulated water reabsorption",NA,NA
"1002",55843,"ARHGAP15","HighConf","Yes",NA,"CDC42, ARHGEF6, KALRN, ARHGDIB, RHOB, RHOV, RHOF, ARHGEF3","Regulation of actin cytoskeleton (2), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1)"
"1006",57569,"ARHGAP20","MedConf","Yes",NA,"RHOF, KALRN, ARHGEF6, CDC42, ARHGEF3, RHOV, ARHGDIB, RHOB","Regulation of actin cytoskeleton (2), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1)"
"1017",9743,"ARHGAP32","MedConf","Yes",NA,"KALRN, RHOF, CDC42, ARHGDIB, ARHGEF3, ARHGEF6, RHOV, RHOB","Regulation of actin cytoskeleton (2), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1)"
"1023",394,"ARHGAP5","HighConf","Yes","Leukocyte transendothelial migration, Focal adhesion","RHOF, CDC42, RHOB, ARHGEF3, ARHGEF6, ARHGDIB, CLTA, RHOV, KALRN","Regulation of actin cytoskeleton (2), Endocrine and other factor-regulated calcium reabsorption (1), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1)"
"1026",64333,"ARHGAP9","MedConf","Yes",NA,"CDC42, ARHGEF6, RHOV, KALRN, RHOF, ARHGEF3, RHOB, ARHGDIB","Regulation of actin cytoskeleton (2), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1)"
"1028",397,"ARHGDIB","MedConf","Yes","Vasopressin-regulated water reabsorption","PRKX, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, CDC42, A2M, NGFR, RHOV, RHOB, JUN","Focal adhesion (3), GnRH signaling pathway (2), T cell receptor signaling pathway (2), Ras signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Leukocyte transendothelial migration (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Fc gamma R-mediated phagocytosis (1), Chemokine signaling pathway (1), Regulation of actin cytoskeleton (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), Mitophagy - animal (1), Relaxin signaling pathway (1), Osteoclast differentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"1044",50650,"ARHGEF3","MedConf","Yes",NA,"ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, A2M, CDC42, RHOV","Focal adhesion (2), Leukocyte transendothelial migration (2), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1)"
"1050",9459,"ARHGEF6","HighConf","Yes","Regulation of actin cytoskeleton","ARHGAP32, ITGA1, AGRN, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, GIT1, LAMA5, CDC42, MRAS, RHOV, A2M, ITGB1, PXN, RHOB","Focal adhesion (6), Regulation of actin cytoskeleton (6), ECM-receptor interaction (4), Leukocyte transendothelial migration (4), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), Ras signaling pathway (2), MAPK signaling pathway (2), Chemokine signaling pathway (2), Phospholipase D signaling pathway (1), Mitophagy - animal (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), AGE-RAGE signaling pathway in diabetic complications (1), Platelet activation (1), Phagosome (1), Hematopoietic cell lineage (1)"
"1106",405,"ARNT","HighConf","Yes",NA,"CXCR4, EDN1, TF, SLC2A1, TFF3, COPS5, EPAS1, JUN, EPO, ALDOA, SMAD4, SP1, CREB1","Relaxin signaling pathway (3), TNF signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (3), Insulin secretion (2), Osteoclast differentiation (2), cAMP signaling pathway (2), PI3K-Akt signaling pathway (2), Cytokine-cytokine receptor interaction (2), Th17 cell differentiation (2), Mitophagy - animal (2), Dopaminergic synapse (1), Adrenergic signaling in cardiomyocytes (1), Renin secretion (1), Vasopressin-regulated water reabsorption (1), Thyroid hormone synthesis (1), Jak-STAT signaling pathway (1), Hematopoietic cell lineage (1), Cell cycle (1), Th1 and Th2 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Focal adhesion (1), NOD-like receptor signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), Thyroid hormone signaling pathway (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1)"
"1111",10095,"ARPC1B","MedConf","Yes","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis","ACTR2, ABI1, PSMA7, UBC, PDGFRB","Phospholipase D signaling pathway (1), Ras signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Proteasome (1)"
"1148",427,"ASAH1","HighConf","Yes","Sphingolipid signaling pathway","SGPP2, SMPD2, PPAP2A","Sphingolipid signaling pathway (2)"
"1151",50807,"ASAP1","MedConf","Yes","Fc gamma R-mediated phagocytosis","CLTA, UBC","Endocrine and other factor-regulated calcium reabsorption (1)"
"1152",8853,"ASAP2","MedConf","Yes","Fc gamma R-mediated phagocytosis","CLTA, UBC, PXN","Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Regulation of actin cytoskeleton (1), Endocrine and other factor-regulated calcium reabsorption (1)"
"1153",55616,"ASAP3","MedConf","Yes","Fc gamma R-mediated phagocytosis",NA,NA
"1180",25842,"ASF1A","MedConf","Yes",NA,"ATR, ASF1B, TAF1","Cell cycle (1)"
"1181",55723,"ASF1B","MedConf","Yes",NA,"ASF1A, ATR, KAT2B, TAF1, UBC","Notch signaling pathway (1), Thyroid hormone signaling pathway (1), Cell cycle (1)"
"1182",432,"ASGR1","MedConf","Yes","Thyroid hormone synthesis",NA,NA
"1184",55870,"ASH1L","MedConf","Yes","Lysine degradation","PLOD3","Lysine degradation (1)"
"1229",467,"ATF3","MedConf","Yes",NA,"SMAD4, JUN, UBC","Th17 cell differentiation (2), AGE-RAGE signaling pathway in diabetic complications (2), Th1 and Th2 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), Focal adhesion (1), Osteoclast differentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), Cell cycle (1)"
"1233",1388,"ATF6B","MedConf","Yes","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, Relaxin signaling pathway, Insulin secretion, Adrenergic signaling in cardiomyocytes, Dopaminergic synapse",NA,NA
"1253",285973,"ATG9B","MedConf","Yes","Mitophagy - animal",NA,NA
"1273",479,"ATP12A","MedConf","Yes",NA,"ATP1A3, PPA1, ABCA2, ATP1B3, UBC","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"1281",478,"ATP1A3","MedConf","Yes","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption","ATP1B2, ABCA2, FXYD7, ATP1B3, UBC, PRKX, ATP12A","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"1284",482,"ATP1B2","MedConf","Yes","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption","FXYD7, ATP1B3, ATP1A3, PRKX","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"1285",483,"ATP1B3","HighConf","Yes","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption","ATP12A, ATP1A3, ATP1B2, ABCA2, FXYD7, PRKX, UBC","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"1286",23439,"ATP1B4","MedConf","Yes","Thyroid hormone synthesis, cAMP signaling pathway, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Endocrine and other factor-regulated calcium reabsorption","PRKX",NA
"1292",492,"ATP2B3","MedConf","Yes","cAMP signaling pathway, Adrenergic signaling in cardiomyocytes",NA,NA
"1315",537,"ATP6AP1","HighConf","Yes","Phagosome",NA,NA
"1320",50617,"ATP6V0A4","HighConf","Yes","Phagosome","TF, TCIRG1, PPA1, ATP6V1B2","Phagosome (2)"
"1325",8992,"ATP6V0E1","HighConf","Yes","Phagosome",NA,NA
"1329",526,"ATP6V1B2","HighConf","Yes","Phagosome","TCIRG1, PPA1, TF, ATP6V0A4, UBC","Phagosome (2)"
"1353",545,"ATR","HighConf","Yes","Cell cycle","MCM8, RAD21, ASF1B, FANCG, CDC25C, SYCP3, FANCE, ASF1A, TIPIN, CCNB2, RAD51, MSH2, UBC, BRCA2, XPA","Cell cycle (3), Platinum drug resistance (2)"
"1379",552,"AVPR1A","MedConf","Yes","Neuroactive ligand-receptor interaction, Phospholipase D signaling pathway","NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, KALRN, EDN1, GNA11, ADRBK1, NMUR2, AGT, TACR1, GNA15, TACR3","Neuroactive ligand-receptor interaction (6), GnRH signaling pathway (2), Relaxin signaling pathway (2), Long-term depression (1), Insulin secretion (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), Renin secretion (1), Chemokine signaling pathway (1), Cytokine-cytokine receptor interaction (1), Regulation of actin cytoskeleton (1)"
"1436",573,"BAG1","MedConf","Yes",NA,"JUN, STUB1, UBC","Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Osteoclast differentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"1448",22893,"BAHD1","MedConf","Yes",NA,"RRP8, SUV39H1","Lysine degradation (1)"
"1457",25805,"BAMBI","MedConf","Yes",NA,"BMP7, BMPR1B","Cytokine-cytokine receptor interaction (2)"
"1495",10286,"BCAS2","MedConf","Yes","Spliceosome","CDC5L, MFAP1, PRPF8, UBC, EFTUD2, PLRG1","Spliceosome (4)"
"1508",64919,"BCL11B","MedConf","Yes",NA,"HDAC2","Cell cycle (1), Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
"1511",598,"BCL2L1","HighConf","Yes","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal, Jak-STAT signaling pathway, Platinum drug resistance, Apoptosis","STAT1, DIABLO, PRKAR2B, DNM1L, NMI, PMAIP1, SPATA25, PGAM5, UBC","TNF signaling pathway (2), Apoptosis (2), NOD-like receptor signaling pathway (2), Mitophagy - animal (1), Platinum drug resistance (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Jak-STAT signaling pathway (1), Thyroid hormone signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), Chemokine signaling pathway (1), Toll-like receptor signaling pathway (1)"
"1519",602,"BCL3","MedConf","Yes","TNF signaling pathway","IKBKB, RELA, UBC","Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Apoptosis (2), T cell receptor signaling pathway (2), Ras signaling pathway (2), RIG-I-like receptor signaling pathway (2), Osteoclast differentiation (2), Chemokine signaling pathway (2), NOD-like receptor signaling pathway (2), TNF signaling pathway (2), MAPK signaling pathway (2), Toll-like receptor signaling pathway (2), PI3K-Akt signaling pathway (2), NF-kappa B signaling pathway (2), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1)"
"1520",604,"BCL6","HighConf","Yes",NA,"HDAC4, UBC, SIN3A","Thyroid hormone signaling pathway (1)"
