EntrezID,GeneSymbol,InputCategory,TRIAGEhits,Pathway,InteractingGenes,NetworkGenePathways
972,CD74,HighConf,Yes,Antigen processing and presentation,"CTSH, CD44, CLTA, CTSB, LGMN","Lysosome (4), Antigen processing and presentation (2), Apoptosis (2), Endocytosis (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1)"
928,CD9,MedConf,Yes,Hematopoietic cell lineage,,
1211,CLTA,MedConf,Yes,"Lysosome, Endocytosis","CD74, DAB2, TFRC, IGF2R, VAMP8, FNBP1, CBL, NCF2","Endocytosis (4), Phagosome (2), Antigen processing and presentation (1), Ferroptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Leukocyte transendothelial migration (1), Lysosome (1), Osteoclast differentiation (1)"
8895,CPNE3,MedConf,Yes,,"CD63, VAMP8",Lysosome (1)
1471,CST3,HighConf,Yes,,"GGH, CTSH, FTH1","Antifolate resistance (1), Apoptosis (1), Ferroptosis (1), Lysosome (1), Mineral absorption (1), Necroptosis (1)"
1476,CSTB,MedConf,Yes,,"GGH, CTSH, FTH1","Antifolate resistance (1), Apoptosis (1), Ferroptosis (1), Lysosome (1), Mineral absorption (1), Necroptosis (1)"
1508,CTSB,MedConf,Yes,"Lysosome, NOD-like receptor signaling pathway, Antigen processing and presentation, Apoptosis",CD74,Antigen processing and presentation (1)
1512,CTSH,MedConf,Yes,"Lysosome, Apoptosis","FTH1, LYZ, CST3, CSTB, HBB, GGH, CD74","Antifolate resistance (1), Antigen processing and presentation (1), Ferroptosis (1), Mineral absorption (1), Necroptosis (1)"
1522,CTSZ,MedConf,Yes,"Lysosome, Apoptosis","GGH, LYZ, VAMP8, NFKB1, KPNB1, NAPG","Antifolate resistance (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Apoptosis (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
1601,DAB2,MedConf,Yes,Endocytosis,"TFRC, IGF2R, VAMP8, FNBP1, CBL, CLTA","Endocytosis (4), Lysosome (2), Ferroptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Phagosome (1)"
23586,DDX58,MedConf,Yes,"NF-kappa B signaling pathway, Cytosolic DNA-sensing pathway, RIG-I-like receptor signaling pathway","IFIT1, MX1, MX2, IFIH1, ISG15, NFKB1, STAT1, EIF2AK2, NFKB2","C-type lectin receptor signaling pathway (3), Osteoclast differentiation (3), RIG-I-like receptor signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (2), Chemokine signaling pathway (2), Necroptosis (2), NF-kappa B signaling pathway (2), NOD-like receptor signaling pathway (2), Prolactin signaling pathway (2), Toll-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), Antifolate resistance (1), Apoptosis (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), TNF signaling pathway (1)"
10938,EHD1,HighConf,Yes,Endocytosis,"WARS1, EHD4",Endocytosis (1)
30844,EHD4,MedConf,Yes,Endocytosis,EHD1,Endocytosis (1)
5610,EIF2AK2,MedConf,Yes,Necroptosis,"DDX58, IFIT1, MX1, MX2, PTPN2, ISG15, STAT1","RIG-I-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Necroptosis (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), Toll-like receptor signaling pathway (1)"
2167,FABP4,MedConf,Yes,PPAR signaling pathway,FABP5,PPAR signaling pathway (1)
2171,FABP5,HighConf,Yes,PPAR signaling pathway,"SDCBP, NPC2, FTL, GGH, RNASET2, LYZ, GM2A, FABP4","Lysosome (2), Antifolate resistance (1), Cholesterol metabolism (1), Ferroptosis (1), Mineral absorption (1), Necroptosis (1), PPAR signaling pathway (1)"
8789,FBP2,HighConf,Yes,Fructose and mannose metabolism,"PFKFB3, HK2","Fructose and mannose metabolism (2), HIF-1 signaling pathway (2)"
2207,FCER1G,MedConf,Yes,"C-type lectin receptor signaling pathway, Natural killer cell mediated cytotoxicity","PLA2G4A, ITGAX, VAMP8, CBL, ITGAM, UBR4, LCP2, ADAM10","Complement and coagulation cascades (2), Cell adhesion molecules (1), Endocytosis (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Natural killer cell mediated cytotoxicity (1), Necroptosis (1), Osteoclast differentiation (1), Phagosome (1)"
2217,FCGRT,HighConf,Yes,,HLA-B,"Antigen processing and presentation (1), Cell adhesion molecules (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1), Type I diabetes mellitus (1)"
23048,FNBP1,MedConf,Yes,,"CBL, CLTA, DAB2, TFRC, IGF2R, VAMP8","Endocytosis (5), Lysosome (2), Ferroptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Phagosome (1)"
2495,FTH1,HighConf,Yes,"Ferroptosis, Necroptosis, Mineral absorption","LYZ, IGF2R, CST3, CSTB, VAMP8, HBB, FTL, GGH, CTSH, TFRC","Endocytosis (2), Ferroptosis (2), Lysosome (2), Antifolate resistance (1), Apoptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Mineral absorption (1), Necroptosis (1), Phagosome (1)"
2512,FTL,MedConf,Yes,"Ferroptosis, Necroptosis, Mineral absorption","GGH, TFRC, FTH1, RNASET2, LYZ, IGF2R, GM2A, VAMP8, FABP5, SDCBP, NPC2","Lysosome (3), Endocytosis (2), Ferroptosis (2), Antifolate resistance (1), Cholesterol metabolism (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Mineral absorption (1), Necroptosis (1), Phagosome (1), PPAR signaling pathway (1)"
11337,GABARAP,MedConf,Yes,NOD-like receptor signaling pathway,SQSTM1,"Necroptosis (1), Osteoclast differentiation (1)"
57459,GATAD2B,MedConf,Yes,,PML,Endocytosis (1)
2633,GBP1,HighConf,Yes,NOD-like receptor signaling pathway,"GBP2, MT2A, IRF5, OAS3, PML, HLA-B, ICAM1, CD44, OAS2","NOD-like receptor signaling pathway (3), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
2634,GBP2,MedConf,Yes,NOD-like receptor signaling pathway,"IFIT2, MX1, MX2, MT2A, ISG20, IRF5, OAS3, ISG15, PML, HLA-B, ICAM1, CD44, OAS2, IFIT1, IFIT3, GBP1","NOD-like receptor signaling pathway (3), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
2673,GFPT1,HighConf,Yes,"Alanine, aspartate and glutamate metabolism","HK2, GLS","Alanine (1), aspartate and glutamate metabolism (1), Fructose and mannose metabolism (1), HIF-1 signaling pathway (1)"
8836,GGH,MedConf,Yes,Antifolate resistance,"CTSH, FTH1, RNASET2, LYZ, GM2A, CST3, CSTB, NFKB1, FABP5, SDCBP, NPC2, KPNB1, HBB, FTL, CTSZ","Lysosome (4), Apoptosis (3), Ferroptosis (2), Mineral absorption (2), Necroptosis (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cholesterol metabolism (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), PPAR signaling pathway (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
2734,GLG1,MedConf,Yes,Cell adhesion molecules,,
2744,GLS,HighConf,Yes,"Alanine, aspartate and glutamate metabolism",GFPT1,"Alanine (1), aspartate and glutamate metabolism (1)"
2760,GM2A,MedConf,Yes,Lysosome,"FABP5, SDCBP, NPC2, FTL, GGH, RNASET2, LYZ","Antifolate resistance (1), Cholesterol metabolism (1), Ferroptosis (1), Lysosome (1), Mineral absorption (1), Necroptosis (1), PPAR signaling pathway (1)"
3043,HBB,HighConf,Yes,,"GGH, CTSH, FTH1","Antifolate resistance (1), Apoptosis (1), Ferroptosis (1), Lysosome (1), Mineral absorption (1), Necroptosis (1)"
3055,HCK,MedConf,Yes,Chemokine signaling pathway,"ITGAM, SRC, CBL","Endocytosis (2), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Complement and coagulation cascades (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Phagosome (1), Prolactin signaling pathway (1)"
3099,HK2,MedConf,Yes,"HIF-1 signaling pathway, Fructose and mannose metabolism","FBP2, PFKFB3, GFPT1","Fructose and mannose metabolism (2), Alanine (1), aspartate and glutamate metabolism (1), HIF-1 signaling pathway (1)"
3105,HLA-A,MedConf,Yes,"Phagosome, Cell adhesion molecules, Endocytosis, Natural killer cell mediated cytotoxicity, Type I diabetes mellitus, Antigen processing and presentation",,
3106,HLA-B,MedConf,Yes,"Phagosome, Cell adhesion molecules, Endocytosis, Natural killer cell mediated cytotoxicity, Type I diabetes mellitus, Antigen processing and presentation","ICAM1, CD44, OAS2, IFIT1, IFIT3, GBP1, GBP2, IFIT2, MX1, MX2, MT2A, ISG20, IRF5, FCGRT, OAS3, VAMP8, ISG15, PML","NOD-like receptor signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (1), Cell adhesion molecules (1), Endocytosis (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
3157,HMGCS1,MedConf,Yes,PPAR signaling pathway,,
3162,HMOX1,HighConf,Yes,"Ferroptosis, Mineral absorption, HIF-1 signaling pathway",,
3383,ICAM1,HighConf,Yes,"NF-kappa B signaling pathway, Cell adhesion molecules, TNF signaling pathway, Natural killer cell mediated cytotoxicity, AGE-RAGE signaling pathway in diabetic complications, Leukocyte transendothelial migration","OAS2, GBP1, GBP2, MT2A, IRF5, ITGAX, OAS3, PML, HLA-B, ITGAM","NOD-like receptor signaling pathway (4), Cell adhesion molecules (2), Complement and coagulation cascades (2), Endocytosis (2), Phagosome (2), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), Natural killer cell mediated cytotoxicity (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3620,IDO1,HighConf,Yes,Tryptophan metabolism,"IL4I1, KYNU","Tryptophan metabolism (2), Alanine (1), aspartate and glutamate metabolism (1)"
64135,IFIH1,HighConf,Yes,RIG-I-like receptor signaling pathway,"NFKB1, NFKB2, DDX58","NF-kappa B signaling pathway (3), C-type lectin receptor signaling pathway (2), Cytosolic DNA-sensing pathway (2), Osteoclast differentiation (2), RIG-I-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), Apoptosis (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), NOD-like receptor signaling pathway (1), Prolactin signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
3434,IFIT1,HighConf,Yes,,"GBP2, IRF5, OAS3, ISG15, STAT1, HLA-B, EIF2AK2, DDX58, OAS2","NOD-like receptor signaling pathway (4), Necroptosis (2), RIG-I-like receptor signaling pathway (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), Prolactin signaling pathway (1), Type I diabetes mellitus (1)"
3433,IFIT2,HighConf,Yes,,"IRF5, OAS3, ISG15, HLA-B, OAS2, GBP2","NOD-like receptor signaling pathway (3), Antigen processing and presentation (1), Cell adhesion molecules (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3437,IFIT3,HighConf,Yes,,"GBP2, IRF5, OAS3, ISG15, HLA-B, OAS2","NOD-like receptor signaling pathway (3), Antigen processing and presentation (1), Cell adhesion molecules (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3482,IGF2R,MedConf,Yes,"Lysosome, Endocytosis","VAMP8, FNBP1, CBL, NAPG, FTL, CLTA, DAB2, TFRC, FTH1","Endocytosis (4), Ferroptosis (3), Mineral absorption (2), Necroptosis (2), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Lysosome (1), Phagosome (1)"
3552,IL1A,HighConf,Yes,"Hematopoietic cell lineage, Osteoclast differentiation, Necroptosis, Type I diabetes mellitus, AGE-RAGE signaling pathway in diabetic complications","NFKB1, NFKB2, IL1RN, IL1B","C-type lectin receptor signaling pathway (3), NF-kappa B signaling pathway (3), Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (2), Antifolate resistance (2), Cytosolic DNA-sensing pathway (2), NOD-like receptor signaling pathway (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), Apoptosis (1), Chemokine signaling pathway (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Necroptosis (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3553,IL1B,HighConf,Yes,"Hematopoietic cell lineage, NOD-like receptor signaling pathway, NF-kappa B signaling pathway, C-type lectin receptor signaling pathway, Osteoclast differentiation, Necroptosis, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, Type I diabetes mellitus, AGE-RAGE signaling pathway in diabetic complications, Antifolate resistance","IL1A, SQSTM1, NFKB1, NFKB2, IL1RN","Osteoclast differentiation (4), AGE-RAGE signaling pathway in diabetic complications (2), C-type lectin receptor signaling pathway (2), Necroptosis (2), NF-kappa B signaling pathway (2), Adipocytokine signaling pathway (1), Antifolate resistance (1), Apoptosis (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), NOD-like receptor signaling pathway (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3557,IL1RN,HighConf,Yes,,"IL1B, IL1A","AGE-RAGE signaling pathway in diabetic complications (2), Hematopoietic cell lineage (2), Necroptosis (2), Osteoclast differentiation (2), Type I diabetes mellitus (2), Antifolate resistance (1), C-type lectin receptor signaling pathway (1), Cytosolic DNA-sensing pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
259307,IL4I1,HighConf,Yes,"Tryptophan metabolism, Alanine, aspartate and glutamate metabolism","MAT2B, IDO1",Tryptophan metabolism (1)
3663,IRF5,MedConf,Yes,Toll-like receptor signaling pathway,"OAS3, ISG15, PML, HLA-B, ICAM1, CD44, OAS2, IFIT1, IFIT3, GBP1, GBP2, IFIT2, MX1, MX2, MT2A, ISG20","NOD-like receptor signaling pathway (4), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Type I diabetes mellitus (1)"
9636,ISG15,HighConf,Yes,RIG-I-like receptor signaling pathway,"STAT1, HLA-B, EIF2AK2, DDX58, OAS2, IFIT1, IFIT3, GBP2, IFIT2, MX1, MX2, ISG20, IRF5, OAS3","NOD-like receptor signaling pathway (4), Necroptosis (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3669,ISG20,HighConf,Yes,,"IRF5, OAS3, ISG15, HLA-B, OAS2, GBP2","NOD-like receptor signaling pathway (3), Antigen processing and presentation (1), Cell adhesion molecules (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
3684,ITGAM,MedConf,Yes,"Hematopoietic cell lineage, Phagosome, Cell adhesion molecules, Complement and coagulation cascades, Leukocyte transendothelial migration","ICAM1, TOM1, UBR4, ADAM10, FCER1G, ITGAX, TGFBI, PLAUR, VAMP8, NFKB1, SRC, STAT1, HCK, MOSPD2","C-type lectin receptor signaling pathway (4), Chemokine signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (3), Prolactin signaling pathway (3), Complement and coagulation cascades (2), Natural killer cell mediated cytotoxicity (2), NF-kappa B signaling pathway (2), NOD-like receptor signaling pathway (2), Osteoclast differentiation (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), Antifolate resistance (1), Apoptosis (1), Cell adhesion molecules (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), HIF-1 signaling pathway (1), Leukocyte transendothelial migration (1), Necroptosis (1), RIG-I-like receptor signaling pathway (1)"
3687,ITGAX,MedConf,Yes,Complement and coagulation cascades,"VAMP8, SRC, STAT1, ITGAM, ICAM1, UBR4, ADAM10, FCER1G","C-type lectin receptor signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (2), Cell adhesion molecules (2), Chemokine signaling pathway (2), Leukocyte transendothelial migration (2), Natural killer cell mediated cytotoxicity (2), Prolactin signaling pathway (2), Complement and coagulation cascades (1), Endocytosis (1), Hematopoietic cell lineage (1), Necroptosis (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
3689,ITGB2,MedConf,Yes,"Phagosome, Cell adhesion molecules, Complement and coagulation cascades, Natural killer cell mediated cytotoxicity, Leukocyte transendothelial migration",,
8564,KMO,MedConf,Yes,Tryptophan metabolism,KYNU,Tryptophan metabolism (1)
3837,KPNB1,MedConf,Yes,,"CTSZ, GGH, NFKB1","Antifolate resistance (2), Apoptosis (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), Lysosome (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
8942,KYNU,HighConf,Yes,Tryptophan metabolism,"IDO1, KMO",Tryptophan metabolism (2)
3937,LCP2,MedConf,Yes,"Osteoclast differentiation, Natural killer cell mediated cytotoxicity","FCER1G, CBL","C-type lectin receptor signaling pathway (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1)"
3958,LGALS3,MedConf,Yes,,TXN,NOD-like receptor signaling pathway (1)
5641,LGMN,MedConf,Yes,"Lysosome, Antigen processing and presentation",CD74,Antigen processing and presentation (1)
3988,LIPA,HighConf,Yes,"Lysosome, Cholesterol metabolism",,
4001,LMNB1,MedConf,Yes,Apoptosis,,
4046,LSP1,MedConf,Yes,C-type lectin receptor signaling pathway,CD209,"C-type lectin receptor signaling pathway (1), Phagosome (1)"
4069,LYZ,HighConf,Yes,,"GM2A, NFKB1, FABP5, NPC2, FTL, CTSZ, GGH, CTSH, FTH1","Lysosome (4), Apoptosis (3), Antifolate resistance (2), Ferroptosis (2), Mineral absorption (2), Necroptosis (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cholesterol metabolism (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), PPAR signaling pathway (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
27430,MAT2B,MedConf,Yes,,IL4I1,"Alanine (1), aspartate and glutamate metabolism (1), Tryptophan metabolism (1)"
4321,MMP12,MedConf,Yes,,PLAUR,Complement and coagulation cascades (1)
158747,MOSPD2,MedConf,Yes,,"ITGAM, PLAUR, VAMP8","Complement and coagulation cascades (2), Cell adhesion molecules (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Phagosome (1)"
4360,MRC1,HighConf,Yes,Phagosome,,
4502,MT2A,HighConf,Yes,Mineral absorption,"IRF5, OAS3, PML, HLA-B, ICAM1, CD44, OAS2, GBP1, GBP2","NOD-like receptor signaling pathway (4), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), NF-kappa B signaling pathway (1), Phagosome (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
9219,MTA2,MedConf,Yes,,PML,Endocytosis (1)
